nucHom;degHom;tsm
1.0;1.0;1.0
0.586;0.961;0.773
0.62;1.0;0.81
0.72;0.996;0.858
0.709;0.975;0.842
0.72;0.996;0.858
0.749;0.838;0.793
0.708;0.797;0.752
0.771;0.878;0.825
0.995;1.0;0.998
0.6;0.683;0.641
0.264;0.317;0.29
0.656;0.765;0.711
0.829;1.0;0.914
0.875;1.0;0.938
0.842;0.931;0.887
0.728;1.0;0.864
0.661;0.771;0.716
0.768;0.938;0.853
0.77;0.935;0.853
0.816;0.974;0.895
0.559;0.622;0.591
0.833;1.0;0.916
0.843;1.0;0.921
0.827;1.0;0.913
0.848;1.0;0.924
0.554;0.815;0.684
0.133;0.181;0.157
0.045;0.077;0.061
0.047;0.091;0.069
0.047;0.068;0.058
0.039;0.064;0.052
0.054;0.102;0.078
0.578;0.85;0.714
0.217;0.289;0.253
0.565;0.834;0.7
0.199;0.28;0.24
0.855;1.0;0.927
0.655;1.0;0.828
0.016;0.026;0.021
0.591;1.0;0.795
0.052;0.082;0.067
0.076;0.144;0.11
0.007;0.018;0.012
0.179;0.298;0.238
0.836;0.878;0.857
0.753;0.883;0.818
0.091;0.117;0.104
0.66;1.0;0.83
0.717;1.0;0.859
0.717;1.0;0.859
0.012;0.018;0.015
0.765;0.981;0.873
0.763;0.977;0.87
0.714;0.904;0.809
0.756;0.972;0.864
0.843;1.0;0.921
0.801;1.0;0.901
0.838;1.0;0.919
0.783;1.0;0.891
0.839;1.0;0.919
0.846;1.0;0.923
0.657;1.0;0.829
0.666;1.0;0.833
0.663;0.992;0.828
0.663;0.992;0.828
0.09;0.117;0.104
0.807;0.867;0.837
0.706;0.779;0.742
0.167;0.197;0.182
0.983;1.0;0.992
0.712;1.0;0.856
0.78;0.989;0.885
0.769;0.973;0.871
0.196;0.283;0.239
0.851;1.0;0.925
0.815;1.0;0.907
0.586;0.961;0.773
1.0;1.0;1.0
0.957;0.96;0.958
0.304;0.923;0.614
0.294;0.889;0.592
0.304;0.923;0.614
0.34;0.737;0.538
0.305;0.685;0.495
0.357;0.789;0.573
0.591;0.963;0.777
0.22;0.488;0.354
0.409;0.491;0.45
0.267;0.598;0.432
0.371;0.932;0.651
0.371;0.929;0.65
0.328;0.817;0.573
0.317;0.921;0.619
0.28;0.63;0.455
0.373;0.865;0.619
0.378;0.865;0.621
0.361;0.891;0.626
0.128;0.305;0.216
0.335;0.911;0.623
0.37;0.96;0.665
0.248;0.947;0.597
0.36;0.929;0.645
0.248;0.779;0.514
0.0;0.0;0.0
0.073;0.137;0.105
0.078;0.162;0.12
0.09;0.151;0.12
0.066;0.129;0.098
0.088;0.177;0.133
0.256;0.804;0.53
0.0;0.0;0.0
0.244;0.779;0.512
0.057;0.129;0.093
0.363;0.929;0.646
0.903;0.963;0.933
0.029;0.02;0.025
0.86;0.953;0.906
0.084;0.074;0.079
0.104;0.124;0.114
0.02;0.015;0.018
0.276;0.293;0.284
0.43;0.8;0.615
0.388;0.8;0.594
0.12;0.163;0.142
0.696;0.955;0.825
0.295;0.919;0.607
0.295;0.919;0.607
0.0;0.0;0.0
0.325;0.901;0.613
0.326;0.901;0.614
0.282;0.781;0.531
0.32;0.889;0.605
0.38;0.931;0.655
0.244;0.881;0.562
0.361;0.939;0.65
0.355;0.882;0.619
0.387;0.937;0.662
0.386;0.938;0.662
0.191;0.871;0.531
0.641;0.937;0.789
0.656;0.943;0.799
0.656;0.943;0.799
0.113;0.152;0.133
0.412;0.78;0.596
0.455;0.78;0.618
0.285;0.31;0.297
0.604;0.964;0.784
0.685;0.955;0.82
0.334;0.912;0.623
0.325;0.888;0.607
0.375;0.556;0.466
0.682;0.964;0.823
0.336;0.92;0.628
0.62;1.0;0.81
0.957;0.96;0.958
1.0;1.0;1.0
0.335;0.994;0.664
0.325;0.96;0.642
0.335;0.994;0.664
0.359;0.768;0.564
0.316;0.689;0.502
0.375;0.819;0.597
0.624;1.0;0.812
0.245;0.531;0.388
0.393;0.469;0.431
0.292;0.641;0.467
0.405;1.0;0.703
0.409;1.0;0.705
0.366;0.889;0.627
0.35;1.0;0.675
0.301;0.672;0.487
0.394;0.907;0.651
0.399;0.907;0.653
0.395;0.958;0.676
0.162;0.373;0.268
0.374;1.0;0.687
0.395;1.0;0.698
0.267;1.0;0.633
0.397;1.0;0.699
0.239;0.779;0.509
0.0;0.0;0.0
0.069;0.137;0.103
0.074;0.162;0.118
0.085;0.151;0.118
0.062;0.129;0.096
0.083;0.177;0.13
0.247;0.804;0.526
0.0;0.0;0.0
0.235;0.779;0.507
0.055;0.129;0.092
0.4;1.0;0.7
0.941;1.0;0.97
0.028;0.019;0.024
0.901;0.995;0.948
0.08;0.071;0.075
0.099;0.119;0.109
0.019;0.015;0.017
0.265;0.281;0.273
0.458;0.844;0.651
0.413;0.844;0.628
0.115;0.156;0.136
0.733;1.0;0.867
0.329;1.0;0.664
0.329;1.0;0.664
0.0;0.0;0.0
0.359;0.97;0.664
0.36;0.97;0.665
0.316;0.85;0.583
0.353;0.958;0.655
0.416;1.0;0.708
0.288;1.0;0.644
0.396;1.0;0.698
0.408;1.0;0.704
0.421;1.0;0.711
0.42;1.0;0.71
0.228;1.0;0.614
0.687;0.985;0.836
0.702;0.992;0.847
0.702;0.992;0.847
0.108;0.145;0.127
0.438;0.821;0.629
0.484;0.821;0.652
0.274;0.297;0.285
0.636;1.0;0.818
0.722;1.0;0.861
0.368;0.982;0.675
0.359;0.957;0.658
0.349;0.517;0.433
0.716;1.0;0.858
0.373;1.0;0.686
0.72;0.996;0.858
0.304;0.923;0.614
0.335;0.994;0.664
1.0;1.0;1.0
0.983;0.979;0.981
1.0;1.0;1.0
0.858;0.948;0.903
0.843;0.915;0.879
0.841;0.948;0.894
0.71;0.996;0.853
0.856;0.949;0.902
0.035;0.051;0.043
0.82;0.959;0.889
0.837;1.0;0.918
1.0;1.0;1.0
0.857;0.905;0.881
0.887;1.0;0.944
0.886;0.968;0.927
0.84;1.0;0.92
0.836;1.0;0.918
0.836;1.0;0.918
0.709;0.751;0.73
0.872;1.0;0.936
0.862;1.0;0.931
0.893;1.0;0.947
1.0;1.0;1.0
0.629;0.912;0.77
0.161;0.226;0.194
0.0;0.0;0.0
0.041;0.064;0.053
0.05;0.081;0.066
0.035;0.056;0.045
0.0;0.0;0.0
0.633;0.936;0.784
0.261;0.355;0.308
0.645;0.938;0.791
0.236;0.342;0.289
1.0;1.0;1.0
0.37;0.994;0.682
0.0;0.0;0.0
0.296;0.993;0.644
0.0;0.0;0.0
0.078;0.219;0.148
0.0;0.0;0.0
0.0;0.0;0.0
0.673;0.858;0.766
0.714;0.946;0.83
0.042;0.051;0.046
0.469;1.0;0.734
0.9;1.0;0.95
0.9;1.0;0.95
0.016;0.024;0.02
0.97;0.99;0.98
0.97;0.99;0.98
0.946;0.952;0.949
0.988;1.0;0.994
0.857;0.997;0.927
0.788;1.0;0.894
0.888;1.0;0.944
0.686;1.0;0.843
0.813;0.997;0.905
0.851;0.997;0.924
0.784;1.0;0.892
0.506;1.0;0.753
0.501;1.0;0.75
0.501;1.0;0.75
0.042;0.06;0.051
0.626;0.937;0.782
0.524;0.813;0.668
0.0;0.0;0.0
0.711;0.998;0.855
0.519;1.0;0.76
0.973;0.994;0.984
0.99;1.0;0.995
0.198;0.244;0.221
0.582;1.0;0.791
0.922;1.0;0.961
0.709;0.975;0.842
0.294;0.889;0.592
0.325;0.96;0.642
0.983;0.979;0.981
