;ENSCAFT00000017676_90_90;ENST00000249647_90_90;ENST00000349777_90_90;ENST00000397138_90_90;ENST00000561526_90_90;ENST00000563765_90_90;ENST00000563830_90_90;ENST00000563873_90_90;ENST00000564153_90_90;ENST00000566035_90_90;ENST00000566327_90_90;ENST00000567094_90_90;ENST00000568331_90_90;ENST00000568451_90_90;ENST00000568841_90_90;ENST00000568859_90_90;ENST00000626061_90_90;ENST00000627440_90_90;ENSMUST00000028743_90_90;ENSMUST00000110711_90_90;ENSMUST00000116437_90_90;ENSMUST00000142278_90_90;ENSMUST00000150611_90_90;ENSMUST00000153580_90_90
ENSCAFT00000017676_90_90;1.0;1.0;0.5;0.5;1.0;0.083;0.667;0.333;0.5;0.083;0.75;0.5;0.5;0.5;0.667;0.917;0.083;0.083;1.0;1.0;1.0;0.6;0.467;0.4
ENST00000249647_90_90;1.0;1.0;0.423;0.423;0.846;0.111;0.704;0.138;0.333;0.111;0.731;0.258;0.258;0.258;0.704;0.731;0.111;0.111;1.0;1.0;0.812;0.538;0.538;0.462
ENST00000349777_90_90;0.5;0.423;1.0;1.0;0.32;0.25;0.148;0.286;0.75;0.25;0.154;0.5;0.5;0.5;0.148;0.364;0.25;0.25;0.538;0.538;0.438;1.0;1.0;0.857
ENST00000397138_90_90;0.5;0.423;1.0;1.0;0.32;0.25;0.148;0.286;0.75;0.25;0.154;0.5;0.5;0.5;0.148;0.364;0.25;0.25;0.538;0.538;0.438;1.0;1.0;0.857
ENST00000561526_90_90;1.0;0.846;0.32;0.32;1.0;0.13;0.615;0.16;0.333;0.13;0.708;0.296;0.296;0.296;0.615;0.864;0.13;0.13;1.0;1.0;0.812;0.538;0.538;0.462
ENST00000563765_90_90;0.083;0.111;0.25;0.25;0.13;1.0;0.0;0.0;0.273;0.6;0.0;0.214;0.214;0.214;0.0;0.15;1.0;0.6;0.154;0.154;0.125;0.286;0.286;0.333
ENST00000563830_90_90;0.667;0.704;0.148;0.148;0.615;0.0;1.0;0.125;0.071;0.0;0.857;0.065;0.065;0.065;0.905;0.5;0.0;0.0;0.615;0.615;0.5;0.154;0.154;0.077
ENST00000563873_90_90;0.333;0.138;0.286;0.286;0.16;0.0;0.125;1.0;0.308;0.0;0.13;0.25;0.25;0.25;0.125;0.182;0.0;0.0;0.308;0.308;0.25;0.571;0.571;0.429
ENST00000564153_90_90;0.5;0.333;0.75;0.75;0.333;0.273;0.071;0.308;1.0;0.273;0.115;0.533;0.533;0.533;0.071;0.381;0.273;0.273;0.538;0.538;0.438;1.0;1.0;0.857
ENST00000566035_90_90;0.083;0.111;0.25;0.25;0.13;0.6;0.0;0.0;0.273;1.0;0.0;0.214;0.214;0.214;0.0;0.15;0.6;1.0;0.154;0.154;0.125;0.286;0.286;0.333
