nucHom;degHom;tsm
1.0;1.0;1.0
0.868;0.385;0.627
0.774;0.364;0.569
0.891;1.0;0.946
0.856;0.429;0.642
0.705;0.3;0.502
0.796;0.75;0.773
0.71;0.333;0.521
0.0;0.0;0.0
0.802;1.0;0.901
0.868;0.385;0.627
0.514;0.167;0.341
0.774;0.364;0.569
0.806;0.4;0.603
0.868;0.385;0.627
1.0;1.0;1.0
0.89;1.0;0.945
0.786;0.364;0.575
0.905;1.0;0.953
0.8;1.0;0.9
0.711;0.4;0.555
0.794;0.9;0.847
0.0;0.0;0.0
0.705;0.3;0.502
1.0;1.0;1.0
0.595;0.692;0.643
0.89;1.0;0.945
0.914;0.909;0.911
0.774;0.364;0.569
0.89;1.0;0.945
1.0;1.0;1.0
0.868;0.556;0.712
0.966;1.0;0.983
0.998;1.0;0.999
0.873;0.588;0.73
0.991;0.941;0.966
0.094;0.353;0.223
0.866;0.529;0.698
0.89;0.611;0.75
0.877;0.889;0.883
1.0;1.0;1.0
0.961;0.778;0.869
0.891;1.0;0.946
0.786;0.364;0.575
0.868;0.556;0.712
1.0;1.0;1.0
0.9;0.545;0.723
0.866;0.529;0.698
0.99;0.9;0.945
0.872;0.562;0.717
0.109;0.667;0.388
0.997;1.0;0.998
0.786;0.235;0.51
0.749;0.444;0.597
0.868;0.556;0.712
0.87;0.5;0.685
0.856;0.429;0.642
0.905;1.0;0.953
0.966;1.0;0.983
0.9;0.545;0.723
1.0;1.0;1.0
0.966;1.0;0.983
0.908;0.636;0.772
0.959;0.909;0.934
0.044;0.273;0.159
0.9;0.545;0.723
0.905;0.583;0.744
0.895;0.917;0.906
0.966;1.0;0.983
0.927;0.727;0.827
0.705;0.3;0.502
0.8;1.0;0.9
0.998;1.0;0.999
0.866;0.529;0.698
0.966;1.0;0.983
1.0;1.0;1.0
0.875;0.611;0.743
0.993;0.944;0.968
0.066;0.171;0.119
0.868;0.556;0.712
0.8;0.588;0.694
0.61;0.571;0.591
0.998;1.0;0.999
0.958;0.765;0.861
0.796;0.75;0.773
0.711;0.4;0.555
0.873;0.588;0.73
0.99;0.9;0.945
0.908;0.636;0.772
0.875;0.611;0.743
1.0;1.0;1.0
0.868;0.556;0.712
0.072;0.206;0.139
0.992;0.909;0.951
0.711;0.25;0.48
0.526;0.321;0.423
0.873;0.588;0.73
0.862;0.438;0.65
0.71;0.333;0.521
0.794;0.9;0.847
0.991;0.941;0.966
0.872;0.562;0.717
0.959;0.909;0.934
0.993;0.944;0.968
0.868;0.556;0.712
1.0;1.0;1.0
0.067;0.175;0.121
0.874;0.588;0.731
0.794;0.529;0.661
0.606;0.536;0.571
0.991;0.941;0.966
0.965;0.812;0.889
0.0;0.0;0.0
0.0;0.0;0.0
0.094;0.353;0.223
0.109;0.667;0.388
0.044;0.273;0.159
0.066;0.171;0.119
0.072;0.206;0.139
0.067;0.175;0.121
1.0;1.0;1.0
0.073;0.212;0.142
0.0;0.0;0.0
0.246;0.63;0.438
0.094;0.353;0.223
0.078;0.267;0.173
0.802;1.0;0.901
0.705;0.3;0.502
0.866;0.529;0.698
0.997;1.0;0.998
0.9;0.545;0.723
0.868;0.556;0.712
0.992;0.909;0.951
0.874;0.588;0.731
0.073;0.212;0.142
1.0;1.0;1.0
0.705;0.188;0.447
0.521;0.286;0.403
0.866;0.529;0.698
0.868;0.467;0.667
0.868;0.385;0.627
1.0;1.0;1.0
0.89;0.611;0.75
0.786;0.235;0.51
0.905;0.583;0.744
0.8;0.588;0.694
0.711;0.25;0.48
0.794;0.529;0.661
0.0;0.0;0.0
0.705;0.188;0.447
1.0;1.0;1.0
0.498;0.265;0.382
0.89;0.611;0.75
0.914;0.667;0.79
0.514;0.167;0.341
0.595;0.692;0.643
0.877;0.889;0.883
0.749;0.444;0.597
0.895;0.917;0.906
0.61;0.571;0.591
0.526;0.321;0.423
0.606;0.536;0.571
0.246;0.63;0.438
0.521;0.286;0.403
0.498;0.265;0.382
1.0;1.0;1.0
0.862;0.889;0.875
0.825;0.667;0.746
0.774;0.364;0.569
0.89;1.0;0.945
1.0;1.0;1.0
0.868;0.556;0.712
0.966;1.0;0.983
0.998;1.0;0.999
0.873;0.588;0.73
0.991;0.941;0.966
0.094;0.353;0.223
0.866;0.529;0.698
0.89;0.611;0.75
0.862;0.889;0.875
1.0;1.0;1.0
0.961;0.778;0.869
0.806;0.4;0.603
0.914;0.909;0.911
0.961;0.778;0.869
0.87;0.5;0.685
0.927;0.727;0.827
0.958;0.765;0.861
0.862;0.438;0.65
0.965;0.812;0.889
0.078;0.267;0.173
0.868;0.467;0.667
0.914;0.667;0.79
0.825;0.667;0.746
0.961;0.778;0.869
1.0;1.0;1.0
