;ENSCAFT00000015696_90_90;ENST00000370183_90_90;ENST00000370187_90_90;ENST00000393441_90_90;ENST00000408038_90_90;ENSMUST00000065601_90_90;ENSMUST00000111936_90_90;ENSMUST00000223684_90_90;ENSMUST00000223764_90_90;ENSMUST00000224102_90_90;ENSMUST00000224318_90_90;ENSMUST00000224478_90_90
ENSCAFT00000015696_90_90;1.0;0.508;1.0;0.928;0.87;1.0;0.87;0.145;0.241;0.193;0.078;0.668
ENST00000370183_90_90;0.508;1.0;0.508;0.436;0.464;0.508;0.464;0.286;0.355;0.137;0.16;0.344
ENST00000370187_90_90;1.0;0.508;1.0;0.928;0.87;1.0;0.87;0.145;0.241;0.193;0.078;0.668
ENST00000393441_90_90;0.928;0.436;0.928;1.0;0.799;0.928;0.799;0.158;0.263;0.212;0.085;0.715
ENST00000408038_90_90;0.87;0.464;0.87;0.799;1.0;0.87;1.0;0.173;0.285;0.063;0.0;0.757
ENSMUST00000065601_90_90;1.0;0.508;1.0;0.928;0.87;1.0;0.87;0.145;0.241;0.162;0.078;0.668
ENSMUST00000111936_90_90;0.87;0.464;0.87;0.799;1.0;0.87;1.0;0.173;0.285;0.053;0.0;0.757
ENSMUST00000223684_90_90;0.145;0.286;0.145;0.158;0.173;0.145;0.173;1.0;0.316;0.0;0.0;0.254
ENSMUST00000223764_90_90;0.241;0.355;0.241;0.263;0.285;0.241;0.285;0.316;1.0;0.104;0.0;0.258
ENSMUST00000224102_90_90;0.193;0.137;0.193;0.212;0.063;0.162;0.053;0.0;0.104;1.0;0.214;0.0
ENSMUST00000224318_90_90;0.078;0.16;0.078;0.085;0.0;0.078;0.0;0.0;0.0;0.214;1.0;0.0
ENSMUST00000224478_90_90;0.668;0.344;0.668;0.715;0.757;0.668;0.757;0.254;0.258;0.0;0.0;1.0
