;ENSCAFT00000023990_90_90;ENST00000220429_90_90;ENST00000359031_90_90;ENST00000380877_90_90;ENST00000396464_90_90;ENST00000429662_90_90;ENST00000543881_90_90;ENST00000558335_90_90;ENST00000558970_90_90;ENST00000560825_90_90;ENST00000561010_90_90;ENSMUST00000039978_90_90;ENSMUST00000089745_90_90;ENSMUST00000103226_90_90;ENSMUST00000103227_90_90;ENSMUST00000110424_90_90;ENSMUST00000110425_90_90;ENSMUST00000124972_90_90;ENSMUST00000137335_90_90
ENSCAFT00000023990_90_90;1.0;1.0;0.846;0.923;0.846;0.923;0.769;0.385;0.308;0.769;0.462;0.833;0.75;0.917;0.917;0.917;1.0;0.167;0.083
ENST00000220429_90_90;1.0;1.0;0.75;0.867;0.75;0.875;0.8;0.333;0.267;0.688;0.5;0.769;0.75;0.846;0.917;0.917;1.0;0.167;0.083
ENST00000359031_90_90;0.846;0.75;1.0;0.857;1.0;0.867;0.562;0.385;0.308;0.923;0.375;0.833;0.667;0.917;0.692;0.692;0.769;0.182;0.091
ENST00000380877_90_90;0.923;0.867;0.857;1.0;0.857;0.75;0.667;0.385;0.308;0.786;0.375;0.692;0.667;0.769;0.833;0.833;0.917;0.182;0.091
ENST00000396464_90_90;0.846;0.75;1.0;0.857;1.0;0.867;0.562;0.385;0.308;0.923;0.375;0.833;0.667;0.917;0.692;0.692;0.769;0.182;0.091
ENST00000429662_90_90;0.923;0.875;0.867;0.75;0.867;1.0;0.688;0.333;0.267;0.8;0.5;0.917;0.75;1.0;0.769;0.769;0.846;0.167;0.083
ENST00000543881_90_90;0.769;0.8;0.562;0.667;0.562;0.688;1.0;0.133;0.067;0.5;0.615;0.538;0.5;0.615;0.667;0.667;0.75;0.0;0.0
ENST00000558335_90_90;0.385;0.333;0.385;0.385;0.385;0.333;0.133;1.0;0.8;0.417;0.0;0.455;0.556;0.417;0.455;0.455;0.417;0.4;0.2
ENST00000558970_90_90;0.308;0.267;0.308;0.308;0.308;0.267;0.067;0.8;1.0;0.333;0.0;0.364;0.444;0.333;0.364;0.364;0.333;0.5;0.25
ENST00000560825_90_90;0.769;0.688;0.923;0.786;0.923;0.8;0.5;0.417;0.333;1.0;0.312;0.909;0.727;0.833;0.75;0.75;0.692;0.2;0.1
ENST00000561010_90_90;0.462;0.5;0.375;0.375;0.375;0.5;0.615;0.0;0.0;0.312;1.0;0.333;0.273;0.417;0.333;0.333;0.417;0.0;0.0
ENSMUST00000039978_90_90;0.833;0.769;0.833;0.692;0.833;0.917;0.538;0.455;0.364;0.909;0.333;1.0;0.769;0.923;0.846;0.846;0.786;0.167;0.083
ENSMUST00000089745_90_90;0.75;0.75;0.667;0.667;0.667;0.75;0.5;0.556;0.444;0.727;0.273;0.769;1.0;0.714;0.769;0.769;0.714;0.182;0.091
ENSMUST00000103226_90_90;0.917;0.846;0.917;0.769;0.917;1.0;0.615;0.417;0.333;0.833;0.417;0.923;0.714;1.0;0.786;0.786;0.857;0.154;0.077
ENSMUST00000103227_90_90;0.917;0.917;0.692;0.833;0.692;0.769;0.667;0.455;0.364;0.75;0.333;0.846;0.769;0.786;1.0;1.0;0.923;0.167;0.083
ENSMUST00000110424_90_90;0.917;0.917;0.692;0.833;0.692;0.769;0.667;0.455;0.364;0.75;0.333;0.846;0.769;0.786;1.0;1.0;0.923;0.167;0.083
ENSMUST00000110425_90_90;1.0;1.0;0.769;0.917;0.769;0.846;0.75;0.417;0.333;0.692;0.417;0.786;0.714;0.857;0.923;0.923;1.0;0.154;0.077
ENSMUST00000124972_90_90;0.167;0.167;0.182;0.182;0.182;0.167;0.0;0.4;0.5;0.2;0.0;0.167;0.182;0.154;0.167;0.167;0.154;1.0;0.5
ENSMUST00000137335_90_90;0.083;0.083;0.091;0.091;0.091;0.083;0.0;0.2;0.25;0.1;0.0;0.083;0.091;0.077;0.083;0.083;0.077;0.5;1.0
