;ENSCAFT00000018209_90_90;ENSCAFT00000043863_90_90;ENST00000264183_90_90;ENST00000349213_90_90;ENST00000366603_90_90;ENST00000418304_90_90;ENST00000421364_90_90;ENST00000444620_90_90;ENST00000474953_90_90;ENSMUST00000039538_90_90;ENSMUST00000110533_90_90;ENSMUST00000110534_90_90;ENSMUST00000110536_90_90;ENSMUST00000129488_90_90;ENSMUST00000151151_90_90;ENSMUST00000222928_90_90
ENSCAFT00000018209_90_90;1.0;0.731;0.917;0.667;0.917;0.333;0.833;0.333;0.208;0.739;0.261;0.957;0.739;0.391;0.087;0.13
ENSCAFT00000043863_90_90;0.731;1.0;0.625;0.833;0.625;0.389;0.542;0.389;0.294;0.889;0.278;0.696;0.889;0.368;0.118;0.111
ENST00000264183_90_90;0.917;0.625;1.0;0.708;1.0;0.333;0.808;0.222;0.24;0.727;0.273;1.0;0.727;0.409;0.042;0.136
ENST00000349213_90_90;0.667;0.833;0.708;1.0;0.708;0.471;0.538;0.238;0.333;1.0;0.375;0.727;1.0;0.471;0.056;0.188
ENST00000366603_90_90;0.917;0.625;1.0;0.708;1.0;0.333;0.808;0.222;0.24;0.727;0.273;1.0;0.727;0.409;0.042;0.136
ENST00000418304_90_90;0.333;0.389;0.333;0.471;0.333;1.0;0.348;0.0;0.0;0.438;0.857;0.318;0.438;0.778;0.0;0.429
ENST00000421364_90_90;0.833;0.542;0.808;0.538;0.808;0.348;1.0;0.231;0.154;0.565;0.3;0.826;0.565;0.45;0.095;0.15
ENST00000444620_90_90;0.333;0.389;0.222;0.238;0.222;0.0;0.231;1.0;0.333;0.278;0.0;0.261;0.278;0.0;0.25;0.0
ENST00000474953_90_90;0.208;0.294;0.24;0.333;0.24;0.0;0.154;0.333;1.0;0.375;0.0;0.273;0.375;0.0;0.125;0.0
ENSMUST00000039538_90_90;0.739;0.889;0.727;1.0;0.727;0.438;0.565;0.278;0.375;1.0;0.316;0.692;1.0;0.4;0.05;0.167
ENSMUST00000110533_90_90;0.261;0.278;0.273;0.375;0.273;0.857;0.3;0.0;0.0;0.316;1.0;0.222;0.316;0.545;0.0;0.429
ENSMUST00000110534_90_90;0.957;0.696;1.0;0.727;1.0;0.318;0.826;0.261;0.273;0.692;0.222;1.0;0.692;0.385;0.036;0.115
ENSMUST00000110536_90_90;0.739;0.889;0.727;1.0;0.727;0.438;0.565;0.278;0.375;1.0;0.316;0.692;1.0;0.4;0.05;0.167
ENSMUST00000129488_90_90;0.391;0.368;0.409;0.471;0.409;0.778;0.45;0.0;0.0;0.4;0.545;0.385;0.4;1.0;0.0;0.3
ENSMUST00000151151_90_90;0.087;0.118;0.042;0.056;0.042;0.0;0.095;0.25;0.125;0.05;0.0;0.036;0.05;0.0;1.0;0.0
ENSMUST00000222928_90_90;0.13;0.111;0.136;0.188;0.136;0.429;0.15;0.0;0.0;0.167;0.429;0.115;0.167;0.3;0.0;1.0
