;ENSCAFT00000022237_90_90;ENST00000423692_90_90;ENST00000431645_90_90;ENST00000448764_90_90;ENST00000449389_90_90;ENST00000611405_90_90;ENST00000614370_90_90;ENST00000614484_90_90;ENST00000618262_90_90;ENST00000618411_90_90;ENST00000641476_90_90;ENSMUST00000040873_90_90;ENSMUST00000196109_90_90;ENSMUST00000197466_90_90;ENSMUST00000197484_90_90;ENSMUST00000198526_90_90;ENSMUST00000199243_90_90;ENSMUST00000199365_90_90;ENSMUST00000199605_90_90;ENSMUST00000199756_90_90;ENSMUST00000223263_90_90
ENSCAFT00000022237_90_90;1.0;0.135;0.2;0.0;0.0;0.193;0.089;0.193;0.194;0.194;0.11;0.196;0.0;0.198;0.092;0.299;0.198;0.0;0.007;0.0;0.115
ENST00000423692_90_90;0.135;1.0;0.0;0.0;0.0;0.087;0.0;0.087;0.088;0.088;0.817;0.04;0.0;0.04;0.086;0.072;0.04;0.0;0.0;0.0;0.0
ENST00000431645_90_90;0.2;0.0;1.0;0.0;0.0;0.119;0.335;0.119;0.119;0.12;0.0;0.055;0.0;0.056;0.343;0.099;0.056;0.0;0.0;0.0;0.0
ENST00000448764_90_90;0.0;0.0;0.0;1.0;0.092;0.57;0.0;0.568;0.565;0.564;0.0;0.569;0.926;0.569;0.0;0.108;0.573;0.004;0.144;0.521;0.0
ENST00000449389_90_90;0.0;0.0;0.0;0.092;1.0;0.052;0.0;0.053;0.053;0.053;0.0;0.05;0.049;0.051;0.0;0.094;0.05;0.0;0.183;0.0;0.0
ENST00000611405_90_90;0.193;0.087;0.119;0.57;0.052;1.0;0.046;0.999;0.995;0.994;0.071;0.816;0.579;0.804;0.057;0.387;0.808;0.059;0.273;0.313;0.0
ENST00000614370_90_90;0.089;0.0;0.335;0.0;0.0;0.046;1.0;0.046;0.046;0.046;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000614484_90_90;0.193;0.087;0.119;0.568;0.053;0.999;0.046;1.0;0.994;0.995;0.071;0.815;0.578;0.803;0.057;0.386;0.807;0.059;0.273;0.314;0.0
ENST00000618262_90_90;0.194;0.088;0.119;0.565;0.053;0.995;0.046;0.994;1.0;0.999;0.071;0.811;0.575;0.807;0.057;0.389;0.804;0.059;0.274;0.315;0.0
ENST00000618411_90_90;0.194;0.088;0.12;0.564;0.053;0.994;0.046;0.995;0.999;1.0;0.072;0.81;0.574;0.806;0.057;0.388;0.803;0.059;0.274;0.315;0.0
ENST00000641476_90_90;0.11;0.817;0.0;0.0;0.0;0.071;0.0;0.071;0.071;0.072;1.0;0.024;0.0;0.025;0.099;0.044;0.024;0.0;0.0;0.0;0.0
ENSMUST00000040873_90_90;0.196;0.04;0.055;0.569;0.05;0.816;0.0;0.815;0.811;0.81;0.024;1.0;0.558;0.987;0.046;0.531;0.992;0.057;0.27;0.308;0.071
ENSMUST00000196109_90_90;0.0;0.0;0.0;0.926;0.049;0.579;0.0;0.578;0.575;0.574;0.0;0.558;1.0;0.545;0.0;0.099;0.55;0.004;0.131;0.521;0.0
ENSMUST00000197466_90_90;0.198;0.04;0.056;0.569;0.051;0.804;0.0;0.803;0.807;0.806;0.025;0.987;0.545;1.0;0.047;0.538;0.995;0.057;0.274;0.301;0.072
ENSMUST00000197484_90_90;0.092;0.086;0.343;0.0;0.0;0.057;0.0;0.057;0.057;0.057;0.099;0.046;0.0;0.047;1.0;0.085;0.046;0.0;0.0;0.0;0.0
ENSMUST00000198526_90_90;0.299;0.072;0.099;0.108;0.094;0.387;0.0;0.386;0.389;0.388;0.044;0.531;0.099;0.538;0.085;1.0;0.535;0.11;0.511;0.0;0.133
ENSMUST00000199243_90_90;0.198;0.04;0.056;0.573;0.05;0.808;0.0;0.807;0.804;0.803;0.024;0.992;0.55;0.995;0.046;0.535;1.0;0.057;0.273;0.3;0.072
ENSMUST00000199365_90_90;0.0;0.0;0.0;0.004;0.0;0.059;0.0;0.059;0.059;0.059;0.0;0.057;0.004;0.057;0.0;0.11;0.057;1.0;0.215;0.0;0.0
ENSMUST00000199605_90_90;0.007;0.0;0.0;0.144;0.183;0.273;0.0;0.273;0.274;0.274;0.0;0.27;0.131;0.274;0.0;0.511;0.273;0.215;1.0;0.0;0.0
ENSMUST00000199756_90_90;0.0;0.0;0.0;0.521;0.0;0.313;0.0;0.314;0.315;0.315;0.0;0.308;0.521;0.301;0.0;0.0;0.3;0.0;0.0;1.0;0.0
ENSMUST00000223263_90_90;0.115;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.071;0.0;0.072;0.0;0.133;0.072;0.0;0.0;0.0;1.0
