;ENSCAFT00000003109_90_90;ENSCAFT00000045366_90_90;ENST00000340022_90_90;ENST00000394503_90_90;ENST00000394505_90_90;ENST00000394507_90_90;ENST00000412043_90_90;ENST00000413688_90_90;ENST00000422347_90_90;ENST00000425073_90_90;ENST00000425919_90_90;ENST00000430102_90_90;ENST00000433016_90_90;ENST00000440209_90_90;ENST00000444960_90_90;ENST00000445516_90_90;ENST00000452773_90_90;ENST00000454017_90_90;ENST00000458177_90_90;ENST00000458493_90_90;ENSMUST00000080085_90_90;ENSMUST00000171023_90_90;ENSMUST00000198079_90_90;ENSMUST00000200386_90_90;ENSMUST00000200577_90_90
ENSCAFT00000003109_90_90;;;0.871;0.956;0.871;0.871;0.871;0.21;0.064;0.031;0.118;0.253;0.395;0.286;0.092;0.14;0.155;0.368;0.502;0.184;0.907;0.841;0.275;0.895;0.561
ENSCAFT00000045366_90_90;;;0.961;0.871;0.961;0.961;0.961;0.187;0.057;0.028;0.106;0.227;0.356;0.256;0.083;0.232;0.14;0.331;0.453;0.164;0.961;0.896;0.247;0.815;0.584
ENST00000340022_90_90;0.871;0.961;;;;;;;;;;;;;;;;;;;0.924;0.861;0.247;0.781;0.55
ENST00000394503_90_90;0.956;0.871;;;;;;;;;;;;;;;;;;;0.871;0.805;0.275;0.855;0.524
ENST00000394505_90_90;0.871;0.961;;;;;;;;;;;;;;;;;;;0.924;0.861;0.247;0.781;0.55
ENST00000394507_90_90;0.871;0.961;;;;;;;;;;;;;;;;;;;0.924;0.861;0.247;0.781;0.55
ENST00000412043_90_90;0.871;0.961;;;;;;;;;;;;;;;;;;;0.924;0.861;0.247;0.781;0.55
ENST00000413688_90_90;0.21;0.187;;;;;;;;;;;;;;;;;;;0.187;0.202;0.613;0.22;0.3
ENST00000422347_90_90;0.064;0.057;;;;;;;;;;;;;;;;;;;0.057;0.061;0.195;0.067;0.093
ENST00000425073_90_90;0.031;0.028;;;;;;;;;;;;;;;;;;;0.028;0.03;0.094;0.033;0.045
ENST00000425919_90_90;0.118;0.106;;;;;;;;;;;;;;;;;;;0.106;0.114;0.344;0.124;0.169
ENST00000430102_90_90;0.253;0.227;;;;;;;;;;;;;;;;;;;0.227;0.244;0.77;0.266;0.37
ENST00000433016_90_90;0.395;0.356;;;;;;;;;;;;;;;;;;;0.356;0.382;0.596;0.414;0.595
ENST00000440209_90_90;0.286;0.256;;;;;;;;;;;;;;;;;;;0.256;0.276;0.874;0.301;0.42
ENST00000444960_90_90;0.092;0.083;;;;;;;;;;;;;;;;;;;0.083;0.089;0.279;0.098;0.135
ENST00000445516_90_90;0.14;0.232;;;;;;;;;;;;;;;;;;;0.208;0.222;0.0;0.147;0.184
ENST00000452773_90_90;0.155;0.14;;;;;;;;;;;;;;;;;;;0.14;0.15;0.47;0.164;0.227
ENST00000454017_90_90;0.368;0.331;;;;;;;;;;;;;;;;;;;0.331;0.355;0.682;0.388;0.552
ENST00000458177_90_90;0.502;0.453;;;;;;;;;;;;;;;;;;;0.453;0.486;0.478;0.528;0.762
ENST00000458493_90_90;0.184;0.164;;;;;;;;;;;;;;;;;;;0.164;0.177;0.548;0.194;0.267
ENSMUST00000080085_90_90;0.907;0.961;0.924;0.871;0.924;0.924;0.924;0.187;0.057;0.028;0.106;0.227;0.356;0.256;0.083;0.208;0.14;0.331;0.453;0.164;;;;;
ENSMUST00000171023_90_90;0.841;0.896;0.861;0.805;0.861;0.861;0.861;0.202;0.061;0.03;0.114;0.244;0.382;0.276;0.089;0.222;0.15;0.355;0.486;0.177;;;;;
ENSMUST00000198079_90_90;0.275;0.247;0.247;0.275;0.247;0.247;0.247;0.613;0.195;0.094;0.344;0.77;0.596;0.874;0.279;0.0;0.47;0.682;0.478;0.548;;;;;
ENSMUST00000200386_90_90;0.895;0.815;0.781;0.855;0.781;0.781;0.781;0.22;0.067;0.033;0.124;0.266;0.414;0.301;0.098;0.147;0.164;0.388;0.528;0.194;;;;;
ENSMUST00000200577_90_90;0.561;0.584;0.55;0.524;0.55;0.55;0.55;0.3;0.093;0.045;0.169;0.37;0.595;0.42;0.135;0.184;0.227;0.552;0.762;0.267;;;;;
