;ENSCAFT00000015927_90_90;ENSCAFT00000024036_90_90;ENST00000304523_90_90;ENST00000441778_90_90;ENST00000502640_90_90;ENST00000506732_90_90;ENST00000507464_90_90;ENST00000508918_90_90;ENST00000512345_90_90;ENST00000515064_90_90;ENST00000361198_90_90;ENST00000425280_90_90;ENSMUST00000026252_90_90;ENSMUST00000056931_90_90;ENSMUST00000137771_90_90;ENSMUST00000152946_90_90;ENSMUST00000156585_90_90;ENSMUST00000185355_90_90;ENSMUST00000070748_90_90;ENSMUST00000199256_90_90;ENSMUST00000199261_90_90;ENSMUST00000199534_90_90
ENSCAFT00000015927_90_90;1.0;0.397;0.312;0.325;0.302;0.082;0.326;0.0;0.007;0.302;0.801;0.876;0.801;0.801;0.688;0.799;0.876;0.876;0.408;0.314;0.398;0.325
ENSCAFT00000024036_90_90;0.397;1.0;0.56;0.76;0.76;0.346;0.453;0.118;0.155;0.535;0.368;0.399;0.368;0.368;0.384;0.374;0.399;0.399;0.726;0.728;0.699;0.76
ENST00000304523_90_90;0.312;0.56;1.0;0.667;0.683;0.348;0.851;0.118;0.155;0.966;0.296;0.328;0.296;0.296;0.342;0.283;0.328;0.328;0.566;0.636;0.541;0.667
ENST00000441778_90_90;0.325;0.76;0.667;1.0;0.791;0.406;0.532;0.134;0.179;0.636;0.289;0.324;0.289;0.289;0.302;0.293;0.324;0.324;0.636;0.958;0.609;1.0
ENST00000502640_90_90;0.302;0.76;0.683;0.791;1.0;0.42;0.544;0.139;0.185;0.653;0.265;0.3;0.265;0.265;0.276;0.269;0.3;0.3;0.746;0.754;0.716;0.791
ENST00000506732_90_90;0.082;0.346;0.348;0.406;0.42;1.0;0.283;0.159;0.264;0.358;0.025;0.071;0.025;0.025;0.026;0.025;0.071;0.071;0.334;0.421;0.342;0.406
ENST00000507464_90_90;0.326;0.453;0.851;0.532;0.544;0.283;1.0;0.0;0.035;0.817;0.31;0.346;0.31;0.31;0.366;0.296;0.346;0.346;0.449;0.501;0.424;0.532
ENST00000508918_90_90;0.0;0.118;0.118;0.134;0.139;0.159;0.0;1.0;0.451;0.119;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.116;0.137;0.117;0.134
ENST00000512345_90_90;0.007;0.155;0.155;0.179;0.185;0.264;0.035;0.451;1.0;0.159;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15;0.183;0.153;0.179
ENST00000515064_90_90;0.302;0.535;0.966;0.636;0.653;0.358;0.817;0.119;0.159;1.0;0.285;0.318;0.285;0.285;0.331;0.272;0.318;0.318;0.541;0.654;0.553;0.636
ENST00000361198_90_90;0.801;0.368;0.296;0.289;0.265;0.025;0.31;0.0;0.0;0.285;1.0;0.899;1.0;1.0;0.839;0.984;0.899;0.899;0.379;0.278;0.369;0.289
ENST00000425280_90_90;0.876;0.399;0.328;0.324;0.3;0.071;0.346;0.0;0.0;0.318;0.899;1.0;0.899;0.899;0.757;0.885;1.0;1.0;0.409;0.313;0.399;0.324
ENSMUST00000026252_90_90;0.801;0.368;0.296;0.289;0.265;0.025;0.31;0.0;0.0;0.285;1.0;0.899;1.0;1.0;0.839;0.984;0.899;0.899;0.379;0.278;0.369;0.289
ENSMUST00000056931_90_90;0.801;0.368;0.296;0.289;0.265;0.025;0.31;0.0;0.0;0.285;1.0;0.899;1.0;1.0;0.839;0.984;0.899;0.899;0.379;0.278;0.369;0.289
ENSMUST00000137771_90_90;0.688;0.384;0.342;0.302;0.276;0.026;0.366;0.0;0.0;0.331;0.839;0.757;0.839;0.839;1.0;0.823;0.757;0.757;0.395;0.29;0.384;0.302
ENSMUST00000152946_90_90;0.799;0.374;0.283;0.293;0.269;0.025;0.296;0.0;0.0;0.272;0.984;0.885;0.984;0.984;0.823;1.0;0.885;0.885;0.385;0.281;0.374;0.293
ENSMUST00000156585_90_90;0.876;0.399;0.328;0.324;0.3;0.071;0.346;0.0;0.0;0.318;0.899;1.0;0.899;0.899;0.757;0.885;1.0;1.0;0.409;0.313;0.399;0.324
ENSMUST00000185355_90_90;0.876;0.399;0.328;0.324;0.3;0.071;0.346;0.0;0.0;0.318;0.899;1.0;0.899;0.899;0.757;0.885;1.0;1.0;0.409;0.313;0.399;0.324
ENSMUST00000070748_90_90;0.408;0.726;0.566;0.636;0.746;0.334;0.449;0.116;0.15;0.541;0.379;0.409;0.379;0.379;0.395;0.385;0.409;0.409;1.0;0.609;0.969;0.636
ENSMUST00000199256_90_90;0.314;0.728;0.636;0.958;0.754;0.421;0.501;0.137;0.183;0.654;0.278;0.313;0.278;0.278;0.29;0.281;0.313;0.313;0.609;1.0;0.623;0.958
ENSMUST00000199261_90_90;0.398;0.699;0.541;0.609;0.716;0.342;0.424;0.117;0.153;0.553;0.369;0.399;0.369;0.369;0.384;0.374;0.399;0.399;0.969;0.623;1.0;0.609
ENSMUST00000199534_90_90;0.325;0.76;0.667;1.0;0.791;0.406;0.532;0.134;0.179;0.636;0.289;0.324;0.289;0.289;0.302;0.293;0.324;0.324;0.636;0.958;0.609;1.0
