;id_transcript;orthoorthologues;tsm_scores
0;ENSCAFT00000015927_90_90;ENSMUST00000156585_90_90:ENSMUST00000199261_90_90:ENSMUST00000070748_90_90:ENST00000425280_90_90:ENSMUST00000185355_90_90;0.8759999999999999:0.39799999999999996:0.408:0.8759999999999999:0.8759999999999999
1;ENSCAFT00000024036_90_90;ENST00000441778_90_90:ENST00000502640_90_90:ENSMUST00000199534_90_90;0.76:0.76:0.76
2;ENST00000304523_90_90;ENST00000515064_90_90;0.966
3;ENST00000441778_90_90;ENSCAFT00000024036_90_90:ENST00000502640_90_90:ENSMUST00000199534_90_90;0.76:0.7909999999999999:1.0
4;ENST00000502640_90_90;ENSCAFT00000024036_90_90:ENST00000441778_90_90:ENSMUST00000199534_90_90;0.76:0.7909999999999999:0.7909999999999999
5;ENST00000506732_90_90;;
6;ENST00000507464_90_90;ENSMUST00000137771_90_90;0.366
7;ENST00000508918_90_90;ENST00000512345_90_90;0.451
8;ENST00000512345_90_90;ENST00000508918_90_90;0.451
9;ENST00000515064_90_90;ENST00000304523_90_90;0.966
10;ENST00000361198_90_90;ENSMUST00000056931_90_90:ENSMUST00000026252_90_90;1.0:1.0
11;ENST00000425280_90_90;ENSCAFT00000015927_90_90:ENSMUST00000156585_90_90:ENSMUST00000199261_90_90:ENSMUST00000070748_90_90:ENSMUST00000185355_90_90;0.8759999999999999:1.0:0.39899999999999997:0.409:1.0
12;ENSMUST00000026252_90_90;ENST00000361198_90_90:ENSMUST00000056931_90_90;1.0:1.0
13;ENSMUST00000056931_90_90;ENST00000361198_90_90:ENSMUST00000026252_90_90;1.0:1.0
14;ENSMUST00000137771_90_90;ENST00000507464_90_90;0.366
15;ENSMUST00000152946_90_90;;
16;ENSMUST00000156585_90_90;ENSCAFT00000015927_90_90:ENSMUST00000199261_90_90:ENSMUST00000070748_90_90:ENST00000425280_90_90:ENSMUST00000185355_90_90;0.8759999999999999:0.39899999999999997:0.409:1.0:1.0
17;ENSMUST00000185355_90_90;ENSCAFT00000015927_90_90:ENSMUST00000156585_90_90:ENSMUST00000199261_90_90:ENSMUST00000070748_90_90:ENST00000425280_90_90;0.8759999999999999:1.0:0.39899999999999997:0.409:1.0
18;ENSMUST00000070748_90_90;ENSCAFT00000015927_90_90:ENSMUST00000156585_90_90:ENSMUST00000199261_90_90:ENST00000425280_90_90:ENSMUST00000185355_90_90;0.408:0.409:0.9690000000000001:0.409:0.409
19;ENSMUST00000199256_90_90;;
20;ENSMUST00000199261_90_90;ENSCAFT00000015927_90_90:ENSMUST00000156585_90_90:ENSMUST00000070748_90_90:ENST00000425280_90_90:ENSMUST00000185355_90_90;0.39799999999999996:0.39899999999999997:0.9690000000000001:0.39899999999999997:0.39899999999999997
21;ENSMUST00000199534_90_90;ENSCAFT00000024036_90_90:ENST00000441778_90_90:ENST00000502640_90_90;0.76:1.0:0.7909999999999999
