;ENSCAFT00000024529_90_90;ENST00000326194_90_90;ENST00000355961_90_90;ENST00000359882_90_90;ENST00000361988_90_90;ENST00000367574_90_90;ENST00000470275_90_90;ENST00000472520_90_90;ENST00000485288_90_90;ENST00000489940_90_90;ENST00000528612_90_90;ENST00000537758_90_90;ENSMUST00000077595_90_90;ENSMUST00000082320_90_90;ENSMUST00000089402_90_90;ENSMUST00000089403_90_90;ENSMUST00000122943_90_90;ENSMUST00000154695_90_90
ENSCAFT00000024529_90_90;1.0;1.0;0.982;0.98;0.962;0.98;0.298;0.157;0.233;0.349;0.298;0.982;0.378;0.371;0.367;0.374;0.0;0.0
ENST00000326194_90_90;1.0;1.0;0.982;0.98;0.962;0.98;0.298;0.157;0.233;0.349;0.298;0.982;0.378;0.371;0.367;0.374;0.0;0.0
ENST00000355961_90_90;0.982;0.982;1.0;0.962;0.98;0.962;0.305;0.161;0.236;0.357;0.305;1.0;0.382;0.375;0.37;0.378;0.0;0.0
ENST00000359882_90_90;0.98;0.98;0.962;1.0;0.982;1.0;0.305;0.161;0.237;0.357;0.305;0.962;0.382;0.375;0.371;0.378;0.0;0.0
ENST00000361988_90_90;0.962;0.962;0.98;0.982;1.0;0.982;0.311;0.164;0.24;0.365;0.311;0.98;0.386;0.379;0.374;0.381;0.0;0.0
ENST00000367574_90_90;0.98;0.98;0.962;1.0;0.982;1.0;0.305;0.161;0.237;0.357;0.305;0.962;0.382;0.375;0.371;0.378;0.0;0.0
ENST00000470275_90_90;0.298;0.298;0.305;0.305;0.311;0.305;1.0;0.456;0.553;0.671;1.0;0.305;0.177;0.18;0.183;0.18;0.0;0.0
ENST00000472520_90_90;0.157;0.157;0.161;0.161;0.164;0.161;0.456;1.0;0.26;0.396;0.456;0.161;0.093;0.095;0.096;0.095;0.0;0.0
ENST00000485288_90_90;0.233;0.233;0.236;0.237;0.24;0.237;0.553;0.26;1.0;0.413;0.553;0.236;0.325;0.331;0.337;0.331;0.12;0.064
ENST00000489940_90_90;0.349;0.349;0.357;0.357;0.365;0.357;0.671;0.396;0.413;1.0;0.671;0.357;0.207;0.198;0.191;0.201;0.0;0.0
ENST00000528612_90_90;0.298;0.298;0.305;0.305;0.311;0.305;1.0;0.456;0.553;0.671;1.0;0.305;0.177;0.18;0.183;0.18;0.0;0.0
ENST00000537758_90_90;0.982;0.982;1.0;0.962;0.98;0.962;0.305;0.161;0.236;0.357;0.305;1.0;0.382;0.375;0.37;0.378;0.0;0.0
ENSMUST00000077595_90_90;0.378;0.378;0.382;0.382;0.386;0.382;0.177;0.093;0.325;0.207;0.177;0.382;1.0;0.983;0.966;0.982;0.144;0.091
ENSMUST00000082320_90_90;0.371;0.371;0.375;0.375;0.379;0.375;0.18;0.095;0.331;0.198;0.18;0.375;0.983;1.0;0.982;0.966;0.147;0.093
ENSMUST00000089402_90_90;0.367;0.367;0.37;0.371;0.374;0.371;0.183;0.096;0.337;0.191;0.183;0.37;0.966;0.982;1.0;0.983;0.149;0.095
ENSMUST00000089403_90_90;0.374;0.374;0.378;0.378;0.381;0.378;0.18;0.095;0.331;0.201;0.18;0.378;0.982;0.966;0.983;1.0;0.147;0.093
ENSMUST00000122943_90_90;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.12;0.0;0.0;0.0;0.144;0.147;0.149;0.147;1.0;0.277
ENSMUST00000154695_90_90;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.064;0.0;0.0;0.0;0.091;0.093;0.095;0.093;0.277;1.0
