;ENSCAFT00000004512_90_90;ENST00000344157_90_90;ENST00000355665_90_90;ENST00000505251_90_90;ENST00000507529_90_90;ENST00000510746_90_90;ENST00000579690_90_90;ENSMUST00000038384_90_90;ENSMUST00000119339_90_90;ENSMUST00000120498_90_90;ENSMUST00000156363_90_90
ENSCAFT00000004512_90_90;1.0;0.999;0.974;0.051;0.106;0.017;1.0;0.999;0.973;0.998;0.71
ENST00000344157_90_90;0.999;1.0;0.975;0.051;0.103;0.017;0.989;0.989;0.975;1.0;0.699
ENST00000355665_90_90;0.974;0.975;1.0;0.053;0.106;0.018;0.965;0.964;1.0;0.975;0.716
ENST00000505251_90_90;0.051;0.051;0.053;1.0;0.0;0.339;0.051;0.051;0.053;0.051;0.071
ENST00000507529_90_90;0.106;0.103;0.106;0.0;1.0;0.0;0.102;0.104;0.108;0.106;0.0
ENST00000510746_90_90;0.017;0.017;0.018;0.339;0.0;1.0;0.017;0.017;0.018;0.017;0.024
ENST00000579690_90_90;1.0;0.989;0.965;0.051;0.102;0.017;1.0;1.0;0.964;0.989;0.691
ENSMUST00000038384_90_90;0.999;0.989;0.964;0.051;0.104;0.017;1.0;1.0;0.965;0.989;0.676
ENSMUST00000119339_90_90;0.973;0.975;1.0;0.053;0.108;0.018;0.964;0.965;1.0;0.975;0.7
ENSMUST00000120498_90_90;0.998;1.0;0.975;0.051;0.106;0.017;0.989;0.989;0.975;1.0;0.683
ENSMUST00000156363_90_90;0.71;0.699;0.716;0.071;0.0;0.024;0.691;0.676;0.7;0.683;1.0
