;ENSCAFT00000023420_90_90;ENST00000319770_90_90;ENST00000355772_90_90;ENST00000361959_90_90;ENST00000396801_90_90;ENST00000417772_90_90;ENST00000436774_90_90;ENST00000535485_90_90;ENST00000538829_90_90;ENST00000540915_90_90;ENST00000542351_90_90;ENST00000544482_90_90;ENST00000545946_90_90;ENSMUST00000046064_90_90;ENSMUST00000054553_90_90;ENSMUST00000084275_90_90;ENSMUST00000088308_90_90;ENSMUST00000112424_90_90;ENSMUST00000112425_90_90;ENSMUST00000112427_90_90;ENSMUST00000112428_90_90;ENSMUST00000152752_90_90
ENSCAFT00000023420_90_90;1.0;0.84;0.64;0.92;0.92;0.6;0.4;0.24;0.16;0.4;0.16;0.08;0.24;0.92;0.64;0.96;0.96;0.88;0.88;0.96;0.92;0.12
ENST00000319770_90_90;0.84;1.0;0.778;0.931;0.931;0.5;0.444;0.259;0.185;0.407;0.103;0.074;0.37;0.889;0.792;0.889;0.889;0.815;0.96;0.889;0.889;0.125
ENST00000355772_90_90;0.64;0.778;1.0;0.724;0.724;0.3;0.32;0.12;0.04;0.185;0.04;0.045;0.476;0.704;1.0;0.704;0.704;0.76;0.76;0.704;0.704;0.1
ENST00000361959_90_90;0.92;0.931;0.724;1.0;1.0;0.516;0.414;0.241;0.172;0.379;0.097;0.069;0.345;0.828;0.731;0.963;0.963;0.889;0.889;0.963;0.828;0.115
ENST00000396801_90_90;0.92;0.931;0.724;1.0;1.0;0.516;0.414;0.241;0.172;0.379;0.097;0.069;0.345;0.828;0.731;0.963;0.963;0.889;0.889;0.963;0.828;0.115
ENST00000417772_90_90;0.6;0.5;0.3;0.516;0.516;1.0;0.667;0.389;0.278;0.611;0.15;0.111;0.0;0.571;0.333;0.517;0.517;0.448;0.5;0.517;0.571;0.176
ENST00000436774_90_90;0.4;0.444;0.32;0.414;0.414;0.667;1.0;0.583;0.214;0.643;0.062;0.077;0.0;0.407;0.364;0.407;0.407;0.44;0.44;0.407;0.407;0.273
ENST00000535485_90_90;0.24;0.259;0.12;0.241;0.241;0.389;0.583;1.0;0.333;0.636;0.091;0.125;0.0;0.222;0.136;0.222;0.222;0.24;0.24;0.222;0.222;0.5
ENST00000538829_90_90;0.16;0.185;0.04;0.172;0.172;0.278;0.214;0.333;1.0;0.455;0.429;0.4;0.0;0.148;0.045;0.148;0.148;0.074;0.16;0.148;0.148;0.167
ENST00000540915_90_90;0.4;0.407;0.185;0.379;0.379;0.611;0.643;0.636;0.455;1.0;0.231;0.182;0.0;0.37;0.208;0.37;0.37;0.296;0.4;0.37;0.37;0.3
ENST00000542351_90_90;0.16;0.103;0.04;0.097;0.097;0.15;0.062;0.091;0.429;0.231;1.0;0.4;0.0;0.148;0.045;0.148;0.148;0.074;0.16;0.148;0.148;0.167
ENST00000544482_90_90;0.08;0.074;0.045;0.069;0.069;0.111;0.077;0.125;0.4;0.182;0.4;1.0;0.0;0.074;0.05;0.074;0.074;0.038;0.08;0.074;0.074;0.25
ENST00000545946_90_90;0.24;0.37;0.476;0.345;0.345;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.296;0.421;0.296;0.296;0.32;0.32;0.296;0.296;0.0
ENSMUST00000046064_90_90;0.92;0.889;0.704;0.828;0.828;0.571;0.407;0.222;0.148;0.37;0.148;0.074;0.296;1.0;0.733;0.875;0.875;0.812;0.933;0.875;1.0;0.1
ENSMUST00000054553_90_90;0.64;0.792;1.0;0.731;0.731;0.333;0.364;0.136;0.045;0.208;0.045;0.05;0.421;0.733;1.0;0.733;0.733;0.786;0.786;0.733;0.733;0.087
ENSMUST00000084275_90_90;0.96;0.889;0.704;0.963;0.963;0.517;0.407;0.222;0.148;0.37;0.148;0.074;0.296;0.875;0.733;1.0;1.0;0.933;0.933;1.0;0.875;0.1
ENSMUST00000088308_90_90;0.96;0.889;0.704;0.963;0.963;0.517;0.407;0.222;0.148;0.37;0.148;0.074;0.296;0.875;0.733;1.0;1.0;0.933;0.933;1.0;0.875;0.1
ENSMUST00000112424_90_90;0.88;0.815;0.76;0.889;0.889;0.448;0.44;0.24;0.074;0.296;0.074;0.038;0.32;0.812;0.786;0.933;0.933;1.0;0.867;0.933;0.812;0.107
ENSMUST00000112425_90_90;0.88;0.96;0.76;0.889;0.889;0.5;0.44;0.24;0.16;0.4;0.16;0.08;0.32;0.933;0.786;0.933;0.933;0.867;1.0;0.933;0.933;0.107
ENSMUST00000112427_90_90;0.96;0.889;0.704;0.963;0.963;0.517;0.407;0.222;0.148;0.37;0.148;0.074;0.296;0.875;0.733;1.0;1.0;0.933;0.933;1.0;0.875;0.1
ENSMUST00000112428_90_90;0.92;0.889;0.704;0.828;0.828;0.571;0.407;0.222;0.148;0.37;0.148;0.074;0.296;1.0;0.733;0.875;0.875;0.812;0.933;0.875;1.0;0.1
ENSMUST00000152752_90_90;0.12;0.125;0.1;0.115;0.115;0.176;0.273;0.5;0.167;0.3;0.167;0.25;0.0;0.1;0.087;0.1;0.1;0.107;0.107;0.1;0.1;1.0
