;ENSCAFT00000032063_90_90;ENSCAFT00000047065_90_90;ENSCAFT00000050191_90_90;ENST00000260506_90_90;ENST00000271234_90_90;ENST00000370253_90_90;ENST00000424449_90_90;ENST00000604705_90_90;ENSMUST00000162409_90_90;ENSMUST00000162947_90_90;ENSMUST00000197259_90_90
ENSCAFT00000032063_90_90;1.0;0.438;0.667;0.556;0.417;0.4;0.333;0.545;0.556;0.545;0.375
ENSCAFT00000047065_90_90;0.438;1.0;0.294;0.727;0.833;0.583;0.417;1.0;0.727;1.0;0.455
ENSCAFT00000050191_90_90;0.667;0.294;1.0;0.444;0.455;0.625;0.375;0.333;0.5;0.364;0.286
ENST00000260506_90_90;0.556;0.727;0.444;1.0;0.533;0.727;0.133;0.714;1.0;0.714;0.143
ENST00000271234_90_90;0.417;0.833;0.455;0.533;1.0;0.692;0.538;0.8;0.571;0.857;0.5
ENST00000370253_90_90;0.4;0.583;0.625;0.727;0.692;1.0;0.231;0.533;0.8;0.571;0.167
ENST00000424449_90_90;0.333;0.417;0.375;0.133;0.538;0.231;1.0;0.4;0.143;0.429;1.0
ENST00000604705_90_90;0.545;1.0;0.333;0.714;0.8;0.533;0.4;1.0;0.714;1.0;0.429
ENSMUST00000162409_90_90;0.556;0.727;0.5;1.0;0.571;0.8;0.143;0.714;1.0;0.714;0.133
ENSMUST00000162947_90_90;0.545;1.0;0.364;0.714;0.857;0.571;0.429;1.0;0.714;1.0;0.4
ENSMUST00000197259_90_90;0.375;0.455;0.286;0.143;0.5;0.167;1.0;0.429;0.133;0.4;1.0
