;ENSCAFT00000031985_90_90;ENST00000370197_90_90;ENST00000370198_90_90;ENST00000426398_90_90;ENST00000609116_90_90;ENSMUST00000029780_90_90;ENSMUST00000195902_90_90;ENSMUST00000197387_90_90;ENSMUST00000197464_90_90;ENSMUST00000197833_90_90;ENSMUST00000198403_90_90;ENSMUST00000200097_90_90
ENSCAFT00000031985_90_90;1.0;1.0;0.923;0.846;0.923;0.846;0.538;0.154;0.154;0.462;0.154;0.769
ENST00000370197_90_90;1.0;1.0;0.933;0.8;0.867;0.8;0.6;0.133;0.133;0.467;0.133;0.733
ENST00000370198_90_90;0.923;0.933;1.0;0.857;0.8;0.733;0.643;0.143;0.143;0.5;0.143;0.786
ENST00000426398_90_90;0.846;0.8;0.857;1.0;0.923;0.846;0.5;0.167;0.167;0.583;0.167;0.917
ENST00000609116_90_90;0.923;0.867;0.8;0.923;1.0;0.923;0.467;0.154;0.154;0.538;0.154;0.846
ENSMUST00000029780_90_90;0.846;0.8;0.733;0.846;0.923;1.0;0.467;0.154;0.214;0.615;0.067;0.923
ENSMUST00000195902_90_90;0.538;0.6;0.643;0.5;0.467;0.467;1.0;0.222;0.0;0.417;0.0;0.5
ENSMUST00000197387_90_90;0.154;0.133;0.143;0.167;0.154;0.154;0.222;1.0;0.0;0.25;0.0;0.167
ENSMUST00000197464_90_90;0.154;0.133;0.143;0.167;0.154;0.214;0.0;0.0;1.0;0.333;0.167;0.231
ENSMUST00000197833_90_90;0.462;0.467;0.5;0.583;0.538;0.615;0.417;0.25;0.333;1.0;0.1;0.667
ENSMUST00000198403_90_90;0.154;0.133;0.143;0.167;0.154;0.067;0.0;0.0;0.167;0.1;1.0;0.071
ENSMUST00000200097_90_90;0.769;0.733;0.786;0.917;0.846;0.923;0.5;0.167;0.231;0.667;0.071;1.0
