;transcript1_ENSMLUG00000027828;transcript10_ENSMLUG00000027828;transcript16_ENSMLUG00000027828;transcript28_ENSMLUG00000027828;transcript1_ENSSTOG00000019743;transcript9_ENSSTOG00000019743;transcript29_ENSSTOG00000019743;transcript30_ENSSTOG00000019743;transcript31_ENSSTOG00000019743;transcript1_ENSCCNG00000000226;transcript30_ENSCCNG00000000226;transcript29_ENSCPOG00000024843;transcript35_ENSCPOG00000024843;transcript36_ENSCPOG00000024843;transcript37_ENSCPOG00000024843
transcript1_ENSMLUG00000027828;1.0;0.956;0.936;0.992;0.72;0.695;0.695;0.695;0.682;0.736;0.736;0.857;0.857;0.84;0.857
transcript10_ENSMLUG00000027828;0.956;1.0;0.893;0.948;0.682;0.657;0.657;0.657;0.643;0.708;0.708;0.819;0.819;0.802;0.819
transcript16_ENSMLUG00000027828;0.936;0.893;1.0;0.929;0.685;0.659;0.659;0.659;0.646;0.679;0.679;0.801;0.801;0.785;0.801
transcript28_ENSMLUG00000027828;0.992;0.948;0.929;1.0;0.72;0.694;0.694;0.694;0.686;0.73;0.73;0.85;0.85;0.845;0.85
transcript1_ENSSTOG00000019743;0.72;0.682;0.685;0.72;1.0;0.954;0.954;0.954;0.939;0.73;0.73;0.851;0.851;0.841;0.851
transcript9_ENSSTOG00000019743;0.695;0.657;0.659;0.694;0.954;1.0;1.0;1.0;0.984;0.702;0.702;0.813;0.813;0.802;0.813
transcript29_ENSSTOG00000019743;0.695;0.657;0.659;0.694;0.954;1.0;1.0;1.0;0.984;0.702;0.702;0.813;0.813;0.802;0.813
transcript30_ENSSTOG00000019743;0.695;0.657;0.659;0.694;0.954;1.0;1.0;1.0;0.984;0.702;0.702;0.813;0.813;0.802;0.813
transcript31_ENSSTOG00000019743;0.682;0.643;0.646;0.686;0.939;0.984;0.984;0.984;1.0;0.691;0.691;0.8;0.8;0.813;0.8
transcript1_ENSCCNG00000000226;0.736;0.708;0.679;0.73;0.73;0.702;0.702;0.702;0.691;1.0;1.0;0.861;0.861;0.848;0.861
transcript30_ENSCCNG00000000226;0.736;0.708;0.679;0.73;0.73;0.702;0.702;0.702;0.691;1.0;1.0;0.861;0.861;0.848;0.861
transcript29_ENSCPOG00000024843;0.857;0.819;0.801;0.85;0.851;0.813;0.813;0.813;0.8;0.861;0.861;1.0;1.0;0.984;1.0
transcript35_ENSCPOG00000024843;0.857;0.819;0.801;0.85;0.851;0.813;0.813;0.813;0.8;0.861;0.861;1.0;1.0;0.984;1.0
transcript36_ENSCPOG00000024843;0.84;0.802;0.785;0.845;0.841;0.802;0.802;0.802;0.813;0.848;0.848;0.984;0.984;1.0;0.984
transcript37_ENSCPOG00000024843;0.857;0.819;0.801;0.85;0.851;0.813;0.813;0.813;0.8;0.861;0.861;1.0;1.0;0.984;1.0
