;ENSCAFT00000012285_90_90;ENST00000361618_90_90;ENST00000393702_90_90;ENST00000393704_90_90;ENST00000502832_90_90;ENST00000504999_90_90;ENST00000506110_90_90;ENST00000506764_90_90;ENST00000507601_90_90;ENST00000510306_90_90;ENST00000512698_90_90;ENSMUST00000034066_90_90;ENSMUST00000160719_90_90;ENSMUST00000161421_90_90;ENSMUST00000161702_90_90
ENSCAFT00000012285_90_90;1.0;0.872;0.329;0.575;0.178;0.255;0.329;0.211;0.105;0.14;0.342;0.954;0.954;0.575;0.954
ENST00000361618_90_90;0.872;1.0;0.313;0.556;0.169;0.302;0.313;0.201;0.1;0.135;0.328;0.915;0.915;0.556;0.915
ENST00000393702_90_90;0.329;0.313;1.0;0.0;0.0;0.766;1.0;0.584;0.0;0.429;0.0;0.371;0.371;0.0;0.371
ENST00000393704_90_90;0.575;0.556;0.0;1.0;0.354;0.0;0.0;0.0;0.198;0.0;0.631;0.556;0.556;1.0;0.556
ENST00000502832_90_90;0.178;0.169;0.0;0.354;1.0;0.0;0.0;0.0;0.601;0.0;0.536;0.169;0.169;0.354;0.169
ENST00000504999_90_90;0.255;0.302;0.766;0.0;0.0;1.0;0.766;0.709;0.0;0.497;0.0;0.302;0.302;0.0;0.302
ENST00000506110_90_90;0.329;0.313;1.0;0.0;0.0;0.766;1.0;0.584;0.0;0.429;0.0;0.371;0.371;0.0;0.371
ENST00000506764_90_90;0.211;0.201;0.584;0.0;0.0;0.709;0.584;1.0;0.0;0.655;0.0;0.201;0.201;0.0;0.201
ENST00000507601_90_90;0.105;0.1;0.0;0.198;0.601;0.0;0.0;0.0;1.0;0.0;0.309;0.1;0.1;0.198;0.1
ENST00000510306_90_90;0.14;0.135;0.429;0.0;0.0;0.497;0.429;0.655;0.0;1.0;0.0;0.135;0.135;0.0;0.135
ENST00000512698_90_90;0.342;0.328;0.0;0.631;0.536;0.0;0.0;0.0;0.309;0.0;1.0;0.328;0.328;0.631;0.328
ENSMUST00000034066_90_90;0.954;0.915;0.371;0.556;0.169;0.302;0.371;0.201;0.1;0.135;0.328;1.0;1.0;0.556;1.0
ENSMUST00000160719_90_90;0.954;0.915;0.371;0.556;0.169;0.302;0.371;0.201;0.1;0.135;0.328;1.0;1.0;0.556;1.0
ENSMUST00000161421_90_90;0.575;0.556;0.0;1.0;0.354;0.0;0.0;0.0;0.198;0.0;0.631;0.556;0.556;1.0;0.556
ENSMUST00000161702_90_90;0.954;0.915;0.371;0.556;0.169;0.302;0.371;0.201;0.1;0.135;0.328;1.0;1.0;0.556;1.0
