;ENSBTAT00000005794_98;ENSBTAT00000074022_98;ENSCAFT00000014534_98;ENSCAFT00000063832_98;ENSCAFT00000065703_98;ENSCAFT00000067661_98;ENSCAFT00020008376_98;ENST00000416165_98;ENST00000560846_98;ENST00000561234_98;ENSGALT00000055768_98;ENSMUST00000036578_98;ENSMUST00000151162_98
ENSBTAT00000005794_98;1.0;0.937;0.955;0.873;0.952;0.988;0.997;0.99;0.98;0.98;0.981;0.99;0.297
ENSBTAT00000074022_98;0.937;1.0;0.976;0.918;1.0;0.945;1.0;1.0;0.99;0.99;0.899;1.0;0.299
ENSCAFT00000014534_98;0.955;0.976;1.0;0.848;0.943;0.887;0.987;0.974;0.996;0.964;0.869;0.973;0.295
ENSCAFT00000063832_98;0.873;0.918;0.848;1.0;0.861;0.791;0.919;0.907;0.929;0.896;0.799;0.905;0.317
ENSCAFT00000065703_98;0.952;1.0;0.943;0.861;1.0;0.881;1.0;1.0;0.977;0.989;0.881;1.0;0.287
ENSCAFT00000067661_98;0.988;0.945;0.887;0.791;0.881;1.0;0.986;0.952;0.974;0.942;0.923;0.968;0.293
ENSCAFT00020008376_98;0.997;1.0;0.987;0.919;1.0;0.986;1.0;1.0;0.989;0.989;0.997;1.0;0.291
ENST00000416165_98;0.99;1.0;0.974;0.907;1.0;0.952;1.0;1.0;0.979;0.99;0.955;1.0;0.288
ENST00000560846_98;0.98;0.99;0.996;0.929;0.977;0.974;0.989;0.979;1.0;0.969;0.926;0.978;0.295
ENST00000561234_98;0.98;0.99;0.964;0.896;0.989;0.942;0.989;0.99;0.969;1.0;0.941;0.99;0.291
ENSGALT00000055768_98;0.981;0.899;0.869;0.799;0.881;0.923;0.997;0.955;0.926;0.941;1.0;0.954;0.271
ENSMUST00000036578_98;0.99;1.0;0.973;0.905;1.0;0.968;1.0;1.0;0.978;0.99;0.954;1.0;0.288
ENSMUST00000151162_98;0.297;0.299;0.295;0.317;0.287;0.293;0.291;0.288;0.295;0.291;0.271;0.288;1.0
