id_transcript;block_sequence
ENSBTAT00000005794_98;0.4.6.9.11.15.16.17.18.19.20.21.22.23.24.25.26.28.30.31.32.33.34.36.37.38.39.40.41.42.43.44.45.47.48.49.51.52.53.54.55.56.57.58.59.61.63.65.66.67.68.69.70.71.78.79
ENSBTAT00000074022_98;16.17.18.19.20.21.22.23.24.25.26.28.30.31.32.33.34.36.37.38.39.40.41.42.43.44.45.47.48.49.51.52.53.54.55.56.57.58.59.61.63.65.66.67.68.69.70.71.78.79
ENSCAFT00000014534_98;13.15.16.17.18.19.20.21.22.23.24.25.26.28.30.32.33.34.36.37.38.39.40.41.42.43.44.45.46.47.49.51.52.53.54.55.56.57.58.59.61.63.65.66.67.68.69.70.71.72.79
ENSCAFT00000063832_98;16.17.18.19.20.21.22.23.24.25.26.28.30.32.33.34.36.37.38.39.40.41.42.43.44.45.46.47.49.51.52.53.54.55.56.57.58.59.61.63.65.66.67.68.69.70.71.72.73.74.75
ENSCAFT00000065703_98;16.17.18.19.20.21.22.23.24.25.26.28.30.32.33.34.36.37.38.39.40.41.42.43.44.45.46.47.49.51.52.53.54.55.56.57.58.59.61.63.65.66.67.68.69.70.71.72.77.78.79
ENSCAFT00000067661_98;0.1.2.3.4.5.6.7.15.16.17.18.19.20.21.22.23.24.25.26.28.30.32.33.34.36.37.38.39.40.41.42.43.44.45.46.47.49.51.52.53.54.55.56.57.58.59.61.63.65.66.67.68.69.70.71.72.79
ENSCAFT00020008376_98;16.17.18.19.20.21.22.23.24.25.26.28.30.32.33.34.36.37.38.39.40.41.42.43.44.45.46.47.49.51.52.53.54.55.56.57.58.59.61.63.65.66.67.68.69.70.71.78.79
ENST00000416165_98;16.17.18.19.20.21.22.23.24.25.26.28.30.31.32.33.34.36.37.38.39.40.41.42.43.44.45.47.49.51.52.53.54.55.56.57.58.59.60.61.62.63.65.66.67.68.69.70.71.76.77.78.79
ENST00000560846_98;16.17.18.19.20.21.22.23.24.25.26.28.30.31.32.33.34.36.37.38.39.40.41.42.43.44.45.47.49.51.52.53.54.55.56.57.58.59.60.61.62.63.65.66.67.68.69.70.71.76.79
ENST00000561234_98;16.17.18.19.20.21.22.23.24.25.26.28.30.31.32.33.34.36.37.38.39.40.41.42.43.44.45.47.49.51.52.53.54.55.56.57.58.59.60.61.62.63.65.67.68.69.70.71.76.77.78.79
ENSGALT00000055768_98;0.2.4.6.8.9.10.11.12.14.15.16.18.20.22.24.26.27.28.29.30.31.32.33.34.35.36.38.40.42.44.45.47.49.50.51.52.53.55.57.59.61.62.63.64.65.66.67.69.71.74.76.77.78.79
ENSMUST00000036578_98;16.17.18.19.20.21.22.23.24.25.26.28.30.31.32.34.36.37.38.39.40.41.42.43.44.47.49.51.53.54.55.56.57.58.59.61.62.63.65.66.67.68.69.70.71.76.77.78.79
ENSMUST00000151162_98;16.17.18.19.20.21.22.23.24.25.26.28.30.31.32.34
