;ENSCAFT00000010991_90_90;ENSCAFT00000018912_90_90;ENST00000400304_90_90;ENST00000400305_90_90;ENST00000400308_90_90;ENST00000400309_90_90;ENST00000400310_90_90;ENST00000400314_90_90;ENST00000449640_90_90;ENST00000549265_90_90;ENSMUST00000001148_90_90;ENSMUST00000092393_90_90;ENSMUST00000105411_90_90;ENSMUST00000168465_90_90;ENSMUST00000173854_90_90
ENSCAFT00000010991_90_90;1.0;0.766;0.775;0.792;0.787;0.857;0.912;0.894;0.775;0.049;0.894;0.572;0.857;0.894;0.479
ENSCAFT00000018912_90_90;0.766;1.0;0.776;0.79;0.857;0.926;0.935;0.964;0.776;0.045;0.964;0.536;0.926;0.964;0.448
ENST00000400304_90_90;0.775;0.776;1.0;0.769;0.72;0.787;0.67;0.762;1.0;0.053;0.812;0.635;0.842;0.812;0.537
ENST00000400305_90_90;0.792;0.79;0.769;1.0;0.849;0.789;0.728;0.827;0.769;0.054;0.827;0.498;0.789;0.827;0.404
ENST00000400308_90_90;0.787;0.857;0.72;0.849;1.0;0.927;0.795;0.893;0.72;0.049;0.893;0.464;0.927;0.893;0.376
ENST00000400309_90_90;0.857;0.926;0.787;0.789;0.927;1.0;0.865;0.963;0.787;0.045;0.963;0.536;1.0;0.963;0.448
ENST00000400310_90_90;0.912;0.935;0.67;0.728;0.795;0.865;1.0;0.901;0.67;0.049;0.901;0.572;0.865;0.901;0.479
ENST00000400314_90_90;0.894;0.964;0.762;0.827;0.893;0.963;0.901;1.0;0.762;0.042;1.0;0.519;0.963;1.0;0.431
ENST00000449640_90_90;0.775;0.776;1.0;0.769;0.72;0.787;0.67;0.762;1.0;0.053;0.812;0.635;0.842;0.812;0.537
ENST00000549265_90_90;0.049;0.045;0.053;0.054;0.049;0.045;0.049;0.042;0.053;1.0;0.042;0.096;0.045;0.042;0.0
ENSMUST00000001148_90_90;0.894;0.964;0.812;0.827;0.893;0.963;0.901;1.0;0.812;0.042;1.0;0.519;0.963;1.0;0.431
ENSMUST00000092393_90_90;0.572;0.536;0.635;0.498;0.464;0.536;0.572;0.519;0.635;0.096;0.519;1.0;0.536;0.519;0.358
ENSMUST00000105411_90_90;0.857;0.926;0.842;0.789;0.927;1.0;0.865;0.963;0.842;0.045;0.963;0.536;1.0;0.963;0.448
ENSMUST00000168465_90_90;0.894;0.964;0.812;0.827;0.893;0.963;0.901;1.0;0.812;0.042;1.0;0.519;0.963;1.0;0.431
ENSMUST00000173854_90_90;0.479;0.448;0.537;0.404;0.376;0.448;0.479;0.431;0.537;0.0;0.431;0.358;0.448;0.431;1.0
