;ENSCAFT00000038926_90_90;ENSCAFT00000038928_90_90;ENST00000347613_90_90;ENST00000360642_90_90;ENST00000504131_90_90;ENST00000507875_90_90;ENST00000511092_90_90;ENST00000512813_90_90;ENST00000513761_90_90;ENST00000515420_90_90;ENST00000613795_90_90;ENSMUST00000004430_90_90;ENSMUST00000056508_90_90;ENSMUST00000093490_90_90;ENSMUST00000110301_90_90;ENSMUST00000110302_90_90
ENSCAFT00000038926_90_90;1.0;0.782;0.879;0.906;0.929;0.771;0.26;0.201;1.0;0.266;0.881;0.879;0.881;0.887;1.0;0.782
ENSCAFT00000038928_90_90;0.782;1.0;0.897;0.708;0.831;0.777;0.155;0.107;0.782;0.24;0.878;0.897;0.878;0.797;0.782;1.0
ENST00000347613_90_90;0.879;0.897;1.0;0.78;0.757;0.67;0.218;0.168;0.855;0.229;0.762;1.0;0.762;0.762;0.855;0.9
ENST00000360642_90_90;0.906;0.708;0.78;1.0;0.788;0.683;0.292;0.224;0.906;0.222;0.794;0.78;0.794;0.794;0.906;0.692
ENST00000504131_90_90;0.929;0.831;0.757;0.788;1.0;0.779;0.177;0.121;0.876;0.269;0.891;0.794;0.945;0.956;0.929;0.808
ENST00000507875_90_90;0.771;0.777;0.67;0.683;0.779;1.0;0.202;0.139;0.771;0.305;0.881;0.67;0.881;0.785;0.771;0.756
ENST00000511092_90_90;0.26;0.155;0.218;0.292;0.177;0.202;1.0;0.774;0.26;0.0;0.178;0.218;0.178;0.147;0.26;0.151
ENST00000512813_90_90;0.201;0.107;0.168;0.224;0.121;0.139;0.774;1.0;0.201;0.0;0.122;0.168;0.122;0.088;0.201;0.104
ENST00000513761_90_90;1.0;0.782;0.855;0.906;0.876;0.771;0.26;0.201;1.0;0.266;0.881;0.855;0.881;0.887;1.0;0.762
ENST00000515420_90_90;0.266;0.24;0.229;0.222;0.269;0.305;0.0;0.0;0.266;1.0;0.271;0.229;0.271;0.297;0.266;0.234
ENST00000613795_90_90;0.881;0.878;0.762;0.794;0.891;0.881;0.178;0.122;0.881;0.271;1.0;0.762;1.0;0.903;0.881;0.854
ENSMUST00000004430_90_90;0.879;0.897;1.0;0.78;0.794;0.67;0.218;0.168;0.855;0.229;0.762;1.0;0.762;0.762;0.855;0.9
ENSMUST00000056508_90_90;0.881;0.878;0.762;0.794;0.945;0.881;0.178;0.122;0.881;0.271;1.0;0.762;1.0;0.903;0.881;0.854
ENSMUST00000093490_90_90;0.887;0.797;0.762;0.794;0.956;0.785;0.147;0.088;0.887;0.297;0.903;0.762;0.903;1.0;0.887;0.776
ENSMUST00000110301_90_90;1.0;0.782;0.855;0.906;0.929;0.771;0.26;0.201;1.0;0.266;0.881;0.855;0.881;0.887;1.0;0.762
ENSMUST00000110302_90_90;0.782;1.0;0.9;0.692;0.808;0.756;0.151;0.104;0.762;0.234;0.854;0.9;0.854;0.776;0.762;1.0
