;ENSCAFT00000018602_90_90;ENST00000248933_90_90;ENST00000343706_90_90;ENST00000360929_90_90;ENST00000402979_90_90;ENST00000403121_90_90;ENST00000404234_90_90;ENST00000529632_90_90;ENST00000629590_90_90;ENSMUST00000075387_90_90;ENSMUST00000079491_90_90;ENSMUST00000197425_90_90;ENSMUST00000200575_90_90;ENSMUST00000212480_90_90;ENSMUST00000212758_90_90
ENSCAFT00000018602_90_90;1.0;0.775;0.725;0.725;0.278;0.222;0.75;0.7;0.75;0.486;0.514;0.459;0.139;0.541;0.459
ENST00000248933_90_90;0.775;1.0;0.943;0.943;0.286;0.229;0.971;0.914;0.971;0.421;0.447;0.395;0.143;0.474;0.395
ENST00000343706_90_90;0.725;0.943;1.0;0.941;0.229;0.242;0.914;0.912;0.971;0.368;0.395;0.378;0.086;0.421;0.417
ENST00000360929_90_90;0.725;0.943;0.941;1.0;0.229;0.206;0.914;0.912;0.971;0.368;0.395;0.342;0.118;0.421;0.378
ENST00000402979_90_90;0.278;0.286;0.229;0.229;1.0;0.8;0.294;0.235;0.257;0.318;0.364;0.273;0.5;0.348;0.273
ENST00000403121_90_90;0.222;0.229;0.242;0.206;0.8;1.0;0.235;0.212;0.235;0.227;0.273;0.238;0.3;0.261;0.3
ENST00000404234_90_90;0.75;0.971;0.914;0.914;0.294;0.235;1.0;0.941;0.943;0.432;0.459;0.405;0.147;0.447;0.405
ENST00000529632_90_90;0.7;0.914;0.912;0.912;0.235;0.212;0.941;1.0;0.941;0.417;0.405;0.389;0.088;0.395;0.389
ENST00000629590_90_90;0.75;0.971;0.971;0.971;0.257;0.235;0.943;0.941;1.0;0.395;0.421;0.368;0.114;0.447;0.405
ENSMUST00000075387_90_90;0.486;0.421;0.368;0.368;0.318;0.227;0.432;0.417;0.395;1.0;0.95;0.947;0.2;0.905;0.85
ENSMUST00000079491_90_90;0.514;0.447;0.395;0.395;0.364;0.273;0.459;0.405;0.421;0.95;1.0;0.9;0.25;0.952;0.9
ENSMUST00000197425_90_90;0.459;0.395;0.378;0.342;0.273;0.238;0.405;0.389;0.368;0.947;0.9;1.0;0.15;0.857;0.895
ENSMUST00000200575_90_90;0.139;0.143;0.086;0.118;0.5;0.3;0.147;0.088;0.114;0.2;0.25;0.15;1.0;0.238;0.15
ENSMUST00000212480_90_90;0.541;0.474;0.421;0.421;0.348;0.261;0.447;0.395;0.447;0.905;0.952;0.857;0.238;1.0;0.857
ENSMUST00000212758_90_90;0.459;0.395;0.417;0.378;0.273;0.3;0.405;0.389;0.405;0.85;0.9;0.895;0.15;0.857;1.0
