;ENSCAFT00000044998_90_90;ENST00000158771_90_90;ENST00000570848_90_90;ENST00000571476_90_90;ENST00000571971_90_90;ENST00000572834_90_90;ENST00000573637_90_90;ENST00000574952_90_90;ENST00000575605_90_90;ENST00000576551_90_90;ENSMUST00000018586_90_90;ENSMUST00000108523_90_90;ENSMUST00000131340_90_90;ENSMUST00000132198_90_90;ENSMUST00000143850_90_90;ENSMUST00000171041_90_90
ENSCAFT00000044998_90_90;1.0;0.902;0.5;0.318;0.719;0.297;0.11;0.11;0.569;0.307;0.092;0.475;0.239;0.132;0.511;0.53
ENST00000158771_90_90;0.902;1.0;0.514;0.329;0.735;0.31;0.112;0.112;0.569;0.316;0.092;0.431;0.239;0.132;0.465;0.474
ENST00000570848_90_90;0.5;0.514;1.0;0.491;0.72;0.514;0.161;0.161;0.425;0.565;0.106;0.174;0.39;0.213;0.174;0.128
ENST00000571476_90_90;0.318;0.329;0.491;1.0;0.357;0.468;0.198;0.198;0.111;0.846;0.2;0.093;0.446;0.365;0.093;0.022
ENST00000571971_90_90;0.719;0.735;0.72;0.357;1.0;0.37;0.128;0.128;0.492;0.407;0.083;0.345;0.284;0.157;0.345;0.332
ENST00000572834_90_90;0.297;0.31;0.514;0.468;0.37;1.0;0.241;0.241;0.1;0.508;0.16;0.158;0.165;0.22;0.158;0.096
ENST00000573637_90_90;0.11;0.112;0.161;0.198;0.128;0.241;1.0;1.0;0.0;0.223;0.031;0.017;0.008;0.04;0.017;0.0
ENST00000574952_90_90;0.11;0.112;0.161;0.198;0.128;0.241;1.0;1.0;0.0;0.223;0.031;0.017;0.008;0.04;0.017;0.0
ENST00000575605_90_90;0.569;0.569;0.425;0.111;0.492;0.1;0.0;0.0;1.0;0.132;0.0;0.316;0.205;0.055;0.35;0.468
ENST00000576551_90_90;0.307;0.316;0.565;0.846;0.407;0.508;0.223;0.223;0.132;1.0;0.152;0.088;0.435;0.355;0.088;0.018
ENSMUST00000018586_90_90;0.092;0.092;0.106;0.2;0.083;0.16;0.031;0.031;0.0;0.152;1.0;0.347;0.184;0.363;0.347;0.038
ENSMUST00000108523_90_90;0.475;0.431;0.174;0.093;0.345;0.158;0.017;0.017;0.316;0.088;0.347;1.0;0.082;0.137;0.938;0.638
ENSMUST00000131340_90_90;0.239;0.239;0.39;0.446;0.284;0.165;0.008;0.008;0.205;0.435;0.184;0.082;1.0;0.454;0.082;0.0
ENSMUST00000132198_90_90;0.132;0.132;0.213;0.365;0.157;0.22;0.04;0.04;0.055;0.355;0.363;0.137;0.454;1.0;0.137;0.0
ENSMUST00000143850_90_90;0.511;0.465;0.174;0.093;0.345;0.158;0.017;0.017;0.35;0.088;0.347;0.938;0.082;0.137;1.0;0.69
ENSMUST00000171041_90_90;0.53;0.474;0.128;0.022;0.332;0.096;0.0;0.0;0.468;0.018;0.038;0.638;0.0;0.0;0.69;1.0
