;transcript7_MGP-CAROLIEiJ-G0020234;transcript7_ENSMUGG00000013649;transcript7_ENSMUGG00000013592;transcript7_ENSCGRG00015005362;transcript7_ENSCGRG00000018457;transcript7_ENSPEMG00000024651;transcript57_MGP-CAROLIEiJ-G0020234;transcript58_MGP-CAROLIEiJ-G0020234;transcript59_MGP-CAROLIEiJ-G0020234;transcript28_ENSMUGG00000013649;transcript42_ENSMUGG00000013649;transcript42_ENSMUGG00000013592;transcript52_ENSMUGG00000013592;transcript52_ENSCGRG00015005362;transcript53_ENSCGRG00015005362;transcript54_ENSCGRG00015005362;transcript55_ENSCGRG00015005362
transcript7_MGP-CAROLIEiJ-G0020234;1.0;0.996;0.991;0.996;0.996;0.996;1.0;1.0;1.0;0.32;0.331;0.33;0.202;0.169;0.34;0.32;0.342
transcript7_ENSMUGG00000013649;0.996;1.0;0.996;1.0;1.0;1.0;0.815;0.844;0.815;0.299;0.299;0.298;0.19;0.161;0.353;0.316;0.316
transcript7_ENSMUGG00000013592;0.991;0.996;1.0;0.996;0.996;0.996;0.81;0.839;0.81;0.332;0.332;0.334;0.219;0.18;0.399;0.353;0.353
transcript7_ENSCGRG00015005362;0.996;1.0;0.996;1.0;1.0;1.0;0.995;0.996;0.995;0.364;0.397;0.394;0.249;0.202;0.382;0.364;0.386
transcript7_ENSCGRG00000018457;0.996;1.0;0.996;1.0;1.0;1.0;0.995;0.996;0.995;1.0;1.0;0.996;0.992;0.508;1.0;1.0;1.0
transcript7_ENSPEMG00000024651;0.996;1.0;0.996;1.0;1.0;1.0;0.995;0.996;0.995;1.0;1.0;0.996;0.992;0.508;1.0;1.0;1.0
transcript57_MGP-CAROLIEiJ-G0020234;1.0;0.815;0.81;0.995;0.995;0.995;1.0;1.0;1.0;0.319;0.33;0.329;0.128;0.115;0.295;0.277;0.298
transcript58_MGP-CAROLIEiJ-G0020234;1.0;0.844;0.839;0.996;0.996;0.996;1.0;1.0;1.0;0.357;0.369;0.368;0.188;0.169;0.34;0.32;0.342
transcript59_MGP-CAROLIEiJ-G0020234;1.0;0.815;0.81;0.995;0.995;0.995;1.0;1.0;1.0;0.319;0.33;0.329;0.128;0.115;0.295;0.277;0.298
transcript28_ENSMUGG00000013649;0.32;0.299;0.332;0.364;1.0;1.0;0.319;0.357;0.319;1.0;1.0;0.998;0.973;0.908;0.983;1.0;0.98
transcript42_ENSMUGG00000013649;0.331;0.299;0.332;0.397;1.0;1.0;0.33;0.369;0.33;1.0;1.0;0.998;0.973;0.935;0.982;1.0;0.979
transcript42_ENSMUGG00000013592;0.33;0.298;0.334;0.394;0.996;0.996;0.329;0.368;0.329;0.998;0.998;1.0;0.975;0.933;0.98;0.998;0.977
transcript52_ENSMUGG00000013592;0.202;0.19;0.219;0.249;0.992;0.992;0.128;0.188;0.128;0.973;0.973;0.975;1.0;0.998;0.979;0.998;0.975
transcript52_ENSCGRG00015005362;0.169;0.161;0.18;0.202;0.508;0.508;0.115;0.169;0.115;0.908;0.935;0.933;0.998;1.0;0.885;0.908;0.886
transcript53_ENSCGRG00015005362;0.34;0.353;0.399;0.382;1.0;1.0;0.295;0.34;0.295;0.983;0.982;0.98;0.979;0.885;1.0;0.983;0.961
transcript54_ENSCGRG00015005362;0.32;0.316;0.353;0.364;1.0;1.0;0.277;0.32;0.277;1.0;1.0;0.998;0.998;0.908;0.983;1.0;0.98
transcript55_ENSCGRG00015005362;0.342;0.316;0.353;0.386;1.0;1.0;0.298;0.342;0.298;0.98;0.979;0.977;0.975;0.886;0.961;0.98;1.0
