;ENSCAFT00000011939_90_90;ENST00000288986_90_90;ENST00000467911_90_90;ENST00000469404_90_90;ENST00000476286_90_90;ENST00000481752_90_90;ENST00000485096_90_90;ENST00000488930_90_90;ENST00000491539_90_90;ENST00000496489_90_90;ENSMUST00000112874_90_90;ENSMUST00000116522_90_90;ENSMUST00000186591_90_90;ENSMUST00000188670_90_90
ENSCAFT00000011939_90_90;1.0;0.931;0.395;0.731;0.171;0.931;0.252;0.48;0.303;0.352;0.731;0.931;0.506;0.374
ENST00000288986_90_90;0.931;1.0;0.443;0.788;0.171;1.0;0.296;0.536;0.35;0.401;0.788;1.0;0.559;0.425
ENST00000467911_90_90;0.395;0.443;1.0;0.586;0.0;0.443;0.18;0.426;0.258;0.442;0.586;0.443;0.254;0.295
ENST00000469404_90_90;0.731;0.788;0.586;1.0;0.0;0.788;0.118;0.345;0.169;0.282;1.0;0.788;0.369;0.24
ENST00000476286_90_90;0.171;0.171;0.0;0.0;1.0;0.171;0.577;0.344;0.492;0.277;0.0;0.171;0.307;0.427
ENST00000481752_90_90;0.931;1.0;0.443;0.788;0.171;1.0;0.296;0.536;0.35;0.401;0.788;1.0;0.559;0.425
ENST00000485096_90_90;0.252;0.296;0.18;0.118;0.577;0.296;1.0;0.578;0.847;0.551;0.118;0.296;0.529;0.722
ENST00000488930_90_90;0.48;0.536;0.426;0.345;0.344;0.536;0.578;1.0;0.676;0.768;0.345;0.536;0.552;0.706
ENST00000491539_90_90;0.303;0.35;0.258;0.169;0.492;0.35;0.847;0.676;1.0;0.667;0.169;0.35;0.625;0.845
ENST00000496489_90_90;0.352;0.401;0.442;0.282;0.277;0.401;0.551;0.768;0.667;1.0;0.282;0.401;0.541;0.703
ENSMUST00000112874_90_90;0.731;0.788;0.586;1.0;0.0;0.788;0.118;0.345;0.169;0.282;1.0;0.788;0.369;0.24
ENSMUST00000116522_90_90;0.931;1.0;0.443;0.788;0.171;1.0;0.296;0.536;0.35;0.401;0.788;1.0;0.559;0.425
ENSMUST00000186591_90_90;0.506;0.559;0.254;0.369;0.307;0.559;0.529;0.552;0.625;0.541;0.369;0.559;1.0;0.758
ENSMUST00000188670_90_90;0.374;0.425;0.295;0.24;0.427;0.425;0.722;0.706;0.845;0.703;0.24;0.425;0.758;1.0
