;ENSCAFT00000028719_90_90;ENST00000347662_90_90;ENST00000351691_90_90;ENST00000392745_90_90;ENST00000539721_90_90;ENST00000558700_90_90;ENST00000559734_90_90;ENST00000560371_90_90;ENST00000560463_90_90;ENSMUST00000021706_90_90;ENSMUST00000060274_90_90;ENSMUST00000117269_90_90;ENSMUST00000139162_90_90
ENSCAFT00000028719_90_90;1.0;0.786;0.786;0.857;0.692;0.467;0.214;0.857;0.308;0.923;0.846;0.846;0.308
ENST00000347662_90_90;0.786;1.0;1.0;0.923;0.75;0.5;0.333;0.923;0.333;0.714;0.769;0.769;0.333
ENST00000351691_90_90;0.786;1.0;1.0;0.923;0.75;0.5;0.333;0.923;0.333;0.714;0.769;0.769;0.333
ENST00000392745_90_90;0.857;0.923;0.923;1.0;0.692;0.571;0.308;1.0;0.308;0.786;0.714;0.714;0.308
ENST00000539721_90_90;0.692;0.75;0.75;0.692;1.0;0.286;0.182;0.692;0.444;0.615;0.667;0.667;0.444
ENST00000558700_90_90;0.467;0.5;0.5;0.571;0.286;1.0;0.3;0.571;0.083;0.5;0.429;0.429;0.182
ENST00000559734_90_90;0.214;0.333;0.333;0.308;0.182;0.3;1.0;0.308;0.0;0.231;0.25;0.25;0.0
ENST00000560371_90_90;0.857;0.923;0.923;1.0;0.692;0.571;0.308;1.0;0.308;0.786;0.714;0.714;0.308
ENST00000560463_90_90;0.308;0.333;0.333;0.308;0.444;0.083;0.0;0.308;1.0;0.231;0.25;0.25;0.6
ENSMUST00000021706_90_90;0.923;0.714;0.714;0.786;0.615;0.5;0.231;0.786;0.231;1.0;0.917;0.917;0.333
ENSMUST00000060274_90_90;0.846;0.769;0.769;0.714;0.667;0.429;0.25;0.714;0.25;0.917;1.0;1.0;0.364
ENSMUST00000117269_90_90;0.846;0.769;0.769;0.714;0.667;0.429;0.25;0.714;0.25;0.917;1.0;1.0;0.364
ENSMUST00000139162_90_90;0.308;0.333;0.333;0.308;0.444;0.182;0.0;0.308;0.6;0.333;0.364;0.364;1.0
