;transcript8_ENSMSIG00000000513;transcript8_ENSMUSG00000054036;transcript8_ENSRNOG00000031503;transcript47_MGP-SPRETEiJ-G0021131;transcript47_ENSMUSG00000054036;transcript47_ENSMUGG00000013649;transcript42_ENSMUSG00000054036;transcript42_ENSRNOG00000031503;transcript54_ENSMUSG00000054036;transcript55_ENSMUSG00000054036;transcript7_ENSMUGG00000013649;transcript7_ENSMUGG00000013592;transcript44_ENSMUGG00000013649;transcript48_ENSMUGG00000013649;transcript28_ENSMUGG00000013592;transcript52_ENSMUGG00000013592;transcript53_ENSMUGG00000013592;transcript54_ENSMUGG00000013592;transcript25_ENSPEMG00000024651
transcript8_ENSMSIG00000000513;1.0;1.0;0.794;0.326;0.326;0.326;0.773;0.651;0.697;0.578;0.197;0.228;0.184;0.192;0.209;0.224;0.219;0.235;0.173
transcript8_ENSMUSG00000054036;1.0;1.0;0.794;0.326;0.326;0.326;0.773;0.651;0.697;0.578;0.197;0.228;0.184;0.192;0.209;0.224;0.219;0.235;0.173
transcript8_ENSRNOG00000031503;0.794;0.794;1.0;0.367;0.367;0.367;0.627;0.76;0.55;0.501;0.146;0.161;0.138;0.143;0.148;0.159;0.155;0.168;0.127
transcript47_MGP-SPRETEiJ-G0021131;0.326;0.326;0.367;1.0;1.0;1.0;0.269;0.299;0.195;0.355;0.064;0.073;0.06;0.062;0.067;0.072;0.07;0.076;0.054
transcript47_ENSMUSG00000054036;0.326;0.326;0.367;1.0;1.0;1.0;0.269;0.299;0.195;0.355;0.064;0.073;0.06;0.062;0.067;0.072;0.07;0.076;0.054
transcript47_ENSMUGG00000013649;0.326;0.326;0.367;1.0;1.0;1.0;0.269;0.299;0.195;0.355;0.064;0.073;0.06;0.062;0.067;0.072;0.07;0.076;0.054
transcript42_ENSMUSG00000054036;0.773;0.773;0.627;0.269;0.269;0.269;1.0;0.805;0.924;0.796;0.266;0.299;0.248;0.258;0.275;0.293;0.287;0.307;0.233
transcript42_ENSRNOG00000031503;0.651;0.651;0.76;0.299;0.299;0.299;0.805;1.0;0.73;0.683;0.198;0.212;0.185;0.193;0.195;0.209;0.204;0.219;0.172
transcript54_ENSMUSG00000054036;0.697;0.697;0.55;0.195;0.195;0.195;0.924;0.73;1.0;0.722;0.248;0.279;0.233;0.241;0.258;0.274;0.269;0.288;0.219
transcript55_ENSMUSG00000054036;0.578;0.578;0.501;0.355;0.355;0.355;0.796;0.683;0.722;1.0;0.224;0.263;0.21;0.218;0.242;0.259;0.253;0.271;0.197
transcript7_ENSMUGG00000013649;0.197;0.197;0.146;0.064;0.064;0.064;0.266;0.198;0.248;0.224;1.0;0.865;0.879;0.842;0.799;0.853;0.756;0.695;0.867
transcript7_ENSMUGG00000013592;0.228;0.228;0.161;0.073;0.073;0.073;0.299;0.212;0.279;0.263;0.865;1.0;0.756;0.731;0.917;0.984;0.868;0.799;0.746
transcript44_ENSMUGG00000013649;0.184;0.184;0.138;0.06;0.06;0.06;0.248;0.185;0.233;0.21;0.879;0.756;1.0;0.961;0.829;0.768;0.785;0.726;0.92
transcript48_ENSMUGG00000013649;0.192;0.192;0.143;0.062;0.062;0.062;0.258;0.193;0.241;0.218;0.842;0.731;0.961;1.0;0.803;0.743;0.761;0.701;0.884
transcript28_ENSMUGG00000013592;0.209;0.209;0.148;0.067;0.067;0.067;0.275;0.195;0.258;0.242;0.799;0.917;0.829;0.803;1.0;0.931;0.952;0.883;0.814
transcript52_ENSMUGG00000013592;0.224;0.224;0.159;0.072;0.072;0.072;0.293;0.209;0.274;0.259;0.853;0.984;0.768;0.743;0.931;1.0;0.883;0.814;0.757
transcript53_ENSMUGG00000013592;0.219;0.219;0.155;0.07;0.07;0.07;0.287;0.204;0.269;0.253;0.756;0.868;0.785;0.761;0.952;0.883;1.0;0.835;0.774
transcript54_ENSMUGG00000013592;0.235;0.235;0.168;0.076;0.076;0.076;0.307;0.219;0.288;0.271;0.695;0.799;0.726;0.701;0.883;0.814;0.835;1.0;0.717
transcript25_ENSPEMG00000024651;0.173;0.173;0.127;0.054;0.054;0.054;0.233;0.172;0.219;0.197;0.867;0.746;0.92;0.884;0.814;0.757;0.774;0.717;1.0
