;transcript7_ENSMSIG00000000513;transcript7_ENSMUSG00000054036;transcript43_MGP-CAROLIEiJ-G0020234;transcript26_MGP-PahariEiJ-G0020237;transcript33_ENSRNOG00000031503;transcript26_ENSMSIG00000000513;transcript47_ENSMSIG00000000513;transcript49_ENSMSIG00000000513;transcript41_ENSMSIG00000000513;transcript43_ENSMSIG00000000513;transcript46_ENSMSIG00000000513;transcript48_ENSMSIG00000000513;transcript22_MGP-CAROLIEiJ-G0020234;transcript8_MGP-CAROLIEiJ-G0020234;transcript32_MGP-CAROLIEiJ-G0020234;transcript42_MGP-CAROLIEiJ-G0020234;transcript33_MGP-CAROLIEiJ-G0020234;transcript41_MGP-SPRETEiJ-G0021131;transcript22_MGP-SPRETEiJ-G0021131;transcript36_ENSMUSG00000054036;transcript34_ENSMUGG00000013592;transcript35_ENSMUGG00000013592;transcript18_ENSMUGG00000013592;transcript33_ENSMUGG00000013592;transcript32_ENSMUGG00000013592;transcript23_ENSRNOG00000031503;transcript21_ENSRNOG00000031503;transcript19_ENSRNOG00000031503;transcript18_ENSRNOG00000031503;transcript32_ENSRNOG00000031503;transcript9_ENSRNOG00000031503
transcript7_ENSMSIG00000000513;1.0;0.927;0.812;0.679;0.71;0.683;0.683;0.695;0.652;0.652;0.612;0.612;0.794;0.818;0.871;0.871;0.931;0.824;0.806;0.652;0.683;0.683;0.667;0.698;0.667;0.611;0.611;0.595;0.659;0.667;0.529
transcript7_ENSMUSG00000054036;0.927;1.0;0.879;0.889;0.417;0.87;0.87;0.889;0.705;0.705;0.674;0.674;0.385;0.39;0.382;0.382;0.392;0.889;0.407;0.379;0.462;0.462;0.452;0.371;0.363;0.406;0.406;0.406;0.484;0.403;0.339
transcript43_MGP-CAROLIEiJ-G0020234;0.812;0.879;1.0;0.938;0.393;0.912;0.912;0.939;0.969;0.969;0.912;0.912;0.395;0.383;0.358;0.358;0.367;1.0;0.397;0.41;0.395;0.395;0.383;0.367;0.358;0.431;0.431;0.431;0.431;0.386;0.377
transcript26_MGP-PahariEiJ-G0020237;0.679;0.889;0.938;1.0;0.548;1.0;1.0;0.982;0.571;0.571;0.625;0.625;1.0;0.969;0.906;0.906;0.844;0.943;1.0;0.8;1.0;1.0;0.983;0.534;0.569;0.667;0.667;0.69;1.0;0.595;0.5
transcript33_ENSRNOG00000031503;0.71;0.417;0.393;0.548;1.0;0.545;0.545;0.558;0.889;0.889;0.8;0.8;0.914;0.93;0.964;0.964;1.0;0.421;0.915;0.915;0.731;0.731;0.731;1.0;0.966;0.905;0.905;0.891;0.731;0.949;0.726
transcript26_ENSMSIG00000000513;0.683;0.87;0.912;1.0;0.545;1.0;1.0;0.983;0.583;0.583;0.633;0.633;1.0;0.971;0.912;0.912;0.853;0.917;1.0;0.804;1.0;1.0;0.983;0.533;0.567;0.659;0.659;0.682;1.0;0.591;0.523
transcript47_ENSMSIG00000000513;0.683;0.87;0.912;1.0;0.545;1.0;1.0;0.983;0.583;0.583;0.633;0.633;1.0;0.971;0.912;0.912;0.853;0.917;1.0;0.804;1.0;1.0;0.983;0.533;0.567;0.659;0.659;0.682;1.0;0.591;0.523
transcript49_ENSMSIG00000000513;0.695;0.889;0.939;0.982;0.558;0.983;0.983;1.0;0.593;0.593;0.617;0.617;0.971;0.941;0.882;0.882;0.879;0.943;0.972;0.783;0.983;0.983;0.967;0.542;0.55;0.636;0.636;0.659;0.977;0.568;0.5
transcript41_ENSMSIG00000000513;0.652;0.705;0.969;0.571;0.889;0.583;0.583;0.593;1.0;1.0;0.921;0.921;0.941;0.912;0.853;0.853;0.906;0.971;0.944;0.946;0.583;0.583;0.567;0.914;0.865;0.931;0.931;0.9;0.614;0.828;0.724
transcript43_ENSMSIG00000000513;0.652;0.705;0.969;0.571;0.889;0.583;0.583;0.593;1.0;1.0;0.921;0.921;0.941;0.912;0.853;0.853;0.906;0.971;0.944;0.946;0.583;0.583;0.567;0.914;0.865;0.931;0.931;0.9;0.614;0.828;0.724
transcript46_ENSMSIG00000000513;0.612;0.674;0.912;0.625;0.8;0.633;0.633;0.617;0.921;0.921;1.0;1.0;1.0;0.971;0.912;0.912;0.853;0.917;1.0;1.0;0.633;0.633;0.617;0.842;0.895;0.967;0.967;1.0;0.682;0.867;0.767
