;ENSCAFT00000026690_90_90;ENST00000311089_90_90;ENST00000553645_90_90;ENST00000554113_90_90;ENST00000554159_90_90;ENST00000554339_90_90;ENST00000554871_90_90;ENST00000555631_90_90;ENST00000555919_90_90;ENST00000559993_90_90;ENSMUST00000046340_90_90;ENSMUST00000123491_90_90;ENSMUST00000136159_90_90;ENSMUST00000140812_90_90;ENSMUST00000156138_90_90
ENSCAFT00000026690_90_90;1.0;0.267;0.933;0.133;0.467;0.467;0.8;0.733;0.4;0.267;0.733;0.867;0.4;0.2;0.333
ENST00000311089_90_90;0.267;1.0;0.353;0.333;0.0;0.6;0.429;0.214;0.0;0.429;0.333;0.286;0.0;0.5;0.0
ENST00000553645_90_90;0.933;0.353;1.0;0.118;0.412;0.588;0.824;0.647;0.353;0.167;0.733;0.867;0.4;0.188;0.333
ENST00000554113_90_90;0.133;0.333;0.118;1.0;0.0;0.2;0.143;0.182;0.0;0.5;0.182;0.154;0.0;0.2;0.0
ENST00000554159_90_90;0.467;0.0;0.412;0.0;1.0;0.133;0.4;0.5;0.625;0.0;0.385;0.429;0.444;0.0;0.5
ENST00000554339_90_90;0.467;0.6;0.588;0.2;0.133;1.0;0.6;0.4;0.067;0.273;0.583;0.5;0.0;0.333;0.0
ENST00000554871_90_90;0.8;0.429;0.824;0.143;0.4;0.6;1.0;0.786;0.429;0.2;0.846;0.733;0.267;0.214;0.2
ENST00000555631_90_90;0.733;0.214;0.647;0.182;0.5;0.4;0.786;1.0;0.545;0.25;0.833;0.714;0.308;0.154;0.231
ENST00000555919_90_90;0.4;0.0;0.353;0.0;0.625;0.067;0.429;0.545;1.0;0.0;0.417;0.357;0.5;0.0;0.375
ENST00000559993_90_90;0.267;0.429;0.167;0.5;0.0;0.273;0.2;0.25;0.0;1.0;0.25;0.214;0.0;0.6;0.0
ENSMUST00000046340_90_90;0.733;0.333;0.733;0.182;0.385;0.583;0.846;0.833;0.417;0.25;1.0;0.812;0.294;0.125;0.167
ENSMUST00000123491_90_90;0.867;0.286;0.867;0.154;0.429;0.5;0.733;0.714;0.357;0.214;0.812;1.0;0.471;0.105;0.333
ENSMUST00000136159_90_90;0.4;0.0;0.4;0.0;0.444;0.0;0.267;0.308;0.5;0.0;0.294;0.471;1.0;0.0;0.545
ENSMUST00000140812_90_90;0.2;0.5;0.188;0.2;0.0;0.333;0.214;0.154;0.0;0.6;0.125;0.105;0.0;1.0;0.0
ENSMUST00000156138_90_90;0.333;0.0;0.333;0.0;0.5;0.0;0.2;0.231;0.375;0.0;0.167;0.333;0.545;0.0;1.0
