;transcript12_ppan;transcript19_ppan;transcript20_ppan;transcript12_ptro;transcript12_hsap;transcript18_hsap;transcript19_hsap;transcript20_hsap;transcript21_hsap;transcript11_ggor;transcript12_ggor;transcript16_ggor;transcript17_ggor;transcript18_ggor;transcript19_ggor;transcript8_pabe
transcript12_ppan;1.0;0.954;0.962;1.0;1.0;0.599;0.954;0.883;0.812;0.552;0.949;0.701;0.701;0.559;0.945;0.803
transcript19_ppan;0.954;1.0;0.914;0.951;0.954;0.552;1.0;0.837;0.768;0.501;0.895;0.65;0.65;0.508;0.998;0.76
transcript20_ppan;0.962;0.914;1.0;0.959;0.962;0.548;0.914;0.945;0.767;0.496;0.903;0.752;0.752;0.503;0.899;0.758
transcript12_ptro;1.0;0.951;0.959;1.0;1.0;0.752;0.951;0.877;1.0;0.67;0.945;0.869;0.869;0.67;0.941;1.0
transcript12_hsap;1.0;0.954;0.962;1.0;1.0;0.435;0.954;0.883;0.557;0.427;0.949;0.523;0.523;0.431;0.945;0.55
transcript18_hsap;0.599;0.552;0.548;0.752;0.435;1.0;0.405;0.403;0.714;0.925;0.445;0.655;0.655;0.938;0.392;0.703
transcript19_hsap;0.954;1.0;0.914;0.951;0.954;0.405;1.0;0.837;0.534;0.39;0.895;0.493;0.493;0.394;0.998;0.527
transcript20_hsap;0.883;0.837;0.945;0.877;0.883;0.403;0.837;1.0;0.494;0.335;0.819;0.509;0.509;0.339;0.815;0.488
transcript21_hsap;0.812;0.768;0.767;1.0;0.557;0.714;0.534;0.494;1.0;0.632;0.551;0.926;0.926;0.639;0.549;0.99
transcript11_ggor;0.552;0.501;0.496;0.67;0.427;0.925;0.39;0.335;0.632;1.0;0.417;0.597;0.597;0.956;0.37;0.648
transcript12_ggor;0.949;0.895;0.903;0.945;0.949;0.445;0.895;0.819;0.551;0.417;1.0;0.503;0.503;0.433;0.897;0.514
transcript16_ggor;0.701;0.65;0.752;0.869;0.523;0.655;0.493;0.509;0.926;0.597;0.503;1.0;1.0;0.613;0.465;0.908
transcript17_ggor;0.701;0.65;0.752;0.869;0.523;0.655;0.493;0.509;0.926;0.597;0.503;1.0;1.0;0.613;0.465;0.908
transcript18_ggor;0.559;0.508;0.503;0.67;0.431;0.938;0.394;0.339;0.639;0.956;0.433;0.613;0.613;1.0;0.383;0.617
transcript19_ggor;0.945;0.998;0.899;0.941;0.945;0.392;0.998;0.815;0.549;0.37;0.897;0.465;0.465;0.383;1.0;0.512
transcript8_pabe;0.803;0.76;0.758;1.0;0.55;0.703;0.527;0.488;0.99;0.648;0.514;0.908;0.908;0.617;0.512;1.0
