;transcript2_ENSMLUG00000027828;transcript17_ENSMUGG00000013649;transcript17_ENSMUGG00000013592;transcript29_ENSMUGG00000013592;transcript8_ENSPEMG00000024651;transcript7_ENSNGAG00000018584;transcript8_ENSNGAG00000018584;transcript9_ENSNGAG00000018584;transcript10_ENSNGAG00000018584;transcript18_ENSNGAG00000018584;transcript19_ENSNGAG00000018584;transcript2_ENSSTOG00000019743;transcript15_ENSSTOG00000019743
transcript2_ENSMLUG00000027828;1.0;0.538;0.527;0.579;0.533;0.298;0.63;0.631;0.63;0.607;0.614;0.839;0.839
transcript17_ENSMUGG00000013649;0.538;1.0;0.975;0.881;0.831;0.323;0.495;0.494;0.489;0.508;0.503;0.592;0.592
transcript17_ENSMUGG00000013592;0.527;0.975;1.0;0.901;0.81;0.32;0.488;0.487;0.482;0.5;0.495;0.577;0.577
transcript29_ENSMUGG00000013592;0.579;0.881;0.901;1.0;0.885;0.293;0.532;0.532;0.526;0.546;0.541;0.641;0.641
transcript8_ENSPEMG00000024651;0.533;0.831;0.81;0.885;1.0;0.283;0.489;0.488;0.483;0.502;0.496;0.593;0.593
transcript7_ENSNGAG00000018584;0.298;0.323;0.32;0.293;0.283;1.0;0.354;0.356;0.432;0.389;0.447;0.323;0.323
transcript8_ENSNGAG00000018584;0.63;0.495;0.488;0.532;0.489;0.354;1.0;0.998;0.888;0.846;0.858;0.749;0.749
transcript9_ENSNGAG00000018584;0.631;0.494;0.487;0.532;0.488;0.356;0.998;1.0;0.89;0.848;0.861;0.751;0.751
transcript10_ENSNGAG00000018584;0.63;0.489;0.482;0.526;0.483;0.432;0.888;0.89;1.0;0.956;0.968;0.746;0.746
transcript18_ENSNGAG00000018584;0.607;0.508;0.5;0.546;0.502;0.389;0.846;0.848;0.956;1.0;0.925;0.714;0.714
transcript19_ENSNGAG00000018584;0.614;0.503;0.495;0.541;0.496;0.447;0.858;0.861;0.968;0.925;1.0;0.723;0.723
transcript2_ENSSTOG00000019743;0.839;0.592;0.577;0.641;0.593;0.323;0.749;0.751;0.746;0.714;0.723;1.0;1.0
transcript15_ENSSTOG00000019743;0.839;0.592;0.577;0.641;0.593;0.323;0.749;0.751;0.746;0.714;0.723;1.0;1.0
