;ENSCAFT00000002127_90_90;ENSCAFT00000010587_90_90;ENST00000360332_90_90;ENST00000374174_90_90;ENST00000374176_90_90;ENST00000374179_90_90;ENST00000374182_90_90;ENST00000374189_90_90;ENST00000395611_90_90;ENST00000426557_90_90;ENST00000429041_90_90;ENST00000432379_90_90;ENST00000229794_90_90;ENST00000229795_90_90;ENST00000310795_90_90;ENST00000468133_90_90;ENST00000472333_90_90;ENST00000474429_90_90;ENST00000491957_90_90;ENST00000622903_90_90;ENSMUST00000022504_90_90;ENSMUST00000111942_90_90;ENSMUST00000111943_90_90;ENSMUST00000111944_90_90;ENSMUST00000111945_90_90;ENSMUST00000004990_90_90;ENSMUST00000062694_90_90;ENSMUST00000114752_90_90;ENSMUST00000114754_90_90;ENSMUST00000114758_90_90;ENSMUST00000124886_90_90
ENSCAFT00000002127_90_90;1.0;0.157;0.167;0.148;0.202;0.157;0.161;0.207;0.202;0.243;0.061;0.237;0.135;0.123;0.139;0.076;0.068;0.167;0.161;0.161;0.202;0.167;0.157;0.207;0.161;0.246;0.259;0.378;0.378;0.245;0.212
ENSCAFT00000010587_90_90;0.157;1.0;0.838;0.533;0.837;1.0;0.896;0.753;0.837;0.23;0.293;0.243;0.402;0.366;0.411;0.349;0.301;0.13;0.294;0.294;0.837;0.838;1.0;0.753;0.896;0.303;0.314;0.116;0.116;0.321;0.333
ENST00000360332_90_90;0.167;0.838;1.0;0.635;0.698;0.838;0.861;0.714;0.698;0.274;0.349;0.29;0.33;0.337;0.337;0.268;0.297;0.154;0.342;0.342;0.698;1.0;0.838;0.714;0.861;0.268;0.278;0.135;0.135;0.286;0.297
ENST00000374174_90_90;0.148;0.533;0.635;1.0;0.471;0.533;0.548;0.482;0.471;0.415;0.524;0.439;0.433;0.446;0.446;0.361;0.415;0.227;0.481;0.481;0.471;0.635;0.533;0.482;0.548;0.122;0.127;0.0;0.0;0.13;0.136
ENST00000374176_90_90;0.202;0.837;0.698;0.471;1.0;0.837;0.753;0.908;1.0;0.202;0.259;0.214;0.363;0.33;0.37;0.312;0.269;0.115;0.263;0.263;1.0;0.698;0.837;0.908;0.753;0.34;0.352;0.165;0.165;0.36;0.372
ENST00000374179_90_90;0.157;1.0;0.838;0.533;0.837;1.0;0.896;0.753;0.837;0.23;0.293;0.243;0.402;0.366;0.411;0.349;0.301;0.13;0.294;0.294;0.837;0.838;1.0;0.753;0.896;0.303;0.314;0.116;0.116;0.321;0.333
ENST00000374182_90_90;0.161;0.896;0.861;0.548;0.753;0.896;1.0;0.833;0.753;0.236;0.301;0.25;0.366;0.33;0.374;0.31;0.293;0.133;0.301;0.301;0.753;0.861;0.896;0.833;1.0;0.267;0.276;0.119;0.119;0.282;0.293
ENST00000374189_90_90;0.207;0.753;0.714;0.482;0.908;0.753;0.833;1.0;0.908;0.207;0.265;0.22;0.33;0.298;0.337;0.278;0.261;0.118;0.269;0.269;0.908;0.714;0.753;1.0;0.833;0.305;0.315;0.169;0.169;0.322;0.333
ENST00000395611_90_90;0.202;0.837;0.698;0.471;1.0;0.837;0.753;0.908;1.0;0.202;0.259;0.214;0.363;0.33;0.37;0.312;0.269;0.115;0.263;0.263;1.0;0.698;0.837;0.908;0.753;0.34;0.352;0.165;0.165;0.36;0.372
ENST00000426557_90_90;0.243;0.23;0.274;0.415;0.202;0.23;0.236;0.207;0.202;1.0;0.25;0.944;0.22;0.228;0.228;0.113;0.133;0.5;0.325;0.325;0.202;0.274;0.23;0.207;0.236;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000429041_90_90;0.061;0.293;0.349;0.524;0.259;0.293;0.301;0.265;0.259;0.25;1.0;0.281;0.219;0.226;0.226;0.275;0.326;0.059;0.311;0.311;0.259;0.349;0.293;0.265;0.301;0.121;0.127;0.0;0.0;0.132;0.14
ENST00000432379_90_90;0.237;0.243;0.29;0.439;0.214;0.243;0.25;0.22;0.214;0.944;0.281;1.0;0.217;0.224;0.224;0.111;0.13;0.476;0.317;0.317;0.214;0.29;0.243;0.22;0.25;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000229794_90_90;0.135;0.402;0.33;0.433;0.363;0.402;0.366;0.33;0.363;0.22;0.219;0.217;1.0;0.929;0.964;0.764;0.618;0.214;0.625;0.625;0.363;0.33;0.402;0.33;0.366;0.115;0.119;0.0;0.0;0.122;0.127
ENST00000229795_90_90;0.123;0.366;0.337;0.446;0.33;0.366;0.33;0.298;0.33;0.228;0.226;0.224;0.929;1.0;0.893;0.696;0.642;0.222;0.648;0.648;0.33;0.337;0.366;0.298;0.33;0.118;0.122;0.0;0.0;0.125;0.13
ENST00000310795_90_90;0.139;0.411;0.337;0.446;0.37;0.411;0.374;0.337;0.37;0.228;0.226;0.224;0.964;0.893;1.0;0.727;0.642;0.222;0.648;0.648;0.37;0.337;0.411;0.337;0.374;0.118;0.122;0.0;0.0;0.125;0.13
ENST00000468133_90_90;0.076;0.349;0.268;0.361;0.312;0.349;0.31;0.278;0.312;0.113;0.275;0.111;0.764;0.696;0.727;1.0;0.81;0.038;0.393;0.393;0.312;0.268;0.349;0.278;0.31;0.135;0.141;0.0;0.0;0.145;0.152
ENST00000472333_90_90;0.068;0.301;0.297;0.415;0.269;0.301;0.293;0.261;0.269;0.133;0.326;0.13;0.618;0.642;0.642;0.81;1.0;0.044;0.458;0.458;0.269;0.297;0.301;0.261;0.293;0.134;0.141;0.0;0.0;0.145;0.153
ENST00000474429_90_90;0.167;0.13;0.154;0.227;0.115;0.13;0.133;0.118;0.115;0.5;0.059;0.476;0.214;0.222;0.222;0.038;0.044;1.0;0.324;0.324;0.115;0.154;0.13;0.118;0.133;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000491957_90_90;0.161;0.294;0.342;0.481;0.263;0.294;0.301;0.269;0.263;0.325;0.311;0.317;0.625;0.648;0.648;0.393;0.458;0.324;1.0;1.0;0.263;0.342;0.294;0.269;0.301;0.068;0.071;0.0;0.0;0.074;0.077
ENST00000622903_90_90;0.161;0.294;0.342;0.481;0.263;0.294;0.301;0.269;0.263;0.325;0.311;0.317;0.625;0.648;0.648;0.393;0.458;0.324;1.0;1.0;0.263;0.342;0.294;0.269;0.301;0.068;0.071;0.0;0.0;0.074;0.077
ENSMUST00000022504_90_90;0.202;0.837;0.698;0.471;1.0;0.837;0.753;0.908;1.0;0.202;0.259;0.214;0.363;0.33;0.37;0.312;0.269;0.115;0.263;0.263;1.0;0.698;0.837;0.908;0.753;0.34;0.352;0.165;0.165;0.36;0.372
ENSMUST00000111942_90_90;0.167;0.838;1.0;0.635;0.698;0.838;0.861;0.714;0.698;0.274;0.349;0.29;0.33;0.337;0.337;0.268;0.297;0.154;0.342;0.342;0.698;1.0;0.838;0.714;0.861;0.268;0.278;0.135;0.135;0.286;0.297
ENSMUST00000111943_90_90;0.157;1.0;0.838;0.533;0.837;1.0;0.896;0.753;0.837;0.23;0.293;0.243;0.402;0.366;0.411;0.349;0.301;0.13;0.294;0.294;0.837;0.838;1.0;0.753;0.896;0.303;0.314;0.116;0.116;0.321;0.333
ENSMUST00000111944_90_90;0.207;0.753;0.714;0.482;0.908;0.753;0.833;1.0;0.908;0.207;0.265;0.22;0.33;0.298;0.337;0.278;0.261;0.118;0.269;0.269;0.908;0.714;0.753;1.0;0.833;0.305;0.315;0.169;0.169;0.322;0.333
ENSMUST00000111945_90_90;0.161;0.896;0.861;0.548;0.753;0.896;1.0;0.833;0.753;0.236;0.301;0.25;0.366;0.33;0.374;0.31;0.293;0.133;0.301;0.301;0.753;0.861;0.896;0.833;1.0;0.267;0.276;0.119;0.119;0.282;0.293
