;ENSCAFT00000044998_90_90;ENST00000158771_90_90;ENST00000570848_90_90;ENST00000571476_90_90;ENST00000571971_90_90;ENST00000572834_90_90;ENST00000573637_90_90;ENST00000574952_90_90;ENST00000575605_90_90;ENST00000576551_90_90;ENSMUST00000018586_90_90;ENSMUST00000108523_90_90;ENSMUST00000131340_90_90;ENSMUST00000132198_90_90;ENSMUST00000143850_90_90;ENSMUST00000171041_90_90
ENSCAFT00000044998_90_90;1.0;0.948;0.534;0.321;0.768;0.3;0.142;0.142;0.603;0.315;0.113;0.645;0.246;0.14;0.677;0.587
ENST00000158771_90_90;0.948;1.0;0.514;0.329;0.735;0.31;0.112;0.112;0.569;0.316;0.097;0.479;0.246;0.136;0.506;0.495
ENST00000570848_90_90;0.534;0.514;1.0;0.491;0.72;0.514;0.161;0.161;0.425;0.565;0.114;0.194;0.408;0.223;0.189;0.133
ENST00000571476_90_90;0.321;0.329;0.491;1.0;0.357;0.468;0.198;0.198;0.111;0.846;0.228;0.105;0.478;0.397;0.102;0.023
ENST00000571971_90_90;0.768;0.735;0.72;0.357;1.0;0.37;0.128;0.128;0.492;0.407;0.088;0.385;0.294;0.162;0.376;0.346
ENST00000572834_90_90;0.3;0.31;0.514;0.468;0.37;1.0;0.241;0.241;0.1;0.508;0.182;0.18;0.175;0.238;0.175;0.102
ENST00000573637_90_90;0.142;0.112;0.161;0.198;0.128;0.241;1.0;1.0;0.0;0.223;0.034;0.019;0.008;0.042;0.018;0.0
ENST00000574952_90_90;0.142;0.112;0.161;0.198;0.128;0.241;1.0;1.0;0.0;0.223;0.034;0.019;0.008;0.042;0.018;0.0
ENST00000575605_90_90;0.603;0.569;0.425;0.111;0.492;0.1;0.0;0.0;1.0;0.132;0.0;0.355;0.213;0.057;0.384;0.493
ENST00000576551_90_90;0.315;0.316;0.565;0.846;0.407;0.508;0.223;0.223;0.132;1.0;0.171;0.1;0.465;0.385;0.097;0.019
ENSMUST00000018586_90_90;0.113;0.097;0.114;0.228;0.088;0.182;0.034;0.034;0.0;0.171;1.0;0.347;0.184;0.363;0.347;0.038
ENSMUST00000108523_90_90;0.645;0.479;0.194;0.105;0.385;0.18;0.019;0.019;0.355;0.1;0.347;1.0;0.082;0.137;0.938;0.638
ENSMUST00000131340_90_90;0.246;0.246;0.408;0.478;0.294;0.175;0.008;0.008;0.213;0.465;0.184;0.082;1.0;0.454;0.082;0.0
ENSMUST00000132198_90_90;0.14;0.136;0.223;0.397;0.162;0.238;0.042;0.042;0.057;0.385;0.363;0.137;0.454;1.0;0.137;0.0
ENSMUST00000143850_90_90;0.677;0.506;0.189;0.102;0.376;0.175;0.018;0.018;0.384;0.097;0.347;0.938;0.082;0.137;1.0;0.69
ENSMUST00000171041_90_90;0.587;0.495;0.133;0.023;0.346;0.102;0.0;0.0;0.493;0.019;0.038;0.638;0.0;0.0;0.69;1.0
