;ENSCAFT00000005773_90_90;ENST00000391851_90_90;ENST00000454376_90_90;ENST00000524771_90_90;ENST00000526224_90_90;ENST00000527382_90_90;ENST00000528623_90_90;ENST00000529284_90_90;ENST00000529836_90_90;ENST00000532489_90_90;ENST00000534280_90_90;ENST00000534465_90_90;ENST00000610806_90_90;ENSMUST00000045325_90_90;ENSMUST00000107843_90_90;ENSMUST00000207370_90_90;ENSMUST00000207522_90_90;ENSMUST00000207659_90_90;ENSMUST00000208312_90_90;ENSMUST00000208778_90_90;ENSMUST00000208829_90_90;ENSMUST00000208938_90_90;ENSMUST00000209056_90_90;ENSMUST00000209124_90_90
ENSCAFT00000005773_90_90;1.0;0.939;0.98;0.621;0.431;0.562;0.147;0.412;0.264;0.831;0.113;0.583;0.704;0.843;0.982;0.94;0.128;0.617;0.585;0.484;0.268;0.29;0.376;0.522
ENST00000391851_90_90;0.939;1.0;0.958;0.584;0.442;0.577;0.166;0.423;0.283;0.854;0.062;0.597;0.76;0.893;0.956;0.998;0.049;0.646;0.613;0.523;0.268;0.314;0.406;0.564
ENST00000454376_90_90;0.98;0.958;1.0;0.624;0.423;0.552;0.16;0.405;0.272;0.818;0.101;0.572;0.729;0.854;0.998;0.956;0.087;0.619;0.587;0.5;0.257;0.3;0.388;0.54
ENST00000524771_90_90;0.621;0.584;0.624;1.0;0.623;0.653;0.231;0.599;0.395;0.48;0.108;0.638;0.486;0.489;0.633;0.591;0.096;0.408;0.562;0.26;0.034;0.475;0.615;0.204
ENST00000526224_90_90;0.431;0.442;0.423;0.623;1.0;0.766;0.175;0.957;0.397;0.52;0.0;0.741;0.422;0.439;0.439;0.459;0.0;0.354;0.529;0.28;0.0;0.6;0.671;0.158
ENST00000527382_90_90;0.562;0.577;0.552;0.653;0.766;1.0;0.141;0.734;0.319;0.679;0.0;0.966;0.365;0.589;0.574;0.599;0.0;0.302;0.442;0.359;0.0;0.467;0.529;0.318
ENST00000528623_90_90;0.147;0.166;0.16;0.231;0.175;0.141;1.0;0.18;0.621;0.098;0.0;0.138;0.217;0.05;0.148;0.155;0.0;0.242;0.251;0.0;0.0;0.34;0.378;0.0
ENST00000529284_90_90;0.412;0.423;0.405;0.599;0.957;0.734;0.18;1.0;0.408;0.496;0.0;0.71;0.431;0.417;0.419;0.439;0.0;0.363;0.543;0.253;0.0;0.624;0.695;0.134
ENST00000529836_90_90;0.264;0.283;0.272;0.395;0.397;0.319;0.621;0.408;1.0;0.223;0.0;0.311;0.369;0.173;0.266;0.278;0.0;0.431;0.45;0.0;0.0;0.684;0.582;0.0
ENST00000532489_90_90;0.831;0.854;0.818;0.48;0.52;0.679;0.098;0.496;0.223;1.0;0.0;0.705;0.614;0.891;0.847;0.885;0.0;0.532;0.5;0.592;0.226;0.318;0.366;0.638
ENST00000534280_90_90;0.113;0.062;0.101;0.108;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.081;0.053;0.087;0.049;0.997;0.072;0.073;0.0;0.146;0.0;0.0;0.0
ENST00000534465_90_90;0.583;0.597;0.572;0.638;0.741;0.966;0.138;0.71;0.311;0.705;0.0;1.0;0.358;0.613;0.595;0.621;0.0;0.295;0.432;0.385;0.0;0.453;0.516;0.343
