;transcript7_MGP-CAROLIEiJ-G0020234;transcript57_MGP-CAROLIEiJ-G0020234;transcript58_MGP-CAROLIEiJ-G0020234;transcript59_MGP-CAROLIEiJ-G0020234;transcript7_ENSMUGG00000013649;transcript28_ENSMUGG00000013649;transcript42_ENSMUGG00000013649;transcript7_ENSMUGG00000013592;transcript42_ENSMUGG00000013592;transcript52_ENSMUGG00000013592;transcript7_ENSCGRG00015005362;transcript52_ENSCGRG00015005362;transcript53_ENSCGRG00015005362;transcript54_ENSCGRG00015005362;transcript55_ENSCGRG00015005362;transcript7_ENSCGRG00000018457;transcript7_ENSPEMG00000024651
transcript7_MGP-CAROLIEiJ-G0020234;1.0;0.887;1.0;0.887;0.193;0.19;0.193;0.21;0.21;0.121;0.171;0.171;0.19;0.171;0.174;0.171;0.19
transcript57_MGP-CAROLIEiJ-G0020234;0.887;1.0;0.887;1.0;0.173;0.17;0.173;0.185;0.185;0.097;0.151;0.151;0.168;0.151;0.154;0.151;0.17
transcript58_MGP-CAROLIEiJ-G0020234;1.0;0.887;1.0;0.887;0.193;0.19;0.193;0.21;0.21;0.121;0.171;0.171;0.19;0.171;0.174;0.171;0.19
transcript59_MGP-CAROLIEiJ-G0020234;0.887;1.0;0.887;1.0;0.173;0.17;0.173;0.185;0.185;0.097;0.151;0.151;0.168;0.151;0.154;0.151;0.17
transcript7_ENSMUGG00000013649;0.193;0.173;0.193;0.173;1.0;0.984;1.0;0.809;0.809;0.719;0.965;0.965;0.871;0.965;0.94;0.965;0.984
transcript28_ENSMUGG00000013649;0.19;0.17;0.19;0.17;0.984;1.0;0.984;0.797;0.797;0.709;0.98;0.98;0.887;0.98;0.955;0.98;1.0
transcript42_ENSMUGG00000013649;0.193;0.173;0.193;0.173;1.0;0.984;1.0;0.809;0.809;0.719;0.965;0.965;0.871;0.965;0.94;0.965;0.984
transcript7_ENSMUGG00000013592;0.21;0.185;0.21;0.185;0.809;0.797;0.809;1.0;1.0;0.877;0.778;0.778;0.724;0.778;0.752;0.778;0.797
transcript42_ENSMUGG00000013592;0.21;0.185;0.21;0.185;0.809;0.797;0.809;1.0;1.0;0.877;0.778;0.778;0.724;0.778;0.752;0.778;0.797
transcript52_ENSMUGG00000013592;0.121;0.097;0.121;0.097;0.719;0.709;0.719;0.877;0.877;1.0;0.689;0.689;0.633;0.689;0.663;0.689;0.709
transcript7_ENSCGRG00015005362;0.171;0.151;0.171;0.151;0.965;0.98;0.965;0.778;0.778;0.689;1.0;1.0;0.904;1.0;0.974;1.0;0.98
transcript52_ENSCGRG00015005362;0.171;0.151;0.171;0.151;0.965;0.98;0.965;0.778;0.778;0.689;1.0;1.0;0.904;1.0;0.974;1.0;0.98
transcript53_ENSCGRG00015005362;0.19;0.168;0.19;0.168;0.871;0.887;0.871;0.724;0.724;0.633;0.904;0.904;1.0;0.904;0.878;0.904;0.887
transcript54_ENSCGRG00015005362;0.171;0.151;0.171;0.151;0.965;0.98;0.965;0.778;0.778;0.689;1.0;1.0;0.904;1.0;0.974;1.0;0.98
transcript55_ENSCGRG00015005362;0.174;0.154;0.174;0.154;0.94;0.955;0.94;0.752;0.752;0.663;0.974;0.974;0.878;0.974;1.0;0.974;0.955
transcript7_ENSCGRG00000018457;0.171;0.151;0.171;0.151;0.965;0.98;0.965;0.778;0.778;0.689;1.0;1.0;0.904;1.0;0.974;1.0;0.98
transcript7_ENSPEMG00000024651;0.19;0.17;0.19;0.17;0.984;1.0;0.984;0.797;0.797;0.709;0.98;0.98;0.887;0.98;0.955;0.98;1.0
