;ENSCAFT00000019569_90_90;ENSCAFT00000036114_90_90;ENST00000334961_90_90;ENST00000338641_90_90;ENST00000353887_90_90;ENST00000361166_90_90;ENST00000361452_90_90;ENST00000361676_90_90;ENST00000397789_90_90;ENST00000403435_90_90;ENST00000403999_90_90;ENST00000413209_90_90;ENST00000432151_90_90;ENSMUST00000053079_90_90;ENSMUST00000056290_90_90;ENSMUST00000093374_90_90;ENSMUST00000109910_90_90;ENSMUST00000124878_90_90;ENSMUST00000137926_90_90;ENSMUST00000152656_90_90;ENSMUST00000164190_90_90;ENSMUST00000172305_90_90
ENSCAFT00000019569_90_90;1.0;0.956;0.858;0.954;0.858;0.998;0.929;0.927;0.998;0.949;0.998;0.245;0.372;1.0;1.0;0.881;0.956;0.132;0.268;0.237;0.425;0.056
ENSCAFT00000036114_90_90;0.956;1.0;0.817;0.998;0.817;0.954;0.886;0.885;0.954;0.906;0.954;0.277;0.369;0.956;0.956;0.84;0.948;0.131;0.266;0.235;0.422;0.055
ENST00000334961_90_90;0.858;0.817;1.0;0.818;1.0;0.859;0.923;0.925;0.859;0.81;0.859;0.109;0.434;0.858;0.858;0.839;0.817;0.05;0.277;0.276;0.381;0.063
ENST00000338641_90_90;0.954;0.998;0.818;1.0;0.818;0.955;0.888;0.886;0.955;0.908;0.955;0.277;0.37;0.954;0.954;0.838;0.946;0.131;0.267;0.235;0.422;0.055
ENST00000353887_90_90;0.858;0.817;1.0;0.818;1.0;0.859;0.923;0.925;0.859;0.81;0.859;0.109;0.434;0.858;0.858;0.839;0.817;0.05;0.277;0.276;0.381;0.063
ENST00000361166_90_90;0.998;0.954;0.859;0.955;0.859;1.0;0.931;0.929;1.0;0.951;1.0;0.246;0.373;0.998;0.998;0.879;0.954;0.132;0.269;0.237;0.426;0.056
ENST00000361452_90_90;0.929;0.886;0.923;0.888;0.923;0.931;1.0;0.859;0.931;0.881;0.931;0.178;0.401;0.929;0.929;0.81;0.886;0.063;0.256;0.255;0.458;0.059
ENST00000361676_90_90;0.927;0.885;0.925;0.886;0.925;0.929;0.859;1.0;0.929;0.88;0.929;0.177;0.401;0.927;0.927;0.913;0.885;0.123;0.29;0.255;0.355;0.059
ENST00000397789_90_90;0.998;0.954;0.859;0.955;0.859;1.0;0.931;0.929;1.0;0.951;1.0;0.246;0.373;0.998;0.998;0.879;0.954;0.132;0.269;0.237;0.426;0.056
ENST00000403435_90_90;0.949;0.906;0.81;0.908;0.81;0.951;0.881;0.88;0.951;1.0;0.951;0.258;0.392;0.949;0.949;0.83;0.906;0.139;0.283;0.25;0.437;0.058
ENST00000403999_90_90;0.998;0.954;0.859;0.955;0.859;1.0;0.931;0.929;1.0;0.951;1.0;0.246;0.373;0.998;0.998;0.879;0.954;0.132;0.269;0.237;0.426;0.056
ENST00000413209_90_90;0.245;0.277;0.109;0.277;0.109;0.246;0.178;0.177;0.246;0.258;0.246;1.0;0.207;0.245;0.245;0.13;0.243;0.465;0.15;0.101;0.35;0.147
ENST00000432151_90_90;0.372;0.369;0.434;0.37;0.434;0.373;0.401;0.401;0.373;0.392;0.373;0.207;1.0;0.372;0.372;0.326;0.369;0.102;0.22;0.636;0.377;0.121
ENSMUST00000053079_90_90;1.0;0.956;0.858;0.954;0.858;0.998;0.929;0.927;0.998;0.949;0.998;0.245;0.372;1.0;1.0;0.881;0.956;0.132;0.268;0.237;0.425;0.056
ENSMUST00000056290_90_90;1.0;0.956;0.858;0.954;0.858;0.998;0.929;0.927;0.998;0.949;0.998;0.245;0.372;1.0;1.0;0.881;0.956;0.132;0.268;0.237;0.425;0.056
ENSMUST00000093374_90_90;0.881;0.84;0.839;0.838;0.839;0.879;0.81;0.913;0.879;0.83;0.879;0.13;0.326;0.881;0.881;1.0;0.84;0.15;0.305;0.269;0.306;0.0
ENSMUST00000109910_90_90;0.956;0.948;0.817;0.946;0.817;0.954;0.886;0.885;0.954;0.906;0.954;0.243;0.369;0.956;0.956;0.84;1.0;0.131;0.266;0.235;0.422;0.055
ENSMUST00000124878_90_90;0.132;0.131;0.05;0.131;0.05;0.132;0.063;0.123;0.132;0.139;0.132;0.465;0.102;0.132;0.132;0.15;0.131;1.0;0.213;0.144;0.127;0.0
ENSMUST00000137926_90_90;0.268;0.266;0.277;0.267;0.277;0.269;0.256;0.29;0.269;0.283;0.269;0.15;0.22;0.268;0.268;0.305;0.266;0.213;1.0;0.297;0.543;0.0
ENSMUST00000152656_90_90;0.237;0.235;0.276;0.235;0.276;0.237;0.255;0.255;0.237;0.25;0.237;0.101;0.636;0.237;0.237;0.269;0.235;0.144;0.297;1.0;0.303;0.0
ENSMUST00000164190_90_90;0.425;0.422;0.381;0.422;0.381;0.426;0.458;0.355;0.426;0.437;0.426;0.35;0.377;0.425;0.425;0.306;0.422;0.127;0.543;0.303;1.0;0.11
ENSMUST00000172305_90_90;0.056;0.055;0.063;0.055;0.063;0.056;0.059;0.059;0.056;0.058;0.056;0.147;0.121;0.056;0.056;0.0;0.055;0.0;0.0;0.0;0.11;1.0
