;id_transcript;isoorthologs|recent-paralogs;tsm_scores
0;ENSCAFT00000013561;ENST00000272430|ENSMUST00000065512;0.997|0.999
1;ENSCAFT00000013564;;
2;ENST00000233330;;
3;ENST00000272430;ENSCAFT00000013561|ENSMUST00000065512;0.997|0.998
4;ENST00000305557;ENSMUST00000121093|ENSMUST00000087938;0.998|0.998
5;ENST00000640304;ENSMUST00000213056;1.0
6;ENSMUST00000065512;ENSCAFT00000013561|ENST00000272430;0.999|0.998
7;ENSMUST00000087938;ENSMUST00000121093|ENST00000305557;1.0|0.998
8;ENSMUST00000121093;ENSMUST00000087938|ENST00000305557;1.0|0.998
9;ENSMUST00000129316;;
10;ENSMUST00000130622;;
11;ENSMUST00000135490;;
12;ENSMUST00000213056;ENST00000640304;1.0
