id_transcript;blocks
ENSBTAT00000005794;1|4|5|7|9|11|12|13|15|16|17|19|21|23|24|25|26|27|29|31|32|33|34|36|37|39|40|41|42|43|44|45|46|48|49|50|52|54|55|56|57|58|59|60|61|63|65|67|68|69|70|71|72|73|74|75|79
ENSBTAT00000074022;5|7|9|11|12|13|15|16|17|19|21|23|24|25|26|27|29|31|32|33|34|36|37|39|40|41|42|43|44|45|46|48|49|50|52|54|55|56|57|58|59|60|61|63|65|67|68|69|70|71|72|73|74|75|79
ENSCAFT00000014534;3|4|5|7|9|11|12|13|15|16|17|19|21|23|24|25|27|29|31|32|33|34|36|37|39|40|41|42|43|44|45|46|47|48|50|52|54|55|56|57|58|59|60|61|63|65|67|68|69|70|71|72|73|74|75|79
ENSCAFT00000063832;5|7|9|11|12|13|15|16|17|19|21|23|24|25|27|29|31|32|33|34|36|37|39|40|41|42|43|44|45|46|47|48|50|52|54|55|56|57|58|59|60|61|63|65|67|68|69|70|71|72|73|74|75|76
ENSCAFT00000065703;5|7|9|11|12|13|15|16|17|19|21|23|24|25|27|29|31|32|33|34|36|37|39|40|41|42|43|44|45|46|47|48|50|52|54|55|56|57|58|59|60|61|63|65|67|68|69|70|71|72|73|74|75|78|79
ENSCAFT00000067661;0|4|5|7|9|11|12|13|15|16|17|19|21|23|24|25|27|29|31|32|33|34|36|37|39|40|41|42|43|44|45|46|47|48|50|52|54|55|56|57|58|59|60|61|63|65|67|68|69|70|71|72|73|74|75|79
ENSCAFT00020008376;5|7|9|11|12|13|15|16|17|19|21|23|24|25|27|29|31|32|33|34|36|37|39|40|41|42|43|44|45|46|47|48|50|52|54|55|56|57|58|59|60|61|63|65|67|68|69|70|71|72|73|74|75|79
ENST00000416165;5|7|9|11|12|13|15|16|17|19|21|23|24|25|26|27|29|31|32|33|34|36|37|39|40|41|42|43|44|45|46|48|50|52|54|55|56|57|58|59|60|61|62|63|64|65|67|68|69|70|71|72|73|74|75|78|79
ENST00000560846;5|7|9|11|12|13|15|16|17|19|21|23|24|25|26|27|29|31|32|33|34|36|37|39|40|41|42|43|44|45|46|48|50|52|54|55|56|57|58|59|60|61|62|63|64|65|67|68|69|70|71|72|73|74|75|79
ENST00000561234;5|7|9|11|12|13|15|16|17|19|21|23|24|25|26|27|29|31|32|33|34|36|37|39|40|41|42|43|44|45|46|48|50|52|54|55|56|57|58|59|60|61|62|63|64|65|67|68|69|71|72|73|74|75|78|79
ENSGALT00000055768;2|5|6|7|8|9|10|11|13|14|15|17|18|19|20|21|22|23|25|27|28|29|30|31|32|34|35|36|37|38|39|41|43|45|46|48|50|51|52|53|54|56|57|58|60|63|64|65|66|67|69|70|71|73|75|77|78|79
ENSMUST00000036578;5|7|9|11|12|13|15|16|17|19|21|23|24|25|26|27|29|32|33|34|36|37|39|40|41|42|43|44|45|48|50|52|54|55|56|58|59|60|61|63|64|65|67|68|69|70|71|72|73|74|75|78|79
ENSMUST00000151162;5|7|9|11|12|13|15|16|17|19|21|23|24|25|26|27|29|32|33|34|36
