id_transcript;recent-paralogs;ortho-orthologs;para-orthologs;#cluster
ENSBTAT00000005794;null;null;null;0
ENSBTAT00000074022;null;ENSCAFT00020008376|0.995&ENST00000560846|0.996;null;1
ENSCAFT00000065703;null;ENSCAFT00020008376|0.996&ENST00000416165|0.994&ENSGALT00000055768|0.86&ENSMUST00000036578|0.986;null;1
ENSCAFT00020008376;null;ENSBTAT00000074022|0.995&ENSCAFT00000065703|0.996&ENST00000560846|0.994;null;1
ENST00000416165;ENST00000561234|0.999;ENSCAFT00000065703|0.994&ENSGALT00000055768|0.861&ENSMUST00000036578|0.99;null;1
ENST00000560846;null;ENSBTAT00000074022|0.996&ENSCAFT00020008376|0.994;null;1
ENST00000561234;ENST00000416165|0.999;null;null;1
ENSGALT00000055768;null;ENSCAFT00000065703|0.86&ENST00000416165|0.861&ENSMUST00000036578|0.854;null;1
ENSMUST00000036578;null;ENSCAFT00000065703|0.986&ENST00000416165|0.99&ENSGALT00000055768|0.854;null;1
ENSCAFT00000014534;null;null;null;2
ENSCAFT00000063832;null;null;null;3
ENSCAFT00000067661;null;null;null;4
ENSMUST00000151162;null;null;null;5
