;ENSBTAT00000005794;ENSBTAT00000074022;ENSCAFT00000014534;ENSCAFT00000063832;ENSCAFT00000065703;ENSCAFT00000067661;ENSCAFT00020008376;ENST00000416165;ENST00000560846;ENST00000561234;ENSGALT00000055768;ENSMUST00000036578;ENSMUST00000151162
ENSBTAT00000005794;1.0;0.981;0.953;0.816;0.972;0.939;0.976;0.974;0.977;0.972;0.842;0.966;0.244
ENSBTAT00000074022;0.981;1.0;0.959;0.83;0.991;0.945;0.995;0.992;0.996;0.991;0.857;0.985;0.248
ENSCAFT00000014534;0.953;0.959;1.0;0.806;0.96;0.928;0.964;0.954;0.958;0.953;0.829;0.947;0.238
ENSCAFT00000063832;0.816;0.83;0.806;1.0;0.832;0.795;0.835;0.826;0.829;0.825;0.716;0.819;0.264
ENSCAFT00000065703;0.972;0.991;0.96;0.832;1.0;0.946;0.996;0.994;0.99;0.992;0.86;0.986;0.246
ENSCAFT00000067661;0.939;0.945;0.928;0.795;0.946;1.0;0.95;0.94;0.944;0.939;0.818;0.933;0.234
ENSCAFT00020008376;0.976;0.995;0.964;0.835;0.996;0.95;1.0;0.99;0.994;0.988;0.857;0.982;0.247
ENST00000416165;0.974;0.992;0.954;0.826;0.994;0.94;0.99;1.0;0.996;0.999;0.861;0.99;0.247
ENST00000560846;0.977;0.996;0.958;0.829;0.99;0.944;0.994;0.996;1.0;0.995;0.858;0.986;0.248
ENST00000561234;0.972;0.991;0.953;0.825;0.992;0.939;0.988;0.999;0.995;1.0;0.86;0.988;0.247
ENSGALT00000055768;0.842;0.857;0.829;0.716;0.86;0.818;0.857;0.861;0.858;0.86;1.0;0.854;0.218
ENSMUST00000036578;0.966;0.985;0.947;0.819;0.986;0.933;0.982;0.99;0.986;0.988;0.854;1.0;0.25
ENSMUST00000151162;0.244;0.248;0.238;0.264;0.246;0.234;0.247;0.247;0.248;0.247;0.218;0.25;1.0
