;ENSCAFT00000031843_90_90;ENST00000372554_90_90;ENST00000372559_90_90;ENST00000372564_90_90;ENST00000416230_90_90;ENST00000416629_90_90;ENST00000417224_90_90;ENST00000425236_90_90;ENST00000455407_90_90;ENSMUST00000028214_90_90;ENSMUST00000100215_90_90;ENSMUST00000113620_90_90;ENSMUST00000113621_90_90;ENSMUST00000163668_90_90
ENSCAFT00000031843_90_90;1.0;0.974;0.994;0.994;0.271;0.941;0.983;0.097;0.061;0.996;0.985;0.943;0.975;0.932
ENST00000372554_90_90;0.974;1.0;0.978;0.978;0.265;0.926;0.99;0.095;0.059;0.976;0.988;0.924;0.998;0.937
ENST00000372559_90_90;0.994;0.978;1.0;1.0;0.271;0.947;0.988;0.098;0.061;0.998;0.986;0.945;0.976;0.933
ENST00000372564_90_90;0.994;0.978;1.0;1.0;0.271;0.947;0.988;0.098;0.061;0.998;0.986;0.945;0.976;0.933
ENST00000416230_90_90;0.271;0.265;0.271;0.271;1.0;0.286;0.268;0.416;0.162;0.27;0.267;0.285;0.264;0.281
ENST00000416629_90_90;0.941;0.926;0.947;0.947;0.286;1.0;0.935;0.103;0.064;0.945;0.933;0.998;0.924;0.985
ENST00000417224_90_90;0.983;0.99;0.988;0.988;0.268;0.935;1.0;0.096;0.06;0.986;0.998;0.933;0.988;0.946
ENST00000425236_90_90;0.097;0.095;0.098;0.098;0.416;0.103;0.096;1.0;0.0;0.097;0.095;0.102;0.095;0.101
ENST00000455407_90_90;0.061;0.059;0.061;0.061;0.162;0.064;0.06;0.0;1.0;0.061;0.06;0.064;0.059;0.063
ENSMUST00000028214_90_90;0.996;0.976;0.998;0.998;0.27;0.945;0.986;0.097;0.061;1.0;0.988;0.947;0.978;0.935
ENSMUST00000100215_90_90;0.985;0.988;0.986;0.986;0.267;0.933;0.998;0.095;0.06;0.988;1.0;0.935;0.99;0.948
ENSMUST00000113620_90_90;0.943;0.924;0.945;0.945;0.285;0.998;0.933;0.102;0.064;0.947;0.935;1.0;0.926;0.987
ENSMUST00000113621_90_90;0.975;0.998;0.976;0.976;0.264;0.924;0.988;0.095;0.059;0.978;0.99;0.926;1.0;0.938
ENSMUST00000163668_90_90;0.932;0.937;0.933;0.933;0.281;0.985;0.946;0.101;0.063;0.935;0.948;0.987;0.938;1.0
