;ENSCAFT00000017682_90_90;ENST00000329008_90_90;ENST00000395275_90_90;ENST00000395276_90_90;ENST00000405452_90_90;ENST00000431984_90_90;ENST00000446128_90_90;ENSMUST00000086029_90_90;ENSMUST00000111287_90_90;ENSMUST00000111288_90_90;ENSMUST00000141131_90_90;ENSMUST00000202728_90_90
ENSCAFT00000017682_90_90;1.0;0.73;0.933;0.73;0.307;0.73;0.487;0.921;0.848;0.848;0.277;0.21
ENST00000329008_90_90;0.73;1.0;0.753;1.0;0.285;1.0;0.702;0.766;0.914;0.914;0.362;0.143
ENST00000395275_90_90;0.933;0.753;1.0;0.753;0.229;0.753;0.518;0.831;0.73;0.73;0.278;0.28
ENST00000395276_90_90;0.73;1.0;0.753;1.0;0.285;1.0;0.702;0.766;0.914;0.914;0.362;0.143
ENST00000405452_90_90;0.307;0.285;0.229;0.285;1.0;0.285;0.0;0.323;0.384;0.384;0.0;0.0
ENST00000431984_90_90;0.73;1.0;0.753;1.0;0.285;1.0;0.702;0.766;0.914;0.914;0.362;0.143
ENST00000446128_90_90;0.487;0.702;0.518;0.702;0.0;0.702;1.0;0.508;0.617;0.617;0.533;0.202
ENSMUST00000086029_90_90;0.921;0.766;0.831;0.766;0.323;0.766;0.508;1.0;0.753;0.753;0.245;0.368
ENSMUST00000111287_90_90;0.848;0.914;0.73;0.914;0.384;0.914;0.617;0.753;1.0;1.0;0.327;0.121
ENSMUST00000111288_90_90;0.848;0.914;0.73;0.914;0.384;0.914;0.617;0.753;1.0;1.0;0.327;0.121
ENSMUST00000141131_90_90;0.277;0.362;0.278;0.362;0.0;0.362;0.533;0.245;0.327;0.327;1.0;0.253
ENSMUST00000202728_90_90;0.21;0.143;0.28;0.143;0.0;0.143;0.202;0.368;0.121;0.121;0.253;1.0
