;transcript6_ENSMPUG00000020072;transcript6_ENSECAG00000007947;transcript7_ENSECAG00000007947;transcript19_ENSECAG00000007947;transcript20_ENSECAG00000007947;transcript21_ENSECAG00000007947;transcript7_ENSMLUG00000027828;transcript13_ENSMLUG00000027828;transcript15_ENSCGRG00015005362;transcript15_ENSCGRG00000018457;transcript36_ENSCGRG00000018457;transcript15_ENSCGRG00001010245;transcript15_ENSPEMG00000024651;transcript15_ENSSTOG00000019743;transcript25_ENSCPOG00000024843
transcript6_ENSMPUG00000020072;1.0;0.769;0.748;0.683;0.769;0.639;0.78;0.528;0.768;0.768;0.711;0.768;0.704;0.664;0.863
transcript6_ENSECAG00000007947;0.769;1.0;0.966;0.873;1.0;0.814;0.804;0.529;0.774;0.774;0.726;0.774;0.7;0.641;0.877
transcript7_ENSECAG00000007947;0.748;0.966;1.0;0.839;0.966;0.78;0.774;0.498;0.744;0.744;0.696;0.744;0.678;0.611;0.847
transcript19_ENSECAG00000007947;0.683;0.873;0.839;1.0;0.873;0.932;0.721;0.436;0.873;0.873;0.822;0.873;0.79;0.726;0.766
transcript20_ENSECAG00000007947;0.769;1.0;0.966;0.873;1.0;0.814;0.804;0.529;0.774;0.774;0.726;0.774;0.7;0.641;0.877
transcript21_ENSECAG00000007947;0.639;0.814;0.78;0.932;0.814;1.0;0.697;0.462;0.815;0.815;0.873;0.815;0.732;0.72;0.714
transcript7_ENSMLUG00000027828;0.78;0.804;0.774;0.721;0.804;0.697;1.0;0.634;0.825;0.825;0.788;0.825;0.751;0.702;0.918
transcript13_ENSMLUG00000027828;0.528;0.529;0.498;0.436;0.529;0.462;0.634;1.0;0.483;0.483;0.524;0.483;0.457;0.436;0.582
transcript15_ENSCGRG00015005362;0.768;0.774;0.744;0.873;0.774;0.815;0.825;0.483;1.0;1.0;0.915;1.0;0.907;0.831;0.877
transcript15_ENSCGRG00000018457;0.768;0.774;0.744;0.873;0.774;0.815;0.825;0.483;1.0;1.0;0.915;1.0;0.907;0.831;0.877
transcript36_ENSCGRG00000018457;0.711;0.726;0.696;0.822;0.726;0.873;0.788;0.524;0.915;0.915;1.0;0.915;0.821;0.801;0.802
transcript15_ENSCGRG00001010245;0.768;0.774;0.744;0.873;0.774;0.815;0.825;0.483;1.0;1.0;0.915;1.0;0.907;0.831;0.877
transcript15_ENSPEMG00000024651;0.704;0.7;0.678;0.79;0.7;0.732;0.751;0.457;0.907;0.907;0.821;0.907;1.0;0.759;0.794
transcript15_ENSSTOG00000019743;0.664;0.641;0.611;0.726;0.641;0.72;0.702;0.436;0.831;0.831;0.801;0.831;0.759;1.0;0.728
transcript25_ENSCPOG00000024843;0.863;0.877;0.847;0.766;0.877;0.714;0.918;0.582;0.877;0.877;0.802;0.877;0.794;0.728;1.0
