;ENSCAFT00000027448_90_90;ENSCAFT00000027452_90_90;ENST00000271850_90_90;ENST00000302206_90_90;ENST00000323144_90_90;ENST00000328159_90_90;ENST00000330188_90_90;ENST00000341372_90_90;ENST00000341485_90_90;ENST00000368530_90_90;ENST00000368531_90_90;ENST00000368533_90_90;ENST00000509409_90_90;ENST00000509601_90_90;ENST00000515609_90_90;ENST00000611659_90_90;ENSMUST00000029549_90_90;ENSMUST00000118566_90_90;ENSMUST00000119158_90_90;ENSMUST00000119570_90_90;ENSMUST00000121503_90_90;ENSMUST00000127955_90_90;ENSMUST00000149432_90_90
ENSCAFT00000027448_90_90;1.0;0.499;0.366;0.421;0.5;0.503;0.499;0.352;0.357;0.559;0.4;0.399;0.015;0.133;0.002;0.344;0.399;0.618;0.5;0.678;0.978;0.032;0.251
ENSCAFT00000027452_90_90;0.499;1.0;0.687;0.637;0.558;0.442;0.699;0.51;0.513;0.68;0.443;0.563;0.017;0.15;0.119;0.497;0.815;0.806;0.809;0.504;0.5;0.036;0.289
ENST00000271850_90_90;0.366;0.687;1.0;0.427;0.4;0.499;0.504;0.57;0.571;0.691;0.5;0.62;0.015;0.155;0.264;0.556;0.834;0.555;0.557;0.557;0.365;0.032;0.209
ENST00000302206_90_90;0.421;0.637;0.427;1.0;0.48;0.353;0.637;0.534;0.457;0.421;0.355;0.485;0.018;0.0;0.0;0.409;0.485;0.478;0.48;0.427;0.423;0.057;0.454
ENST00000323144_90_90;0.5;0.558;0.4;0.48;1.0;0.656;0.809;0.572;0.602;0.5;0.814;0.656;0.198;0.35;0.0;0.585;0.443;0.558;0.698;0.4;0.501;0.036;0.29
ENST00000328159_90_90;0.503;0.442;0.499;0.353;0.656;1.0;0.653;0.715;0.748;0.504;0.809;0.806;0.198;0.383;0.0;0.729;0.556;0.563;0.443;0.499;0.506;0.036;0.239
ENST00000330188_90_90;0.499;0.699;0.504;0.637;0.809;0.653;1.0;0.723;0.756;0.499;0.656;0.815;0.198;0.349;0.0;0.738;0.563;0.556;0.558;0.504;0.5;0.036;0.289
ENST00000341372_90_90;0.352;0.51;0.57;0.534;0.572;0.715;0.723;1.0;0.835;0.352;0.717;0.899;0.191;0.282;0.0;0.815;0.643;0.391;0.392;0.57;0.353;0.04;0.265
ENST00000341485_90_90;0.357;0.513;0.571;0.457;0.602;0.748;0.756;0.835;1.0;0.357;0.75;0.935;0.186;0.384;0.0;0.851;0.644;0.395;0.397;0.571;0.358;0.0;0.203
ENST00000368530_90_90;0.559;0.68;0.691;0.421;0.5;0.504;0.499;0.352;0.357;1.0;0.4;0.399;0.015;0.133;0.264;0.344;0.555;0.834;0.682;0.364;0.559;0.032;0.251
ENST00000368531_90_90;0.4;0.443;0.5;0.355;0.814;0.809;0.656;0.717;0.75;0.4;1.0;0.809;0.198;0.385;0.0;0.732;0.558;0.443;0.562;0.5;0.401;0.036;0.24
ENST00000368533_90_90;0.399;0.563;0.62;0.485;0.656;0.806;0.815;0.899;0.935;0.399;0.809;1.0;0.198;0.383;0.0;0.915;0.699;0.442;0.443;0.62;0.4;0.036;0.239
ENST00000509409_90_90;0.015;0.017;0.015;0.018;0.198;0.198;0.198;0.191;0.186;0.015;0.198;0.198;1.0;0.44;0.0;0.216;0.017;0.017;0.017;0.015;0.015;0.067;0.031
ENST00000509601_90_90;0.133;0.15;0.155;0.0;0.35;0.383;0.349;0.282;0.384;0.133;0.385;0.383;0.44;1.0;0.0;0.419;0.175;0.15;0.15;0.155;0.134;0.0;0.0
ENST00000515609_90_90;0.002;0.119;0.264;0.0;0.0;0.0;0.0;0.0;0.0;0.264;0.0;0.0;0.0;0.0;1.0;0.0;0.119;0.119;0.119;0.0;0.0;0.0;0.0
ENST00000611659_90_90;0.344;0.497;0.556;0.409;0.585;0.729;0.738;0.815;0.851;0.344;0.732;0.915;0.216;0.419;0.0;1.0;0.627;0.381;0.382;0.556;0.345;0.04;0.26
ENSMUST00000029549_90_90;0.399;0.815;0.834;0.485;0.443;0.556;0.563;0.643;0.644;0.555;0.558;0.699;0.017;0.175;0.119;0.627;1.0;0.653;0.656;0.62;0.4;0.036;0.239
ENSMUST00000118566_90_90;0.618;0.806;0.555;0.478;0.558;0.563;0.556;0.391;0.395;0.834;0.443;0.442;0.017;0.15;0.119;0.381;0.653;1.0;0.809;0.399;0.622;0.036;0.289
ENSMUST00000119158_90_90;0.5;0.809;0.557;0.48;0.698;0.443;0.558;0.392;0.397;0.682;0.562;0.443;0.017;0.15;0.119;0.382;0.656;0.809;1.0;0.4;0.501;0.036;0.29
ENSMUST00000119570_90_90;0.678;0.504;0.557;0.427;0.4;0.499;0.504;0.57;0.571;0.364;0.5;0.62;0.015;0.155;0.0;0.556;0.62;0.399;0.4;1.0;0.688;0.032;0.209
ENSMUST00000121503_90_90;0.978;0.5;0.365;0.423;0.501;0.506;0.5;0.353;0.358;0.559;0.401;0.4;0.015;0.134;0.0;0.345;0.4;0.622;0.501;0.688;1.0;0.032;0.252
ENSMUST00000127955_90_90;0.032;0.036;0.032;0.057;0.036;0.036;0.036;0.04;0.0;0.032;0.036;0.036;0.067;0.0;0.0;0.04;0.036;0.036;0.036;0.032;0.032;1.0;0.126
ENSMUST00000149432_90_90;0.251;0.289;0.209;0.454;0.29;0.239;0.289;0.265;0.203;0.251;0.24;0.239;0.031;0.0;0.0;0.26;0.239;0.289;0.29;0.209;0.252;0.126;1.0
