;ENSCAFT00000016649_90_90;ENST00000360194_90_90;ENST00000525338_90_90;ENST00000528985_90_90;ENST00000529731_90_90;ENST00000530043_90_90;ENST00000533050_90_90;ENST00000627851_90_90;ENSMUST00000059057_90_90;ENSMUST00000063782_90_90;ENSMUST00000121564_90_90;ENSMUST00000125087_90_90;ENSMUST00000133739_90_90;ENSMUST00000214230_90_90;ENSMUST00000217306_90_90
ENSCAFT00000016649_90_90;1.0;0.916;0.591;0.908;0.7;0.355;0.917;0.7;1.0;0.783;1.0;0.766;0.349;0.048;0.13
ENST00000360194_90_90;0.916;1.0;0.673;0.989;0.781;0.437;0.997;0.781;0.862;0.658;0.862;0.645;0.354;0.0;0.133
ENST00000525338_90_90;0.591;0.673;1.0;0.68;0.857;0.41;0.671;0.857;0.556;0.699;0.556;0.49;0.485;0.0;0.154
ENST00000528985_90_90;0.908;0.989;0.68;1.0;0.769;0.441;0.986;0.769;0.854;0.65;0.854;0.65;0.357;0.0;0.135
ENST00000529731_90_90;0.7;0.781;0.857;0.769;1.0;0.359;0.783;1.0;0.661;0.83;0.661;0.439;0.459;0.0;0.171
ENST00000530043_90_90;0.355;0.437;0.41;0.441;0.359;1.0;0.436;0.359;0.334;0.251;0.334;0.43;0.364;0.0;0.0
ENST00000533050_90_90;0.917;0.997;0.671;0.986;0.783;0.436;1.0;0.783;0.865;0.661;0.865;0.643;0.357;0.0;0.133
ENST00000627851_90_90;0.7;0.781;0.857;0.769;1.0;0.359;0.783;1.0;0.661;0.83;0.661;0.439;0.459;0.0;0.171
ENSMUST00000059057_90_90;1.0;0.862;0.556;0.854;0.661;0.334;0.865;0.661;1.0;0.783;1.0;0.764;0.349;0.046;0.13
ENSMUST00000063782_90_90;0.783;0.658;0.699;0.65;0.83;0.251;0.661;0.83;0.783;1.0;0.783;0.547;0.446;0.058;0.166
ENSMUST00000121564_90_90;1.0;0.862;0.556;0.854;0.661;0.334;0.865;0.661;1.0;0.783;1.0;0.764;0.349;0.046;0.13
ENSMUST00000125087_90_90;0.766;0.645;0.49;0.65;0.439;0.43;0.643;0.439;0.764;0.547;0.764;1.0;0.415;0.059;0.0
ENSMUST00000133739_90_90;0.349;0.354;0.485;0.357;0.459;0.364;0.357;0.459;0.349;0.446;0.349;0.415;1.0;0.0;0.0
ENSMUST00000214230_90_90;0.048;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.046;0.058;0.046;0.059;0.0;1.0;0.0
ENSMUST00000217306_90_90;0.13;0.133;0.154;0.135;0.171;0.0;0.133;0.171;0.13;0.166;0.13;0.0;0.0;0.0;1.0
