;transcript9_ENSHGLG00100003156;transcript14_ENSHGLG00100003156;transcript20_ENSHGLG00100003156;transcript27_ENSHGLG00100003156;transcript32_ENSHGLG00100003156;transcript20_ENSHGLG00000019563;transcript26_ENSHGLG00000019563;transcript28_ENSHGLG00000019563;transcript40_ENSHGLG00000019563;transcript43_ENSHGLG00000019563;transcript8_ENSHGLG00100006079;transcript9_ENSHGLG00100006079;transcript22_ENSHGLG00100006079;transcript33_ENSHGLG00100006079
transcript9_ENSHGLG00100003156;1.0;0.8;1.0;0.9;0.8;1.0;0.9;1.0;0.9;0.9;0.9;1.0;1.0;1.0
transcript14_ENSHGLG00100003156;0.8;1.0;0.8;0.889;0.778;0.8;0.7;0.8;0.7;0.7;0.7;0.8;0.8;0.8
transcript20_ENSHGLG00100003156;1.0;0.8;1.0;0.9;0.8;1.0;0.9;1.0;0.9;0.9;0.9;1.0;1.0;1.0
transcript27_ENSHGLG00100003156;0.9;0.889;0.9;1.0;0.7;0.9;0.8;0.9;0.8;0.8;0.8;0.9;0.9;0.9
transcript32_ENSHGLG00100003156;0.8;0.778;0.8;0.7;1.0;0.8;0.7;0.8;0.7;0.7;0.7;0.8;0.8;0.8
transcript20_ENSHGLG00000019563;1.0;0.8;1.0;0.9;0.8;1.0;0.9;1.0;0.9;0.9;0.9;1.0;1.0;1.0
transcript26_ENSHGLG00000019563;0.9;0.7;0.9;0.8;0.7;0.9;1.0;0.9;1.0;0.8;0.8;0.9;0.9;0.9
transcript28_ENSHGLG00000019563;1.0;0.8;1.0;0.9;0.8;1.0;0.9;1.0;0.9;0.9;0.9;1.0;1.0;1.0
transcript40_ENSHGLG00000019563;0.9;0.7;0.9;0.8;0.7;0.9;1.0;0.9;1.0;0.8;0.8;0.9;0.9;0.9
transcript43_ENSHGLG00000019563;0.9;0.7;0.9;0.8;0.7;0.9;0.8;0.9;0.8;1.0;0.8;0.9;0.9;0.9
transcript8_ENSHGLG00100006079;0.9;0.7;0.9;0.8;0.7;0.9;0.8;0.9;0.8;0.8;1.0;0.9;0.9;0.9
transcript9_ENSHGLG00100006079;1.0;0.8;1.0;0.9;0.8;1.0;0.9;1.0;0.9;0.9;0.9;1.0;1.0;1.0
transcript22_ENSHGLG00100006079;1.0;0.8;1.0;0.9;0.8;1.0;0.9;1.0;0.9;0.9;0.9;1.0;1.0;1.0
transcript33_ENSHGLG00100006079;1.0;0.8;1.0;0.9;0.8;1.0;0.9;1.0;0.9;0.9;0.9;1.0;1.0;1.0
