;ENSCAFT00000022358_90_90;ENST00000402521_90_90;ENST00000426333_90_90;ENST00000588374_90_90;ENST00000589769_90_90;ENST00000590124_90_90;ENST00000591382_90_90;ENST00000591856_90_90;ENST00000592576_90_90;ENST00000592701_90_90;ENST00000593072_90_90;ENSMUST00000021306_90_90;ENSMUST00000107060_90_90;ENSMUST00000132543_90_90;ENSMUST00000138483_90_90;ENSMUST00000172611_90_90;ENSMUST00000173679_90_90
ENSCAFT00000022358_90_90;1.0;0.917;1.0;0.125;0.167;0.167;1.0;0.042;0.917;0.292;0.375;1.0;0.958;0.125;0.083;0.042;0.917
ENST00000402521_90_90;0.917;1.0;0.917;0.087;0.182;0.182;0.917;0.043;0.833;0.208;0.292;0.917;0.875;0.136;0.043;0.045;0.833
ENST00000426333_90_90;1.0;0.917;1.0;0.125;0.167;0.167;1.0;0.04;0.917;0.292;0.375;1.0;0.958;0.125;0.083;0.042;0.917
ENST00000588374_90_90;0.125;0.087;0.125;1.0;0.0;0.0;0.125;0.0;0.136;0.429;0.333;0.125;0.13;0.0;0.667;0.0;0.136
ENST00000589769_90_90;0.167;0.182;0.167;0.0;1.0;0.333;0.167;0.0;0.182;0.0;0.0;0.167;0.174;0.4;0.0;0.0;0.182
ENST00000590124_90_90;0.167;0.182;0.167;0.0;0.333;1.0;0.167;0.0;0.182;0.0;0.0;0.167;0.174;0.167;0.0;0.0;0.182
ENST00000591382_90_90;1.0;0.917;1.0;0.125;0.167;0.167;1.0;0.04;0.917;0.292;0.375;1.0;0.958;0.125;0.083;0.042;0.917
ENST00000591856_90_90;0.042;0.043;0.04;0.0;0.0;0.0;0.04;1.0;0.043;0.0;0.0;0.042;0.043;0.0;0.0;0.0;0.045
ENST00000592576_90_90;0.917;0.833;0.917;0.136;0.182;0.182;0.917;0.043;1.0;0.318;0.348;0.917;0.875;0.136;0.091;0.045;1.0
ENST00000592701_90_90;0.292;0.208;0.292;0.429;0.0;0.0;0.292;0.0;0.318;1.0;0.778;0.292;0.25;0.0;0.286;0.0;0.318
ENST00000593072_90_90;0.375;0.292;0.375;0.333;0.0;0.0;0.375;0.0;0.348;0.778;1.0;0.375;0.333;0.0;0.222;0.0;0.348
ENSMUST00000021306_90_90;1.0;0.917;1.0;0.125;0.167;0.167;1.0;0.042;0.917;0.292;0.375;1.0;0.958;0.125;0.083;0.04;0.917
ENSMUST00000107060_90_90;0.958;0.875;0.958;0.13;0.174;0.174;0.958;0.043;0.875;0.25;0.333;0.958;1.0;0.13;0.087;0.042;0.875
ENSMUST00000132543_90_90;0.125;0.136;0.125;0.0;0.4;0.167;0.125;0.0;0.136;0.0;0.0;0.125;0.13;1.0;0.0;0.0;0.136
ENSMUST00000138483_90_90;0.083;0.043;0.083;0.667;0.0;0.0;0.083;0.0;0.091;0.286;0.222;0.083;0.087;0.0;1.0;0.0;0.091
ENSMUST00000172611_90_90;0.042;0.045;0.042;0.0;0.0;0.0;0.042;0.0;0.045;0.0;0.0;0.04;0.042;0.0;0.0;1.0;0.043
ENSMUST00000173679_90_90;0.917;0.833;0.917;0.136;0.182;0.182;0.917;0.045;1.0;0.318;0.348;0.917;0.875;0.136;0.091;0.043;1.0
