;ENSCAFT00000021220_90_90;ENSCAFT00000044299_90_90;ENST00000356634_90_90;ENST00000400181_90_90;ENST00000465864_90_90;ENST00000494920_90_90;ENSMUST00000046846_90_90;ENSMUST00000105847_90_90;ENSMUST00000116273_90_90;ENSMUST00000155354_90_90;ENSMUST00000170979_90_90
ENSCAFT00000021220_90_90;1.0;0.924;0.831;0.887;0.27;0.262;0.709;0.917;0.885;0.314;0.323
ENSCAFT00000044299_90_90;0.924;1.0;0.89;0.819;0.294;0.279;0.762;0.922;0.954;0.343;0.289
ENST00000356634_90_90;0.831;0.89;1.0;0.903;0.335;0.284;0.704;0.826;0.851;0.32;0.294
ENST00000400181_90_90;0.887;0.819;0.903;1.0;0.296;0.262;0.647;0.817;0.787;0.288;0.35
ENST00000465864_90_90;0.27;0.294;0.335;0.296;1.0;0.294;0.323;0.258;0.266;0.327;0.04
ENST00000494920_90_90;0.262;0.279;0.284;0.262;0.294;1.0;0.344;0.271;0.279;0.049;0.0
ENSMUST00000046846_90_90;0.709;0.762;0.704;0.647;0.323;0.344;1.0;0.778;0.805;0.315;0.252
ENSMUST00000105847_90_90;0.917;0.922;0.826;0.817;0.258;0.271;0.778;1.0;0.966;0.331;0.281
ENSMUST00000116273_90_90;0.885;0.954;0.851;0.787;0.266;0.279;0.805;0.966;1.0;0.343;0.289
ENSMUST00000155354_90_90;0.314;0.343;0.32;0.288;0.327;0.049;0.315;0.331;0.343;1.0;0.299
ENSMUST00000170979_90_90;0.323;0.289;0.294;0.35;0.04;0.0;0.252;0.281;0.289;0.299;1.0
