;ENSBTAT00000008456_98;ENSBTAT00000078883_98;ENSBTAT00000012775_98;ENSBTAT00000066410_98;ENSBTAT00000020671_98;ENSBTAT00000034295_98;ENSBTAT00000067527_98;ENSBTAT00000069014_98;ENSBTAT00000064195_98;ENSBTAT00000076076_98;ENSCAFT00000007745_98;ENSCAFT00000084598_98;ENSCAFT00000092362_98;ENSCAFT00000010754_98;ENSCAFT00000028477_98;ENSCAFT00000065303_98;ENSCAFT00020001182_98;ENSCAFT00020025365_98;ENSCAFT00020032134_98;ENST00000250263_98;ENST00000519292_98;ENST00000520684_98;ENST00000521844_98;ENST00000523898_98;ENST00000372257_98;ENST00000372259_98;ENST00000452396_98;ENST00000456170_98;ENST00000457571_98;ENST00000479101_98;ENST00000489710_98;ENST00000649995_98;ENST00000300005_98;ENST00000357967_98;ENST00000563117_98;ENST00000564349_98;ENST00000568805_98;ENST00000569729_98;ENSGALT00000016435_98;ENSGALT00000054775_98;ENSGALT00000045747_98;ENSGALT00000091957_98;ENSGALT00000105328_98;ENSMUST00000033224_98;ENSMUST00000063902_98;ENSMUST00000106523_98;ENSMUST00000139192_98;ENSMUST00000150844_98;ENSMUST00000033927_98;ENSMUST00000210483_98;ENSMUST00000210884_98;ENSMUST00000037127_98;ENSMUST00000125312_98;ENSMUST00000144373_98
ENSBTAT00000008456_98;1.0;1.0;0.655;0.618;0.61;0.475;0.646;0.437;0.635;0.782;0.595;0.658;0.486;0.722;0.781;0.793;0.734;0.746;0.772;0.0;0.0;0.0;0.0;0.0;0.427;0.448;0.336;0.55;0.177;0.222;0.086;0.377;0.165;0.461;0.468;0.468;0.0;0.035;0.634;0.519;0.754;0.765;0.758;0.0;0.077;0.012;0.0;0.52;0.0;0.0;0.0;0.506;0.527;0.037
ENSBTAT00000078883_98;1.0;1.0;0.655;0.618;0.61;0.475;0.646;0.437;0.635;0.782;0.595;0.658;0.486;0.722;0.781;0.793;0.734;0.746;0.772;0.0;0.0;0.0;0.0;0.0;0.427;0.448;0.336;0.55;0.177;0.222;0.086;0.377;0.165;0.461;0.468;0.468;0.0;0.035;0.634;0.519;0.754;0.765;0.758;0.0;0.077;0.012;0.0;0.52;0.0;0.0;0.0;0.506;0.527;0.037
ENSBTAT00000012775_98;0.655;0.655;1.0;0.913;0.743;0.267;0.634;0.285;0.914;0.889;0.845;0.873;0.57;0.963;0.778;0.792;0.963;0.867;0.776;0.696;0.696;0.068;0.0;0.696;0.485;0.383;0.247;0.284;0.396;0.201;0.059;0.506;0.352;0.759;0.81;0.81;0.135;0.374;0.889;0.748;0.855;0.941;0.977;0.0;0.364;0.368;0.219;0.759;0.76;0.153;0.239;0.613;0.282;0.492
ENSBTAT00000066410_98;0.618;0.618;0.913;1.0;0.657;0.294;0.543;0.314;0.868;0.845;0.754;0.782;0.629;0.871;0.714;0.727;0.871;0.774;0.712;0.619;0.619;0.075;0.0;0.619;0.386;0.28;0.145;0.181;0.296;0.227;0.067;0.406;0.402;0.65;0.695;0.695;0.153;0.427;0.826;0.632;0.802;0.887;0.885;0.0;0.415;0.42;0.248;0.651;0.689;0.169;0.263;0.508;0.259;0.408
ENSBTAT00000020671_98;0.61;0.61;0.743;0.657;1.0;0.329;0.591;0.257;0.675;0.761;0.845;0.886;0.613;0.758;0.773;0.743;0.758;0.926;0.76;0.585;0.585;0.207;0.0;0.585;0.633;0.382;0.347;0.365;0.514;0.073;0.034;0.587;0.42;0.752;0.605;0.605;0.302;0.436;0.812;0.718;0.735;0.724;0.755;0.035;0.436;0.427;0.331;0.748;0.609;0.127;0.27;0.665;0.256;0.286
ENSBTAT00000034295_98;0.475;0.475;0.267;0.294;0.329;1.0;0.366;0.72;0.215;0.307;0.24;0.25;0.367;0.232;0.269;0.277;0.232;0.268;0.265;0.0;0.0;0.0;0.0;0.0;0.09;0.127;0.046;0.205;0.0;0.208;0.111;0.038;0.012;0.0;0.0;0.0;0.0;0.0;0.107;0.0;0.273;0.285;0.276;0.0;0.019;0.0;0.0;0.0;0.0;0.0;0.0;0.162;0.092;0.0
ENSBTAT00000067527_98;0.646;0.646;0.634;0.543;0.591;0.366;1.0;0.272;0.52;0.61;0.524;0.566;0.36;0.633;0.509;0.525;0.633;0.587;0.5;0.412;0.412;0.0;0.0;0.412;0.473;0.526;0.353;0.599;0.286;0.093;0.084;0.423;0.177;0.461;0.546;0.546;0.011;0.183;0.491;0.426;0.647;0.673;0.708;0.0;0.191;0.18;0.057;0.461;0.424;0.028;0.203;0.624;0.351;0.341
ENSBTAT00000069014_98;0.437;0.437;0.285;0.314;0.257;0.72;0.272;1.0;0.233;0.326;0.262;0.251;0.4;0.252;0.281;0.289;0.252;0.299;0.276;0.0;0.0;0.0;0.0;0.0;0.059;0.081;0.0;0.084;0.0;0.35;0.121;0.007;0.012;0.0;0.0;0.0;0.0;0.0;0.134;0.0;0.242;0.254;0.245;0.0;0.019;0.0;0.0;0.0;0.0;0.0;0.0;0.164;0.059;0.0
ENSBTAT00000064195_98;0.635;0.635;0.914;0.868;0.675;0.215;0.52;0.233;1.0;0.889;0.845;0.876;0.588;0.96;0.846;0.846;0.988;0.87;0.846;0.673;0.673;0.077;0.0;0.673;0.482;0.305;0.211;0.237;0.388;0.231;0.024;0.52;0.473;0.718;0.728;0.728;0.151;0.418;0.908;0.744;0.816;0.861;0.88;0.0;0.451;0.43;0.245;0.74;0.736;0.17;0.264;0.51;0.288;0.459
ENSBTAT00000076076_98;0.782;0.782;0.889;0.845;0.761;0.307;0.61;0.326;0.889;1.0;0.865;0.895;0.666;0.971;0.956;0.956;0.999;0.97;0.956;0.651;0.651;0.075;0.0;0.651;0.508;0.34;0.19;0.276;0.351;0.209;0.045;0.471;0.472;0.675;0.683;0.683;0.141;0.394;0.89;0.717;0.839;0.882;0.901;0.0;0.452;0.407;0.23;0.697;0.708;0.163;0.254;0.612;0.254;0.403
