;ENSCAFT00000028257_90_90;ENST00000422393_90_90;ENST00000433491_90_90;ENST00000434483_90_90;ENST00000443502_90_90;ENST00000455268_90_90;ENST00000494475_90_90;ENST00000612423_90_90;ENST00000619236_90_90;ENST00000621218_90_90;ENSMUST00000033800_90_90;ENSMUST00000113085_90_90
ENSCAFT00000028257_90_90;1.0;0.375;0.167;0.429;0.333;0.333;0.3;0.364;0.667;0.364;0.364;0.667
ENST00000422393_90_90;0.375;1.0;0.333;0.833;0.5;0.857;0.75;0.6;0.571;0.6;0.455;0.375
ENST00000433491_90_90;0.167;0.333;1.0;0.4;0.667;0.286;0.25;0.2;0.4;0.2;0.091;0.167
ENST00000434483_90_90;0.429;0.833;0.4;1.0;0.6;0.714;0.625;0.5;0.667;0.5;0.364;0.429
ENST00000443502_90_90;0.333;0.5;0.667;0.6;1.0;0.429;0.375;0.3;0.6;0.3;0.182;0.333
ENST00000455268_90_90;0.333;0.857;0.286;0.714;0.429;1.0;0.875;0.7;0.5;0.7;0.545;0.333
ENST00000494475_90_90;0.3;0.75;0.25;0.625;0.375;0.875;1.0;0.8;0.444;0.8;0.636;0.3
ENST00000612423_90_90;0.364;0.6;0.2;0.5;0.3;0.7;0.8;1.0;0.5;1.0;0.818;0.364
ENST00000619236_90_90;0.667;0.571;0.4;0.667;0.6;0.5;0.444;0.5;1.0;0.5;0.364;0.667
ENST00000621218_90_90;0.364;0.6;0.2;0.5;0.3;0.7;0.8;1.0;0.5;1.0;0.818;0.364
ENSMUST00000033800_90_90;0.364;0.455;0.091;0.364;0.182;0.545;0.636;0.818;0.364;0.818;1.0;0.5
ENSMUST00000113085_90_90;0.667;0.375;0.167;0.429;0.333;0.333;0.3;0.364;0.667;0.364;0.5;1.0
