;ENSCAFT00000003155_90_90;ENST00000264312_90_90;ENST00000381473_90_90;ENST00000396448_90_90;ENST00000425583_90_90;ENST00000444354_90_90;ENST00000503016_90_90;ENST00000504654_90_90;ENST00000505922_90_90;ENST00000506801_90_90;ENST00000507210_90_90;ENST00000508293_90_90;ENST00000508996_90_90;ENST00000509122_90_90;ENST00000509164_90_90;ENST00000509246_90_90;ENST00000509664_90_90;ENST00000509963_90_90;ENST00000510824_90_90;ENST00000511102_90_90;ENST00000511662_90_90;ENST00000512236_90_90;ENST00000513391_90_90;ENST00000513641_90_90;ENST00000514981_90_90;ENSMUST00000031038_90_90;ENSMUST00000071081_90_90;ENSMUST00000166823_90_90;ENSMUST00000200935_90_90;ENSMUST00000201505_90_90;ENSMUST00000201556_90_90;ENSMUST00000201739_90_90;ENSMUST00000202237_90_90;ENSMUST00000202250_90_90
ENSCAFT00000003155_90_90;1.0;0.958;0.958;0.875;0.875;0.875;0.667;0.458;0.708;0.625;0.417;0.958;0.375;0.792;0.375;0.542;0.333;0.417;0.375;0.75;0.083;0.708;0.958;0.167;0.5;0.963;1.0;1.0;0.963;0.148;0.593;0.259;0.63;1.0
ENST00000264312_90_90;0.958;1.0;1.0;0.793;0.889;0.889;0.667;0.481;0.778;0.593;0.444;1.0;0.407;0.852;0.407;0.519;0.37;0.444;0.37;0.778;0.111;0.741;1.0;0.185;0.519;1.0;0.909;0.909;1.0;0.15;0.65;0.25;0.7;0.909
ENST00000381473_90_90;0.958;1.0;1.0;0.793;0.889;0.889;0.667;0.481;0.778;0.593;0.444;1.0;0.407;0.852;0.407;0.519;0.37;0.444;0.37;0.778;0.111;0.741;1.0;0.185;0.519;1.0;0.909;0.909;1.0;0.15;0.65;0.25;0.7;0.909
ENST00000396448_90_90;0.875;0.793;0.793;1.0;0.885;0.885;0.536;0.52;0.704;0.577;0.48;0.793;0.44;0.655;0.44;0.56;0.4;0.48;0.4;0.84;0.12;0.8;0.793;0.2;0.56;0.909;1.0;1.0;0.909;0.136;0.591;0.227;0.636;1.0
ENST00000425583_90_90;0.875;0.889;0.889;0.885;1.0;1.0;0.556;0.542;0.731;0.667;0.5;0.889;0.458;0.741;0.458;0.583;0.417;0.5;0.417;0.875;0.125;0.833;0.889;0.208;0.583;1.0;0.909;0.909;1.0;0.15;0.65;0.25;0.7;0.909
ENST00000444354_90_90;0.875;0.889;0.889;0.885;1.0;1.0;0.556;0.542;0.731;0.667;0.5;0.889;0.458;0.741;0.458;0.583;0.417;0.5;0.417;0.875;0.125;0.833;0.889;0.208;0.583;1.0;0.909;0.909;1.0;0.15;0.65;0.25;0.7;0.909
ENST00000503016_90_90;0.667;0.667;0.667;0.536;0.556;0.556;1.0;0.192;0.773;0.789;0.154;0.667;0.115;0.783;0.115;0.778;0.077;0.154;0.556;0.5;0.0;0.462;0.667;0.0;0.231;0.7;0.636;0.636;0.7;0.0;0.35;0.188;1.0;0.636
ENST00000504654_90_90;0.458;0.481;0.481;0.52;0.542;0.542;0.192;1.0;0.36;0.208;0.923;0.481;0.846;0.333;0.846;0.227;0.769;0.923;0.278;0.619;0.231;0.65;0.481;0.385;0.929;0.55;0.5;0.5;0.55;0.273;0.846;0.231;0.25;0.5
ENST00000505922_90_90;0.708;0.778;0.778;0.704;0.731;0.731;0.773;0.36;1.0;0.682;0.32;0.778;0.28;0.913;0.28;0.667;0.24;0.32;0.476;0.68;0.091;0.64;0.778;0.083;0.4;0.8;0.727;0.727;0.8;0.056;0.45;0.235;0.875;0.727
ENST00000506801_90_90;0.625;0.593;0.593;0.577;0.667;0.667;0.789;0.208;0.682;1.0;0.167;0.593;0.125;0.696;0.125;0.875;0.083;0.167;0.625;0.542;0.0;0.5;0.593;0.0;0.25;0.7;0.636;0.636;0.7;0.0;0.35;0.188;1.0;0.636
