;transcript10_ENSHGLG00100003156;transcript17_ENSHGLG00100003156;transcript20_ENSHGLG00100003156;transcript13_ENSHGLG00000019563;transcript17_ENSHGLG00000019563;transcript25_ENSHGLG00000019563;transcript26_ENSHGLG00000019563;transcript27_ENSHGLG00000019563;transcript0_ENSHGLG00100006079;transcript13_ENSHGLG00100006079;transcript20_ENSHGLG00100006079;transcript21_ENSHGLG00100006079;transcript22_ENSHGLG00100006079;transcript0_ENSMUNG00000002391;transcript21_ENSMUNG00000002391;transcript22_ENSMUNG00000002391;transcript8_ENSAPOG00000016134;transcript10_ENSAPOG00000016134;transcript12_ENSAPOG00000016134;transcript17_ENSAPOG00000016134;transcript20_ENSAPOG00000016134;transcript7_ENSAPOG00000023408;transcript12_ENSAPOG00000023408;transcript22_ENSAPOG00000023408;transcript23_ENSAPOG00000023408;transcript24_ENSAPOG00000023408;transcript0_ENSPNYG00000024266;transcript0_ENSXMAG00000026005
transcript10_ENSHGLG00100003156;1.0;1.0;0.964;0.964;1.0;0.964;0.439;0.898;0.664;0.958;0.958;0.958;0.767;0.676;0.97;0.773;0.674;0.935;0.796;0.933;0.809;0.901;0.796;0.746;0.906;0.905;0.656;0.656
transcript17_ENSHGLG00100003156;1.0;1.0;0.964;0.964;1.0;0.964;0.439;0.898;0.664;0.958;0.958;0.958;0.767;0.676;0.97;0.773;0.674;0.935;0.796;0.933;0.809;0.901;0.796;0.746;0.906;0.905;0.656;0.656
transcript20_ENSHGLG00100003156;0.964;0.964;1.0;1.0;0.964;1.0;0.474;0.934;0.688;0.994;0.994;0.994;0.739;0.695;0.994;0.745;0.695;0.936;0.82;0.934;0.833;0.928;0.82;0.727;0.934;0.905;0.677;0.677
transcript13_ENSHGLG00000019563;0.964;0.964;1.0;1.0;0.964;1.0;0.474;0.934;0.688;0.994;0.994;0.994;0.739;0.695;0.994;0.745;0.695;0.936;0.82;0.934;0.833;0.928;0.82;0.727;0.934;0.905;0.677;0.677
transcript17_ENSHGLG00000019563;1.0;1.0;0.964;0.964;1.0;0.964;0.439;0.898;0.664;0.958;0.958;0.958;0.767;0.676;0.97;0.773;0.674;0.935;0.796;0.933;0.809;0.901;0.796;0.746;0.906;0.905;0.656;0.656
transcript25_ENSHGLG00000019563;0.964;0.964;1.0;1.0;0.964;1.0;0.474;0.934;0.688;0.994;0.994;0.994;0.739;0.695;0.994;0.745;0.695;0.936;0.82;0.934;0.833;0.928;0.82;0.727;0.934;0.905;0.677;0.677
transcript26_ENSHGLG00000019563;0.439;0.439;0.474;0.474;0.439;0.474;1.0;0.409;0.325;0.469;0.469;0.469;0.214;0.328;0.469;0.219;0.331;0.432;0.39;0.43;0.397;0.442;0.39;0.219;0.443;0.419;0.322;0.322
transcript27_ENSHGLG00000019563;0.898;0.898;0.934;0.934;0.898;0.934;0.409;1.0;0.649;0.939;0.939;0.939;0.683;0.649;0.928;0.679;0.649;0.88;0.766;0.878;0.778;0.867;0.766;0.67;0.872;0.844;0.632;0.632
transcript0_ENSHGLG00100006079;0.664;0.664;0.688;0.688;0.664;0.688;0.325;0.649;1.0;0.691;0.691;0.691;0.514;0.978;0.685;0.512;0.565;0.655;0.642;0.654;0.649;0.703;0.642;0.508;0.692;0.686;0.553;0.553
transcript13_ENSHGLG00100006079;0.958;0.958;0.994;0.994;0.958;0.994;0.469;0.939;0.691;1.0;1.0;1.0;0.743;0.691;0.989;0.739;0.691;0.933;0.816;0.93;0.829;0.924;0.816;0.724;0.929;0.901;0.674;0.674
transcript20_ENSHGLG00100006079;0.958;0.958;0.994;0.994;0.958;0.994;0.469;0.939;0.691;1.0;1.0;1.0;0.743;0.691;0.989;0.739;0.691;0.933;0.816;0.93;0.829;0.924;0.816;0.724;0.929;0.901;0.674;0.674
transcript21_ENSHGLG00100006079;0.958;0.958;0.994;0.994;0.958;0.994;0.469;0.939;0.691;1.0;1.0;1.0;0.743;0.691;0.989;0.739;0.691;0.933;0.816;0.93;0.829;0.924;0.816;0.724;0.929;0.901;0.674;0.674
transcript22_ENSHGLG00100006079;0.767;0.767;0.739;0.739;0.767;0.739;0.214;0.683;0.514;0.743;0.743;0.743;1.0;0.519;0.743;0.991;0.518;0.734;0.612;0.734;0.622;0.693;0.612;0.945;0.697;0.709;0.505;0.505
transcript0_ENSMUNG00000002391;0.676;0.676;0.695;0.695;0.676;0.695;0.328;0.649;0.978;0.691;0.691;0.691;0.519;1.0;0.698;0.523;0.575;0.666;0.654;0.665;0.662;0.717;0.654;0.518;0.707;0.703;0.563;0.563
transcript21_ENSMUNG00000002391;0.97;0.97;0.994;0.994;0.97;0.994;0.469;0.928;0.685;0.989;0.989;0.989;0.743;0.698;1.0;0.749;0.695;0.941;0.821;0.939;0.834;0.929;0.821;0.731;0.935;0.91;0.677;0.677
transcript22_ENSMUNG00000002391;0.773;0.773;0.745;0.745;0.773;0.745;0.219;0.679;0.512;0.739;0.739;0.739;0.991;0.523;0.749;1.0;0.521;0.737;0.615;0.737;0.625;0.696;0.615;0.949;0.7;0.713;0.507;0.507
transcript8_ENSAPOG00000016134;0.674;0.674;0.695;0.695;0.674;0.695;0.331;0.649;0.565;0.691;0.691;0.691;0.518;0.575;0.695;0.521;1.0;0.673;0.846;0.672;0.832;0.747;0.846;0.523;0.736;0.729;0.974;0.974
transcript10_ENSAPOG00000016134;0.935;0.935;0.936;0.936;0.935;0.936;0.432;0.88;0.655;0.933;0.933;0.933;0.734;0.666;0.941;0.737;0.673;1.0;0.795;0.997;0.808;0.9;0.795;0.773;0.905;0.92;0.656;0.656
transcript12_ENSAPOG00000016134;0.796;0.796;0.82;0.82;0.796;0.82;0.39;0.766;0.642;0.816;0.816;0.816;0.612;0.654;0.821;0.615;0.846;0.795;1.0;0.793;0.984;0.883;1.0;0.618;0.87;0.862;0.824;0.824
transcript17_ENSAPOG00000016134;0.933;0.933;0.934;0.934;0.933;0.934;0.43;0.878;0.654;0.93;0.93;0.93;0.734;0.665;0.939;0.737;0.672;0.997;0.793;1.0;0.806;0.897;0.793;0.773;0.903;0.918;0.654;0.654
transcript20_ENSAPOG00000016134;0.809;0.809;0.833;0.833;0.809;0.833;0.397;0.778;0.649;0.829;0.829;0.829;0.622;0.662;0.834;0.625;0.832;0.808;0.984;0.806;1.0;0.897;0.984;0.627;0.884;0.876;0.811;0.811
transcript7_ENSAPOG00000023408;0.901;0.901;0.928;0.928;0.901;0.928;0.442;0.867;0.703;0.924;0.924;0.924;0.693;0.717;0.929;0.696;0.747;0.9;0.883;0.897;0.897;1.0;0.883;0.699;0.985;0.977;0.727;0.727
transcript12_ENSAPOG00000023408;0.796;0.796;0.82;0.82;0.796;0.82;0.39;0.766;0.642;0.816;0.816;0.816;0.612;0.654;0.821;0.615;0.846;0.795;1.0;0.793;0.984;0.883;1.0;0.618;0.87;0.862;0.824;0.824
transcript22_ENSAPOG00000023408;0.746;0.746;0.727;0.727;0.746;0.727;0.219;0.67;0.508;0.724;0.724;0.724;0.945;0.518;0.731;0.949;0.523;0.773;0.618;0.773;0.627;0.699;0.618;1.0;0.703;0.716;0.509;0.509
transcript23_ENSAPOG00000023408;0.906;0.906;0.934;0.934;0.906;0.934;0.443;0.872;0.692;0.929;0.929;0.929;0.697;0.707;0.935;0.7;0.736;0.905;0.87;0.903;0.884;0.985;0.87;0.703;1.0;0.962;0.717;0.717
transcript24_ENSAPOG00000023408;0.905;0.905;0.905;0.905;0.905;0.905;0.419;0.844;0.686;0.901;0.901;0.901;0.709;0.703;0.91;0.713;0.729;0.92;0.862;0.918;0.876;0.977;0.862;0.716;0.962;1.0;0.71;0.71
transcript0_ENSPNYG00000024266;0.656;0.656;0.677;0.677;0.656;0.677;0.322;0.632;0.553;0.674;0.674;0.674;0.505;0.563;0.677;0.507;0.974;0.656;0.824;0.654;0.811;0.727;0.824;0.509;0.717;0.71;1.0;1.0
