;ENSCAFT00000017682_90_90;ENST00000329008_90_90;ENST00000395275_90_90;ENST00000395276_90_90;ENST00000405452_90_90;ENST00000431984_90_90;ENST00000446128_90_90;ENSMUST00000086029_90_90;ENSMUST00000111287_90_90;ENSMUST00000111288_90_90;ENSMUST00000141131_90_90;ENSMUST00000202728_90_90
ENSCAFT00000017682_90_90;1.0;0.571;0.75;0.571;0.125;0.571;0.429;0.556;0.571;0.571;0.286;0.222
ENST00000329008_90_90;0.571;1.0;0.571;1.0;0.2;1.0;0.75;0.571;1.0;1.0;0.5;0.143
ENST00000395275_90_90;0.75;0.571;1.0;0.571;0.125;0.571;0.429;0.75;0.571;0.571;0.286;0.375
ENST00000395276_90_90;0.571;1.0;0.571;1.0;0.2;1.0;0.75;0.571;1.0;1.0;0.5;0.143
ENST00000405452_90_90;0.125;0.2;0.125;0.2;1.0;0.2;0.0;0.125;0.2;0.2;0.0;0.0
ENST00000431984_90_90;0.571;1.0;0.571;1.0;0.2;1.0;0.75;0.571;1.0;1.0;0.5;0.143
ENST00000446128_90_90;0.429;0.75;0.429;0.75;0.0;0.75;1.0;0.429;0.75;0.75;0.667;0.167
ENSMUST00000086029_90_90;0.556;0.571;0.75;0.571;0.125;0.571;0.429;1.0;0.571;0.571;0.286;0.571
ENSMUST00000111287_90_90;0.571;1.0;0.571;1.0;0.2;1.0;0.75;0.571;1.0;1.0;0.5;0.143
ENSMUST00000111288_90_90;0.571;1.0;0.571;1.0;0.2;1.0;0.75;0.571;1.0;1.0;0.5;0.143
ENSMUST00000141131_90_90;0.286;0.5;0.286;0.5;0.0;0.5;0.667;0.286;0.5;0.5;1.0;0.2
ENSMUST00000202728_90_90;0.222;0.143;0.375;0.143;0.0;0.143;0.167;0.571;0.143;0.143;0.2;1.0
