;ENSCAFT00000008902_90_90;ENSCAFT00000008903_90_90;ENST00000343600_90_90;ENST00000345429_90_90;ENST00000376673_90_90;ENST00000397601_90_90;ENST00000449284_90_90;ENST00000469707_90_90;ENSMUST00000088419_90_90;ENSMUST00000167459_90_90
ENSCAFT00000008902_90_90;1.0;0.357;0.5;0.909;0.667;0.5;0.364;0.2;0.889;0.889
ENSCAFT00000008903_90_90;0.357;1.0;0.875;0.5;0.7;0.875;0.2;0.286;0.667;0.667
ENST00000343600_90_90;0.5;0.875;1.0;0.583;0.8;1.0;0.273;0.25;0.7;0.778
ENST00000345429_90_90;0.909;0.5;0.583;1.0;0.75;0.583;0.417;0.182;0.9;1.0
ENST00000376673_90_90;0.667;0.7;0.8;0.75;1.0;0.8;0.231;0.2;0.8;0.889
ENST00000397601_90_90;0.5;0.875;1.0;0.583;0.8;1.0;0.273;0.25;0.7;0.778
ENST00000449284_90_90;0.364;0.2;0.273;0.417;0.231;0.273;1.0;0.0;0.5;0.4
ENST00000469707_90_90;0.2;0.286;0.25;0.182;0.2;0.25;0.0;1.0;0.2;0.222
ENSMUST00000088419_90_90;0.889;0.667;0.7;0.9;0.8;0.7;0.5;0.2;1.0;0.9
ENSMUST00000167459_90_90;0.889;0.667;0.778;1.0;0.889;0.778;0.4;0.222;0.9;1.0
