;ENSCAFT00000016458_90_90;ENSCAFT00000047049_90_90;ENST00000257118_90_90;ENST00000373418_90_90;ENST00000373422_90_90;ENST00000431992_90_90;ENSMUST00000030588_90_90;ENSMUST00000106079_90_90;ENSMUST00000106080_90_90;ENSMUST00000120946_90_90;ENSMUST00000133439_90_90;ENSMUST00000134421_90_90;ENSMUST00000136377_90_90;ENSMUST00000138445_90_90;ENSMUST00000143632_90_90;ENSMUST00000147572_90_90
ENSCAFT00000016458_90_90;1.0;0.968;0.87;0.364;0.591;1.0;0.957;0.364;0.957;0.091;0.182;0.273;0.217;0.136;0.136;0.318
ENSCAFT00000047049_90_90;0.968;1.0;0.913;0.348;0.565;0.957;1.0;0.348;1.0;0.087;0.174;0.261;0.261;0.13;0.13;0.304
ENST00000257118_90_90;0.87;0.913;1.0;0.348;0.48;0.88;0.913;0.381;0.913;0.095;0.19;0.286;0.238;0.143;0.143;0.333
ENST00000373418_90_90;0.364;0.348;0.348;1.0;0.571;0.333;0.348;1.0;0.348;0.25;0.5;0.75;0.0;0.375;0.375;0.875
ENST00000373422_90_90;0.591;0.565;0.48;0.571;1.0;0.583;0.609;0.571;0.609;0.143;0.286;0.429;0.0;0.214;0.214;0.5
ENST00000431992_90_90;1.0;0.957;0.88;0.333;0.583;1.0;0.957;0.364;0.957;0.091;0.182;0.273;0.174;0.136;0.136;0.318
ENSMUST00000030588_90_90;0.957;1.0;0.913;0.348;0.609;0.957;1.0;0.308;1.0;0.077;0.154;0.231;0.269;0.115;0.115;0.269
ENSMUST00000106079_90_90;0.364;0.348;0.381;1.0;0.571;0.364;0.308;1.0;0.308;0.25;0.5;0.75;0.0;0.375;0.375;0.875
ENSMUST00000106080_90_90;0.957;1.0;0.913;0.348;0.609;0.957;1.0;0.308;1.0;0.077;0.154;0.231;0.269;0.115;0.115;0.269
ENSMUST00000120946_90_90;0.091;0.087;0.095;0.25;0.143;0.091;0.077;0.25;0.077;1.0;0.5;0.333;0.0;0.25;0.25;0.286
ENSMUST00000133439_90_90;0.182;0.174;0.19;0.5;0.286;0.182;0.154;0.5;0.154;0.5;1.0;0.667;0.0;0.4;0.4;0.571
ENSMUST00000134421_90_90;0.273;0.261;0.286;0.75;0.429;0.273;0.231;0.75;0.231;0.333;0.667;1.0;0.0;0.5;0.5;0.857
ENSMUST00000136377_90_90;0.217;0.261;0.238;0.0;0.0;0.174;0.269;0.0;0.269;0.0;0.0;0.0;1.0;0.0;0.0;0.0
ENSMUST00000138445_90_90;0.136;0.13;0.143;0.375;0.214;0.136;0.115;0.375;0.115;0.25;0.4;0.5;0.0;1.0;1.0;0.429
ENSMUST00000143632_90_90;0.136;0.13;0.143;0.375;0.214;0.136;0.115;0.375;0.115;0.25;0.4;0.5;0.0;1.0;1.0;0.429
ENSMUST00000147572_90_90;0.318;0.304;0.333;0.875;0.5;0.318;0.269;0.875;0.269;0.286;0.571;0.857;0.0;0.429;0.429;1.0
