;ENSCAFT00000027249_90_90;ENSCAFT00000027252_90_90;ENST00000327028_90_90;ENST00000343765_90_90;ENST00000448935_90_90;ENST00000553888_90_90;ENST00000556412_90_90;ENST00000557466_90_90;ENST00000557658_90_90;ENSMUST00000021426_90_90;ENSMUST00000072744_90_90;ENSMUST00000179379_90_90
ENSCAFT00000027249_90_90;1.0;0.9;0.667;1.0;0.667;1.0;1.0;0.111;1.0;0.875;1.0;0.875
ENSCAFT00000027252_90_90;0.9;1.0;0.556;0.889;0.556;0.889;0.889;0.125;0.889;0.75;0.875;0.75
ENST00000327028_90_90;0.667;0.556;1.0;0.7;1.0;0.7;0.636;0.286;0.7;0.667;0.778;0.667
ENST00000343765_90_90;1.0;0.889;0.7;1.0;0.7;1.0;0.909;0.2;1.0;0.889;1.0;0.889
ENST00000448935_90_90;0.667;0.556;1.0;0.7;1.0;0.7;0.636;0.286;0.7;0.667;0.778;0.667
ENST00000553888_90_90;1.0;0.889;0.7;1.0;0.7;1.0;0.909;0.2;1.0;0.889;1.0;0.889
ENST00000556412_90_90;1.0;0.889;0.636;0.909;0.636;0.909;1.0;0.182;0.909;0.889;1.0;0.889
ENST00000557466_90_90;0.111;0.125;0.286;0.2;0.286;0.2;0.182;1.0;0.2;0.25;0.222;0.25
ENST00000557658_90_90;1.0;0.889;0.7;1.0;0.7;1.0;0.909;0.2;1.0;0.889;1.0;0.889
ENSMUST00000021426_90_90;0.875;0.75;0.667;0.889;0.667;0.889;0.889;0.25;0.889;1.0;0.889;1.0
ENSMUST00000072744_90_90;1.0;0.875;0.778;1.0;0.778;1.0;1.0;0.222;1.0;0.889;1.0;0.889
ENSMUST00000179379_90_90;0.875;0.75;0.667;0.889;0.667;0.889;0.889;0.25;0.889;1.0;0.889;1.0
