;ENSCAFT00000027448_90_90;ENSCAFT00000027452_90_90;ENST00000271850_90_90;ENST00000302206_90_90;ENST00000323144_90_90;ENST00000328159_90_90;ENST00000330188_90_90;ENST00000341372_90_90;ENST00000341485_90_90;ENST00000368530_90_90;ENST00000368531_90_90;ENST00000368533_90_90;ENST00000509409_90_90;ENST00000509601_90_90;ENST00000515609_90_90;ENST00000611659_90_90;ENSMUST00000029549_90_90;ENSMUST00000118566_90_90;ENSMUST00000119158_90_90;ENSMUST00000119570_90_90;ENSMUST00000121503_90_90;ENSMUST00000127955_90_90;ENSMUST00000149432_90_90
ENSCAFT00000027448_90_90;;;0.36;0.41;0.522;0.472;0.522;0.363;0.278;0.53;0.4;0.4;0.055;0.135;0.022;0.352;0.378;0.569;0.49;0.579;0.823;0.069;0.257
ENSCAFT00000027452_90_90;;;0.632;0.569;0.565;0.421;0.674;0.483;0.387;0.66;0.43;0.52;0.059;0.146;0.105;0.466;0.788;0.828;0.852;0.472;0.522;0.073;0.283
ENST00000271850_90_90;0.36;0.632;;;;;;;;;;;;;;;0.792;0.528;0.538;0.538;0.355;0.059;0.188
ENST00000302206_90_90;0.41;0.569;;;;;;;;;;;;;;;0.409;0.439;0.451;0.388;0.447;0.14;0.505
ENST00000323144_90_90;0.522;0.565;;;;;;;;;;;;;;;0.43;0.552;0.674;0.417;0.567;0.085;0.311
ENST00000328159_90_90;0.472;0.421;;;;;;;;;;;;;;;0.56;0.531;0.421;0.545;0.538;0.077;0.23
ENST00000330188_90_90;0.522;0.674;;;;;;;;;;;;;;;0.52;0.55;0.565;0.502;0.566;0.085;0.311
ENST00000341372_90_90;0.363;0.483;;;;;;;;;;;;;;;0.647;0.383;0.392;0.627;0.391;0.091;0.266
ENST00000341485_90_90;0.278;0.387;;;;;;;;;;;;;;;0.536;0.297;0.302;0.51;0.292;0.0;0.135
ENST00000368530_90_90;0.53;0.66;;;;;;;;;;;;;;;0.528;0.792;0.661;0.344;0.56;0.059;0.234
ENST00000368531_90_90;0.4;0.43;;;;;;;;;;;;;;;0.575;0.421;0.52;0.559;0.428;0.081;0.237
ENST00000368533_90_90;0.4;0.52;;;;;;;;;;;;;;;0.683;0.421;0.43;0.66;0.427;0.081;0.237
ENST00000509409_90_90;0.055;0.059;;;;;;;;;;;;;;;0.056;0.056;0.059;0.058;0.063;0.134;0.078
ENST00000509601_90_90;0.135;0.146;;;;;;;;;;;;;;;0.182;0.143;0.146;0.177;0.146;0.0;0.0
ENST00000515609_90_90;0.022;0.105;;;;;;;;;;;;;;;0.103;0.103;0.105;0.0;0.0;0.0;0.0
ENST00000611659_90_90;0.352;0.466;;;;;;;;;;;;;;;0.623;0.37;0.379;0.603;0.377;0.087;0.255
ENSMUST00000029549_90_90;0.378;0.788;0.792;0.409;0.43;0.56;0.52;0.647;0.536;0.528;0.575;0.683;0.056;0.182;0.103;0.623;;;;;;;
ENSMUST00000118566_90_90;0.569;0.828;0.528;0.439;0.552;0.531;0.55;0.383;0.297;0.792;0.421;0.421;0.056;0.143;0.103;0.37;;;;;;;
ENSMUST00000119158_90_90;0.49;0.852;0.538;0.451;0.674;0.421;0.565;0.392;0.302;0.661;0.52;0.43;0.059;0.146;0.105;0.379;;;;;;;
ENSMUST00000119570_90_90;0.579;0.472;0.538;0.388;0.417;0.545;0.502;0.627;0.51;0.344;0.559;0.66;0.058;0.177;0.0;0.603;;;;;;;
ENSMUST00000121503_90_90;0.823;0.522;0.355;0.447;0.567;0.538;0.566;0.391;0.292;0.56;0.428;0.427;0.063;0.146;0.0;0.377;;;;;;;
ENSMUST00000127955_90_90;0.069;0.073;0.059;0.14;0.085;0.077;0.085;0.091;0.0;0.059;0.081;0.081;0.134;0.0;0.0;0.087;;;;;;;
ENSMUST00000149432_90_90;0.257;0.283;0.188;0.505;0.311;0.23;0.311;0.266;0.135;0.234;0.237;0.237;0.078;0.0;0.0;0.255;;;;;;;
