;ENSCAFT00000006410_90_90;ENSCAFT00000006413_90_90;ENSCAFT00000011282_90_90;ENST00000229471_90_90;ENST00000354650_90_90;ENST00000368667_90_90;ENST00000368678_90_90;ENST00000368682_90_90;ENST00000462598_90_90;ENST00000462856_90_90;ENST00000484067_90_90;ENST00000487824_90_90;ENST00000517419_90_90;ENST00000518295_90_90;ENST00000518630_90_90;ENST00000520518_90_90;ENST00000521062_90_90;ENST00000523238_90_90;ENST00000523570_90_90;ENST00000523574_90_90;ENST00000524310_90_90;ENST00000538466_90_90;ENST00000519728_90_90;ENST00000520050_90_90;ENST00000520220_90_90;ENSMUST00000063091_90_90;ENSMUST00000099967_90_90;ENSMUST00000126486_90_90;ENSMUST00000135242_90_90;ENSMUST00000136659_90_90;ENSMUST00000146287_90_90;ENSMUST00000148152_90_90;ENSMUST00000157009_90_90;ENSMUST00000041377_90_90;ENSMUST00000103010_90_90
ENSCAFT00000006410_90_90;1.0;0.5;0.999;0.881;0.977;0.977;0.892;0.892;0.239;0.591;0.332;0.2;0.515;0.472;0.393;0.536;0.317;0.46;0.38;0.425;0.442;0.892;0.996;0.476;0.927;0.892;0.977;0.892;0.892;0.881;0.892;0.362;0.104;0.996;0.927
ENSCAFT00000006413_90_90;0.5;1.0;0.578;0.572;0.515;0.515;0.566;0.566;0.0;0.267;0.0;0.0;0.181;0.132;0.043;0.206;0.0;0.118;0.028;0.079;0.098;0.566;0.577;0.196;0.615;0.566;0.515;0.566;0.566;0.572;0.566;0.0;0.0;0.577;0.615
ENSCAFT00000011282_90_90;0.999;0.578;1.0;0.883;0.982;0.982;0.899;0.899;0.202;0.589;0.282;0.183;0.498;0.443;0.342;0.526;0.261;0.426;0.323;0.38;0.402;0.899;1.0;0.462;0.922;0.899;0.982;0.899;0.899;0.883;0.899;0.305;0.118;1.0;0.922
ENST00000229471_90_90;0.881;0.572;0.883;1.0;0.892;0.892;0.927;0.927;0.265;0.677;0.367;0.221;0.593;0.543;0.456;0.617;0.35;0.53;0.441;0.491;0.509;0.927;0.88;0.543;0.811;0.927;0.892;0.927;0.927;1.0;0.927;0.4;0.115;0.88;0.811
ENST00000354650_90_90;0.977;0.515;0.982;0.892;1.0;1.0;0.833;0.833;0.236;0.603;0.327;0.197;0.527;0.484;0.405;0.548;0.312;0.472;0.392;0.437;0.453;0.833;0.979;0.487;0.91;0.833;1.0;0.833;0.833;0.892;0.833;0.356;0.102;0.979;0.91
ENST00000368667_90_90;0.977;0.515;0.982;0.892;1.0;1.0;0.833;0.833;0.236;0.603;0.327;0.197;0.527;0.484;0.405;0.548;0.312;0.472;0.392;0.437;0.453;0.833;0.979;0.487;0.91;0.833;1.0;0.833;0.833;0.892;0.833;0.356;0.102;0.979;0.91
ENST00000368678_90_90;0.892;0.566;0.899;0.927;0.833;0.833;1.0;1.0;0.248;0.632;0.344;0.207;0.554;0.509;0.427;0.577;0.328;0.496;0.413;0.461;0.478;1.0;0.897;0.528;0.828;1.0;0.833;1.0;1.0;0.927;1.0;0.376;0.107;0.897;0.828
ENST00000368682_90_90;0.892;0.566;0.899;0.927;0.833;0.833;1.0;1.0;0.248;0.632;0.344;0.207;0.554;0.509;0.427;0.577;0.328;0.496;0.413;0.461;0.478;1.0;0.897;0.528;0.828;1.0;0.833;1.0;1.0;0.927;1.0;0.376;0.107;0.897;0.828
ENST00000462598_90_90;0.239;0.0;0.202;0.265;0.236;0.236;0.248;0.248;1.0;0.371;0.703;0.862;0.434;0.479;0.585;0.415;0.735;0.488;0.601;0.528;0.51;0.248;0.202;0.405;0.133;0.248;0.236;0.248;0.248;0.265;0.248;0.647;0.462;0.202;0.133
ENST00000462856_90_90;0.591;0.267;0.589;0.677;0.603;0.603;0.632;0.632;0.371;1.0;0.523;0.316;0.848;0.77;0.637;0.887;0.501;0.755;0.617;0.698;0.724;0.632;0.589;0.785;0.52;0.632;0.603;0.632;0.632;0.677;0.632;0.57;0.167;0.589;0.52
ENST00000484067_90_90;0.332;0.0;0.282;0.367;0.327;0.327;0.344;0.344;0.703;0.523;1.0;0.603;0.617;0.682;0.837;0.589;0.958;0.694;0.86;0.752;0.725;0.344;0.282;0.583;0.212;0.344;0.327;0.344;0.344;0.367;0.344;0.921;0.322;0.282;0.212
ENST00000487824_90_90;0.2;0.0;0.183;0.221;0.197;0.197;0.207;0.207;0.862;0.316;0.603;1.0;0.372;0.411;0.505;0.355;0.63;0.419;0.518;0.454;0.438;0.207;0.183;0.373;0.115;0.207;0.197;0.207;0.207;0.221;0.207;0.555;0.533;0.183;0.115
ENST00000517419_90_90;0.515;0.181;0.498;0.593;0.527;0.527;0.554;0.554;0.434;0.848;0.617;0.372;1.0;0.905;0.743;0.956;0.591;0.889;0.722;0.821;0.851;0.554;0.498;0.96;0.43;0.554;0.527;0.554;0.554;0.593;0.554;0.67;0.199;0.498;0.43
ENST00000518295_90_90;0.472;0.132;0.443;0.543;0.484;0.484;0.509;0.509;0.479;0.77;0.682;0.411;0.905;1.0;0.819;0.865;0.653;0.982;0.795;0.907;0.941;0.509;0.443;0.915;0.374;0.509;0.484;0.509;0.509;0.543;0.509;0.74;0.22;0.443;0.374
ENST00000518630_90_90;0.393;0.043;0.342;0.456;0.405;0.405;0.427;0.427;0.585;0.637;0.837;0.505;0.743;0.819;1.0;0.711;0.802;0.835;0.972;0.904;0.871;0.427;0.342;0.694;0.273;0.427;0.405;0.427;0.427;0.456;0.427;0.907;0.271;0.342;0.273
ENST00000520518_90_90;0.536;0.206;0.526;0.617;0.548;0.548;0.577;0.577;0.415;0.887;0.589;0.355;0.956;0.865;0.711;1.0;0.565;0.849;0.691;0.784;0.813;0.577;0.526;0.905;0.458;0.577;0.548;0.577;0.577;0.617;0.577;0.641;0.19;0.526;0.458
ENST00000521062_90_90;0.317;0.0;0.261;0.35;0.312;0.312;0.328;0.328;0.735;0.501;0.958;0.63;0.591;0.653;0.802;0.565;1.0;0.665;0.824;0.72;0.695;0.328;0.261;0.545;0.193;0.328;0.312;0.328;0.328;0.35;0.328;0.883;0.336;0.261;0.193
ENST00000523238_90_90;0.46;0.118;0.426;0.53;0.472;0.472;0.496;0.496;0.488;0.755;0.694;0.419;0.889;0.982;0.835;0.849;0.665;1.0;0.811;0.923;0.958;0.496;0.426;0.889;0.357;0.496;0.472;0.496;0.496;0.53;0.496;0.754;0.223;0.426;0.357
ENST00000523570_90_90;0.38;0.028;0.323;0.441;0.392;0.392;0.413;0.413;0.601;0.617;0.86;0.518;0.722;0.795;0.972;0.691;0.824;0.811;1.0;0.879;0.847;0.413;0.323;0.662;0.254;0.413;0.392;0.413;0.413;0.441;0.413;0.933;0.278;0.323;0.254
