id_transcript;block_sequence
ENSCAFT00000006410_90_90;0.1.2.4.5.7.8.9.10.11.12.13.14.15.16.17.18.19.20.21.22.23.24.27.28.29.30.31.32.33.34.35.36.37.38.40.41.42.45.46.48.50.51.52
ENSCAFT00000006413_90_90;25.26.27.28.29.30.31.32.33.34.35.36.37.46.48.50.51
ENSCAFT00000011282_90_90;0.2.3.4.5.6.7.8.10.12.16.19.20.21.22.28.29.30.31.32.33.34.35.36.37.38.39.40.42.45.46.47.48.49.50
ENST00000229471_90_90;0.1.2.4.5.7.8.9.10.11.12.13.14.15.16.17.18.19.20.21.22.23.24.25.28.29.30.31.32.33.34.35.36.37.46.48.50.51.52
ENST00000354650_90_90;0.1.2.4.5.7.8.9.10.11.12.13.14.15.16.17.18.19.20.21.22.23.24.25.28.29.30.31.32.33.34.35.36.37.38.40.41.42.43.46.48.50.51.52
ENST00000368667_90_90;0.1.2.4.5.7.8.9.10.11.12.13.14.15.16.17.18.19.20.21.22.23.24.25.28.29.30.31.32.33.34.35.36.37.38.40.41.42.43.46.48.50.51.52
ENST00000368678_90_90;0.1.2.4.5.7.8.9.10.11.12.13.14.15.16.17.18.19.20.21.22.23.24.25.28.29.30.31.32.33.34.35.36.37.44.45.46.48.50.51.52
ENST00000368682_90_90;0.1.2.4.5.7.8.9.10.11.12.13.14.15.16.17.18.19.20.21.22.23.24.25.28.29.30.31.32.33.34.35.36.37.44.45.46.48.50.51.52
ENST00000462598_90_90;0.1.2.4.5.7.8.9.10.11.12.13.14.18.19
ENST00000462856_90_90;0.1.2.4.5.7.8.9.10.11.12.13.14.15.16.17.18.19.20.21.22.23.24.25.28.29.30.31.32.33.34.35.36.37
ENST00000484067_90_90;0.1.2.4.5.7.8.9.10.11.12.13.14.15.16.17.18.19.20.21
ENST00000487824_90_90;0.1.2.4.5.7.8.9.10.11.12.13
ENST00000517419_90_90;0.1.2.4.5.7.8.9.10.11.12.13.14.15.16.17.18.19.20.21.22.23.24.25.28.29.30.31.32.33.34.35
ENST00000518295_90_90;0.1.2.4.5.7.8.9.10.11.12.13.14.15.16.17.18.19.20.21.22.23.24.25.28.29.30.31.32.33
ENST00000518630_90_90;0.1.2.4.5.7.8.9.10.11.12.13.14.15.16.17.18.19.20.21.22.23.24.25.28.29
ENST00000520518_90_90;0.1.2.4.5.7.8.9.10.11.12.13.14.15.16.17.18.19.20.21.22.23.24.25.28.29.30.31.32.33.34.35.36
ENST00000521062_90_90;0.1.2.4.5.7.8.9.10.11.12.13.14.15.16.17.18.19.20
ENST00000523238_90_90;0.1.2.4.5.7.8.9.10.11.12.13.14.15.16.17.18.19.20.21.22.23.24.25.28.29.30.31.32
ENST00000523570_90_90;0.1.2.4.5.7.8.9.10.11.12.13.14.15.16.17.18.19.20.21.22.23.24.25.28
ENST00000523574_90_90;0.1.2.4.5.7.8.9.10.11.12.13.14.15.16.17.18.19.20.21.22.23.24.25.28.29.30
ENST00000524310_90_90;0.1.2.4.5.7.8.9.10.11.12.13.14.15.16.17.18.19.20.21.22.23.24.25.28.29.30.31
ENST00000538466_90_90;0.1.2.4.5.7.8.9.10.11.12.13.14.15.16.17.18.19.20.21.22.23.24.25.28.29.30.31.32.33.34.35.36.37.44.45.46.48.50.51.52
ENST00000519728_90_90;0.2.3.4.5.6.7.8.10.12.16.19.20.21.22.28.29.30.31.32.33.34.35.36.37.38.39.40.42.45.46.47.48.49.50
ENST00000520050_90_90;0.2.3.4.5.6.7.8.10.12.16.19.20.21.22.28.29.30.31.32.33.34
ENST00000520220_90_90;0.2.3.4.10.12.16.19.20.21.22.28.29.30.31.32.33.34.35.36.37.38.39.40.42.45.46.47.48.49.50
ENSMUST00000063091_90_90;0.1.2.4.5.7.8.9.10.11.12.13.14.15.16.17.18.19.20.21.22.23.24.25.28.29.30.31.32.33.34.35.36.37.44.45.46.48.50.51.52
ENSMUST00000099967_90_90;0.1.2.4.5.7.8.9.10.11.12.13.14.15.16.17.18.19.20.21.22.23.24.25.28.29.30.31.32.33.34.35.36.37.38.40.41.42.43.46.48.50.51.52
ENSMUST00000126486_90_90;0.1.2.4.5.7.8.9.10.11.12.13.14.15.16.17.18.19.20.21.22.23.24.25.28.29.30.31.32.33.34.35.36.37.44.45.46.48.50.51.52
ENSMUST00000135242_90_90;0.1.2.4.5.7.8.9.10.11.12.13.14.15.16.17.18.19.20.21.22.23.24.25.28.29.30.31.32.33.34.35.36.37.44.45.46.48.50.51.52
ENSMUST00000136659_90_90;0.1.2.4.5.7.8.9.10.11.12.13.14.15.16.17.18.19.20.21.22.23.24.25.28.29.30.31.32.33.34.35.36.37.46.48.50.51.52
ENSMUST00000146287_90_90;0.1.2.4.5.7.8.9.10.11.12.13.14.15.16.17.18.19.20.21.22.23.24.25.28.29.30.31.32.33.34.35.36.37.44.45.46.48.50.51.52
ENSMUST00000148152_90_90;0.1.2.4.5.7.8.9.10.11.12.13.14.15.16.17.18.19.20.21.22.23
ENSMUST00000157009_90_90;0.1.2.4.5.7
ENSMUST00000041377_90_90;0.2.3.4.5.6.7.8.10.12.16.19.20.21.22.28.29.30.31.32.33.34.35.36.37.38.39.40.42.45.46.47.48.49.50
ENSMUST00000103010_90_90;0.2.3.4.10.12.16.19.20.21.22.28.29.30.31.32.33.34.35.36.37.38.39.40.42.45.46.47.48.49.50
