;transcript2_ENSMLUG00000027828;transcript2_ENSSTOG00000019743;transcript17_ENSMUGG00000013649;transcript17_ENSMUGG00000013592;transcript29_ENSMUGG00000013592;transcript8_ENSPEMG00000024651;transcript8_ENSNGAG00000018584;transcript7_ENSNGAG00000018584;transcript9_ENSNGAG00000018584;transcript10_ENSNGAG00000018584;transcript18_ENSNGAG00000018584;transcript19_ENSNGAG00000018584;transcript15_ENSSTOG00000019743
transcript2_ENSMLUG00000027828;1.0;1.0;1.0;0.747;0.823;1.0;0.641;0.408;0.904;0.893;0.855;0.867;1.0
transcript2_ENSSTOG00000019743;1.0;1.0;1.0;0.748;0.824;1.0;0.624;0.406;0.904;0.893;0.853;0.865;1.0
transcript17_ENSMUGG00000013649;1.0;1.0;1.0;0.996;0.996;1.0;0.879;0.449;0.883;0.864;0.864;0.864;1.0
transcript17_ENSMUGG00000013592;0.747;0.748;0.996;1.0;0.921;0.913;0.814;0.414;0.693;0.677;0.69;0.686;0.748
transcript29_ENSMUGG00000013592;0.823;0.824;0.996;0.921;1.0;0.996;0.886;0.384;0.762;0.747;0.759;0.756;0.824
transcript8_ENSPEMG00000024651;1.0;1.0;1.0;0.913;0.996;1.0;0.955;0.379;0.955;0.867;0.867;0.867;1.0
transcript8_ENSNGAG00000018584;0.641;0.624;0.879;0.814;0.886;0.955;1.0;0.319;0.696;0.602;0.631;0.621;0.624
transcript7_ENSNGAG00000018584;0.408;0.406;0.449;0.414;0.384;0.379;0.319;1.0;0.385;0.462;0.413;0.478;0.406
transcript9_ENSNGAG00000018584;0.904;0.904;0.883;0.693;0.762;0.955;0.696;0.385;1.0;0.897;0.855;0.867;0.904
transcript10_ENSNGAG00000018584;0.893;0.893;0.864;0.677;0.747;0.867;0.602;0.462;0.897;1.0;0.956;0.969;0.893
transcript18_ENSNGAG00000018584;0.855;0.853;0.864;0.69;0.759;0.867;0.631;0.413;0.855;0.956;1.0;0.924;0.853
transcript19_ENSNGAG00000018584;0.867;0.865;0.864;0.686;0.756;0.867;0.621;0.478;0.867;0.969;0.924;1.0;0.865
transcript15_ENSSTOG00000019743;1.0;1.0;1.0;0.748;0.824;1.0;0.624;0.406;0.904;0.893;0.853;0.865;1.0
