;ENSCAFT00000020697_90_90;ENSCAFT00000043849_90_90;ENST00000242480_90_90;ENST00000411732_90_90;ENST00000439032_90_90;ENST00000637191_90_90;ENSMUST00000048289_90_90;ENSMUST00000105438_90_90;ENSMUST00000127820_90_90;ENSMUST00000130933_90_90;ENSMUST00000145754_90_90;ENSMUST00000145936_90_90;ENSMUST00000146986_90_90
ENSCAFT00000020697_90_90;1.0;0.542;0.808;0.792;0.808;0.333;0.692;0.667;0.565;0.087;0.375;0.417;0.174
ENSCAFT00000043849_90_90;0.542;1.0;0.6;0.5;0.6;0.562;0.609;0.5;0.381;0.2;0.444;0.5;0.25
ENST00000242480_90_90;0.808;0.6;1.0;0.84;1.0;0.4;0.808;0.654;0.56;0.12;0.333;0.37;0.154
ENST00000411732_90_90;0.792;0.5;0.84;1.0;0.84;0.24;0.654;0.773;0.667;0.043;0.333;0.375;0.182
ENST00000439032_90_90;0.808;0.6;1.0;0.84;1.0;0.4;0.808;0.654;0.56;0.12;0.333;0.37;0.154
ENST00000637191_90_90;0.333;0.562;0.4;0.24;0.4;1.0;0.391;0.217;0.091;0.3;0.4;0.375;0.364
ENSMUST00000048289_90_90;0.692;0.609;0.808;0.654;0.808;0.391;1.0;0.818;0.636;0.136;0.435;0.478;0.227
ENSMUST00000105438_90_90;0.667;0.5;0.654;0.773;0.654;0.217;0.818;1.0;0.778;0.05;0.45;0.5;0.278
ENSMUST00000127820_90_90;0.565;0.381;0.56;0.667;0.56;0.091;0.636;0.778;1.0;0.0;0.25;0.3;0.056
ENSMUST00000130933_90_90;0.087;0.2;0.12;0.043;0.12;0.3;0.136;0.05;0.0;1.0;0.167;0.154;0.143
ENSMUST00000145754_90_90;0.375;0.444;0.333;0.333;0.333;0.4;0.435;0.45;0.25;0.167;1.0;0.917;0.455
ENSMUST00000145936_90_90;0.417;0.5;0.37;0.375;0.37;0.375;0.478;0.5;0.3;0.154;0.917;1.0;0.417
ENSMUST00000146986_90_90;0.174;0.25;0.154;0.182;0.154;0.364;0.227;0.278;0.056;0.143;0.455;0.417;1.0
