;ENSCAFT00000017839_90_90;ENSCAFT00000046942_90_90;ENST00000229395_90_90;ENST00000327214_90_90;ENST00000544111_90_90;ENST00000546072_90_90;ENSMUST00000037836_90_90;ENSMUST00000058245_90_90;ENSMUST00000067404_90_90;ENSMUST00000111663_90_90
ENSCAFT00000017839_90_90;1.0;0.85;0.845;0.994;0.279;0.523;0.523;0.523;0.994;0.845
ENSCAFT00000046942_90_90;0.85;1.0;0.995;0.845;0.237;0.673;0.673;0.673;0.845;0.995
ENST00000229395_90_90;0.845;0.995;1.0;0.85;0.237;0.667;0.67;0.67;0.845;0.995
ENST00000327214_90_90;0.994;0.845;0.85;1.0;0.279;0.518;0.52;0.52;0.994;0.845
ENST00000544111_90_90;0.279;0.237;0.237;0.279;1.0;0.349;0.349;0.349;0.279;0.237
ENST00000546072_90_90;0.523;0.673;0.667;0.518;0.349;1.0;1.0;1.0;0.518;0.667
ENSMUST00000037836_90_90;0.523;0.673;0.67;0.52;0.349;1.0;1.0;1.0;0.518;0.667
ENSMUST00000058245_90_90;0.523;0.673;0.67;0.52;0.349;1.0;1.0;1.0;0.518;0.667
ENSMUST00000067404_90_90;0.994;0.845;0.845;0.994;0.279;0.518;0.518;0.518;1.0;0.85
ENSMUST00000111663_90_90;0.845;0.995;0.995;0.845;0.237;0.667;0.667;0.667;0.85;1.0
