;ENSCAFT00000001398_90_90;ENSCAFT00000001399_90_90;ENSCAFT00000001401_90_90;ENST00000378735_90_90;ENST00000378746_90_90;ENST00000403231_90_90;ENST00000428744_90_90;ENST00000450441_90_90;ENST00000618515_90_90;ENSMUST00000057330_90_90;ENSMUST00000118353_90_90;ENSMUST00000120613_90_90;ENSMUST00000130037_90_90;ENSMUST00000132496_90_90;ENSMUST00000132653_90_90;ENSMUST00000173744_90_90
ENSCAFT00000001398_90_90;1.0;0.714;0.55;0.8;0.75;0.857;0.1;0.105;0.81;0.591;0.773;0.636;0.105;0.143;0.1;0.591
ENSCAFT00000001399_90_90;0.714;1.0;0.611;0.789;0.833;0.682;0.111;0.118;0.636;0.65;0.542;0.619;0.118;0.158;0.111;0.571
ENSCAFT00000001401_90_90;0.55;0.611;1.0;0.611;0.647;0.524;0.154;0.0;0.476;0.474;0.391;0.45;0.0;0.214;0.154;0.4
ENST00000378735_90_90;0.8;0.789;0.611;1.0;0.941;0.85;0.111;0.118;0.8;0.65;0.609;0.7;0.118;0.158;0.111;0.65
ENST00000378746_90_90;0.75;0.833;0.647;0.941;1.0;0.8;0.118;0.125;0.75;0.684;0.565;0.65;0.125;0.167;0.118;0.6
ENST00000403231_90_90;0.857;0.682;0.524;0.85;0.8;1.0;0.095;0.1;0.773;0.565;0.667;0.609;0.1;0.136;0.095;0.565
ENST00000428744_90_90;0.1;0.111;0.154;0.111;0.118;0.095;1.0;0.0;0.1;0.118;0.095;0.111;0.0;0.333;0.2;0.118
ENST00000450441_90_90;0.105;0.118;0.0;0.118;0.125;0.1;0.0;1.0;0.105;0.125;0.1;0.118;1.0;0.0;0.0;0.125
ENST00000618515_90_90;0.81;0.636;0.476;0.8;0.75;0.773;0.1;0.105;1.0;0.522;0.625;0.565;0.105;0.143;0.1;0.522
ENSMUST00000057330_90_90;0.591;0.65;0.474;0.65;0.684;0.565;0.118;0.125;0.522;1.0;0.8;0.941;0.125;0.312;0.056;0.882
ENSMUST00000118353_90_90;0.773;0.542;0.391;0.609;0.565;0.667;0.095;0.1;0.625;0.8;1.0;0.85;0.1;0.25;0.045;0.8
ENSMUST00000120613_90_90;0.636;0.619;0.45;0.7;0.65;0.609;0.111;0.118;0.565;0.941;0.85;1.0;0.118;0.294;0.053;0.941
ENSMUST00000130037_90_90;0.105;0.118;0.0;0.118;0.125;0.1;0.0;1.0;0.105;0.125;0.1;0.118;1.0;0.0;0.0;0.125
ENSMUST00000132496_90_90;0.143;0.158;0.214;0.158;0.167;0.136;0.333;0.0;0.143;0.312;0.25;0.294;0.0;1.0;0.143;0.312
ENSMUST00000132653_90_90;0.1;0.111;0.154;0.111;0.118;0.095;0.2;0.0;0.1;0.056;0.045;0.053;0.0;0.143;1.0;0.056
ENSMUST00000173744_90_90;0.591;0.571;0.4;0.65;0.6;0.565;0.118;0.125;0.522;0.882;0.8;0.941;0.125;0.312;0.056;1.0
