;ENSCAFT00000001398_90_90;ENSCAFT00000001399_90_90;ENSCAFT00000001401_90_90;ENST00000378735_90_90;ENST00000378746_90_90;ENST00000403231_90_90;ENST00000428744_90_90;ENST00000450441_90_90;ENST00000618515_90_90;ENSMUST00000057330_90_90;ENSMUST00000118353_90_90;ENSMUST00000120613_90_90;ENSMUST00000130037_90_90;ENSMUST00000132496_90_90;ENSMUST00000132653_90_90;ENSMUST00000173744_90_90
ENSCAFT00000001398_90_90;1.0;0.714;0.55;0.842;0.789;0.947;0.105;0.105;0.895;0.722;0.944;0.778;0.111;0.167;0.111;0.722
ENSCAFT00000001399_90_90;0.714;1.0;0.611;0.938;1.0;0.833;0.133;0.133;0.778;0.929;0.722;0.867;0.143;0.214;0.143;0.8
ENSCAFT00000001401_90_90;0.55;0.611;1.0;0.688;0.733;0.611;0.182;0.0;0.556;0.643;0.5;0.6;0.0;0.3;0.2;0.533
ENST00000378735_90_90;0.842;0.938;0.688;1.0;0.941;0.85;0.111;0.118;0.8;0.867;0.778;0.933;0.133;0.2;0.133;0.867
ENST00000378746_90_90;0.789;1.0;0.733;0.941;1.0;0.8;0.118;0.125;0.75;0.929;0.722;0.867;0.143;0.214;0.143;0.8
ENST00000403231_90_90;0.947;0.833;0.611;0.85;0.8;1.0;0.095;0.1;0.773;0.765;0.889;0.824;0.118;0.176;0.118;0.765
ENST00000428744_90_90;0.105;0.133;0.182;0.111;0.118;0.095;1.0;0.0;0.1;0.154;0.118;0.143;0.0;0.667;0.333;0.154
ENST00000450441_90_90;0.105;0.133;0.0;0.118;0.125;0.1;0.0;1.0;0.105;0.154;0.118;0.143;1.0;0.0;0.0;0.154
ENST00000618515_90_90;0.895;0.778;0.556;0.8;0.75;0.773;0.1;0.105;1.0;0.706;0.833;0.765;0.125;0.188;0.125;0.706
ENSMUST00000057330_90_90;0.722;0.929;0.643;0.867;0.929;0.765;0.154;0.154;0.706;1.0;0.8;0.941;0.125;0.312;0.056;0.882
ENSMUST00000118353_90_90;0.944;0.722;0.5;0.778;0.722;0.889;0.118;0.118;0.833;0.8;1.0;0.85;0.1;0.25;0.045;0.8
ENSMUST00000120613_90_90;0.778;0.867;0.6;0.933;0.867;0.824;0.143;0.143;0.765;0.941;0.85;1.0;0.118;0.294;0.053;0.941
ENSMUST00000130037_90_90;0.111;0.143;0.0;0.133;0.143;0.118;0.0;1.0;0.125;0.125;0.1;0.118;1.0;0.0;0.0;0.125
ENSMUST00000132496_90_90;0.167;0.214;0.3;0.2;0.214;0.176;0.667;0.0;0.188;0.312;0.25;0.294;0.0;1.0;0.143;0.312
ENSMUST00000132653_90_90;0.111;0.143;0.2;0.133;0.143;0.118;0.333;0.0;0.125;0.056;0.045;0.053;0.0;0.143;1.0;0.056
ENSMUST00000173744_90_90;0.722;0.8;0.533;0.867;0.8;0.765;0.154;0.154;0.706;0.882;0.8;0.941;0.125;0.312;0.056;1.0
